row_id,provider,method,path,operationId,summary,description
1,adafruit.com,PATCH,/{username}/feeds/{feed_key},updateFeed,Update properties of an existing Feed,
2,agco-ats.com,PUT,/api/v2/ContentSubmissionAttributes/{contentSubmissionAttributeID},ContentSubmissions_PutContentSubmissionAttributeAsync,Update an Attribute for a ContentSubmission,No Documentation Found.
3,agco-ats.com,PUT,/api/v2/Users/{id},Users_Put,Update a user,No Documentation Found.
4,akeneo.com,PATCH,/api/rest/v1/asset-families/{code},patch_asset_family__code_,Update/create an asset family,"This endpoint allows you to update a given asset family. Note that if the asset family does not already exist, it creates it."
5,alertersystem.com,DELETE,/api/transport-google-chat/{id},api_transport-google-chat_id_delete,Removes the TransportGoogleChat resource.,Removes the TransportGoogleChat resource.
6,alertersystem.com,DELETE,/api/transport-pager-tree/{id},api_transport-pager-tree_id_delete,Removes the TransportPagerTree resource.,Removes the TransportPagerTree resource.
7,alertersystem.com,PUT,/api/transport-amazon-sns/{id},api_transport-amazon-sns_id_put,Replaces the TransportAmazonSns resource.,Replaces the TransportAmazonSns resource.
8,alertersystem.com,PUT,/api/transport-webhook/{id},api_transport-webhook_id_put,Replaces the TransportWebhook resource.,Replaces the TransportWebhook resource.
9,anchore.io,DELETE,/accounts/{accountname}/users/{username}/credentials,delete_user_credential,Delete a credential by type,
10,apacta.com,DELETE,/driving_types/bulkDelete,bulkDeleteDrivingTypes,Bulk delete driving types,
11,apacta.com,DELETE,/users/{user_id}/integration_settings/{integration_settings_user_id},,Delete a user integration setting,
12,api.ebay.com,PUT,/return_policy/{return_policy_id},updateReturnPolicy,,This method updates an existing return policy. Specify the policy you want to update using the <b>return_policy_id</b> path parameter. Supply a complete policy payload with the updates you want to make; this call overwrites the existing policy with the new details specified in the payload.
13,apideck.com,PATCH,/lead/leads/{id},leadsUpdate,Update lead,Update lead
14,apideck.com,PATCH,/proxy,patchProxy,PATCH,Proxies a downstream PATCH request to a service and injects the necessary credentials into a request stored in Vault. This allows you to have an additional security layer and logging without needing to rely on Unify for normalization. **Note**: Vault will proxy all data to the downstream URL and method/verb in the headers.
15,apideck.com,PATCH,/vault/connections/{unified_api}/{service_id},connectionsUpdate,Update connection,Update a connection
16,appcenter.ms,DELETE,/v0.1/apps/{owner_name}/{app_name}/deployments/{deployment_name},codePushDeployments_delete,,Deletes a CodePush Deployment for the given app
17,appcenter.ms,DELETE,/v0.1/apps/{owner_name}/{app_name}/test_runs/{test_run_id},test_archiveTestRun,,Logically deletes a test run
18,apple.com,PATCH,/v1/appInfoLocalizations/{id},appInfoLocalizations-update_instance,,
19,apple.com,PATCH,/v1/appStoreVersionPhasedReleases/{id},appStoreVersionPhasedReleases-update_instance,,
20,appveyor.com,DELETE,/users/invitations/{userInvitationId},cancelUserInvitation,Cancel user invitation,
21,asana.com,DELETE,/webhooks/{webhook_gid},deleteWebhook,Delete a webhook,"This method *permanently* removes a webhook. Note that it may be possible to receive a request that was already in flight after deleting the webhook, but no further requests will be issued."
22,asana.com,PUT,/webhooks/{webhook_gid},updateWebhook,Update a webhook,An existing webhook's filters can be updated by making a PUT request on the URL for that webhook. Note that the webhook's previous `filters` array will be completely overwritten by the `filters` sent in the PUT request.
23,atlassian.com,DELETE,/rest/api/3/filter/{id}/columns,resetColumns,Reset columns,"Reset the user's column configuration for the filter to the default. **[Permissions](#permissions) required:** Permission to access Jira, however, columns are only reset for:  *  filters owned by the user.  *  filters shared with a group that the user is a member of.  *  filters shared with a private project that the user has *Browse projects* [project permission](https://confluence.atlassian.com/x/yodKLg) for.  *  filters shared with a public project.  *  filters shared with the public."
24,atlassian.com,PUT,/rest/api/3/dashboard/{id},updateDashboard,Update dashboard,"Updates a dashboard, replacing all the dashboard details with those provided. **[Permissions](#permissions) required:** None The dashboard to be updated must be owned by the user."
25,atlassian.com,PUT,/rest/api/3/project/{projectId}/email,updateProjectEmail,Set project's sender email,"Sets the [project's sender email address](https://confluence.atlassian.com/x/dolKLg). If `emailAddress` is an empty string, the default email address is restored. **[Permissions](#permissions) required:** *Browse projects* [project permission](https://confluence.atlassian.com/x/yodKLg) for the project."
26,ato.gov.au,DELETE,/organisations/{partyId}/addresses/{addressId},,Delete an address,Delete an address
27,autotask.net,DELETE,/V1.0/TicketNotes/{parentId}/Attachments/{id},TicketNoteAttachmentsChild_DeleteEntity,,
28,autotask.net,PATCH,/V1.0/Currencies,Currencies_PatchEntity,,
29,autotask.net,PATCH,/V1.0/QuoteLocations,QuoteLocations_PatchEntity,,
30,autotask.net,PUT,/V1.0/Resources/{parentId}/Skills,ResourceSkillsChild_UpdateEntity,,
31,azure.com,DELETE,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.ContainerService/containerServices/{containerServiceName},ContainerServices_Delete,Deletes the specified container service.,"Deletes the specified container service in the specified subscription and resource group. The operation does not delete other resources created as part of creating a container service, including storage accounts, VMs, and availability sets. All the other resources created with the container service are part of the same resource group and can be deleted individually."
32,azure.com,PATCH,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.ContainerRegistry/registries/{registryName}/tokens/{tokenName},Tokens_Update,,Updates a token with the specified parameters.
33,azure.com,PUT,/apps/{appId}/versions/{versionId}/settings,Settings_Update,,Updates the settings in a version of the application.
34,azure.com,PUT,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Web/serverfarms/{name}/virtualNetworkConnections/{vnetName}/gateways/{gatewayName},AppServicePlans_UpdateVnetGateway,Update a Virtual Network gateway.,Update a Virtual Network gateway.
35,bigredcloud.com,DELETE,/v1/customers/{id},Customers_Delete,Removes an existing Customer.,
36,billbee.io,PATCH,/api/v1/orders/{id},OrderApi_PatchOrder,Updates one or more fields of an order,
37,billingo.hu,DELETE,/bank-accounts/{id},DeleteBankAccount,Delete a bank account,Delete an existing bank account.
38,bitbucket.org,DELETE,/repositories/{workspace}/{repo_slug}/pullrequests/{pullrequest_id}/properties/{app_key}/{property_name},deletePullRequestHostedPropertyValue,Delete a pull request application property,Delete an [application property](/cloud/bitbucket/application-properties/) value stored against a pull request.
39,bunq.com,DELETE,/user/{userID}/monetary-account/{monetary-accountID}/draft-payment/{draft-paymentID}/note-attachment/{itemId},DELETE_NoteAttachment_for_User_MonetaryAccount_DraftPayment,,Used to manage attachment notes.
40,bunq.com,DELETE,/user/{userID}/monetary-account/{monetary-accountID}/schedule-payment-batch/{schedule-payment-batchID}/note-attachment/{itemId},DELETE_NoteAttachment_for_User_MonetaryAccount_SchedulePaymentBatch,,Used to manage attachment notes.
41,bunq.com,PUT,/user/{userID}/monetary-account/{monetary-accountID}/payment/{paymentID}/note-text/{itemId},UPDATE_NoteText_for_User_MonetaryAccount_Payment,,Used to manage text notes.
