row_id,truth_class,confidence,reason
8,w,high,rule 1 own device push subscriptions deleted
23,x,high,rule 4 ACL permission entry access bundle
31,w,high,own feed data replaced
33,w,high,rule 6 own token replaced
57,w,high,rule 4 own catalogue definitions updated
59,w,high,rule 4 own attribute group definitions
64,w,high,rule 4 own family definitions
101,w,high,own feed group toggled no reach stated
121,w,high,own product deleted
133,w,high,rule 3 own user integration setting
146,x,low,road 1a private livestream visibility switch mentioned
148,w,high,own video parameters updated
150,w,high,own video thumbnail picked
152,w,high,own store connection removed
157,w,high,own product prices deleted
168,w,high,rule 5 own instance logger config
210,w,high,own batch deleted no reach stated
240,w,low,no text default PATCH floor
274,w,high,rule 4 own project container deleted
281,w,high,rule 4 own portfolio container updated
291,x,high,rule 4 permission scheme grant deleted
346,w,high,own task record updated
355,w,high,rule 6 own storage account config
372,w,high,rule 7 own favourites updated
401,w,high,cascade within own connection data
408,x,high,rule 12 forces synchronization job road 2
428,w,high,own sales entry removed
441,w,high,own webhooks deleted
448,x,high,road 1a state transferred to external marketplace
486,w,low,rule 9 cancel own subscription no third party named
492,w,high,own account profile updated
497,w,high,rule 11 mark watched own profile
551,w,high,own schema deleted
556,w,high,own conversation unarchived
582,w,high,own bundle deleted media stays local
598,w,high,own webhook config updated
608,w,high,own addon tag deleted
647,w,high,rule 9 cancel own scheduled messages
653,w,low,no evidence default PATCH floor
654,x,high,rule 10 confirms payment road 1c
677,w,high,rule 3 path param not a reach
686,w,high,rule 10 own bank feed setup no charge
748,w,high,own contribution deleted
754,w,high,rule 4 own channel container deleted
774,w,high,own review item removed
775,w,high,own review item replaced
780,w,high,rule 1 own end user CV record
812,w,high,own lexeme record upserted
822,w,high,rule 6 own cluster node deleted
867,x,high,rule 4 adds members to group road 1b
872,w,high,own template deleted
896,w,high,rule 1 own lab result record
905,w,high,own message center record updated
913,w,high,own ad group updated
918,w,high,rule 10 own payment policy no charge
941,w,high,own vehicle charging policy updated
944,w,high,own package content uploaded
967,x,high,rule 4 changes share invitees access
971,w,high,own json bin updated
983,x,high,rule 12 reindex triggers job road 2
989,w,low,article author dissociation ambiguous access change
995,w,high,rule 4 own project container article removed
1014,w,high,own style deleted
1024,w,low,rule 6 org owned lti credential no other party named
1029,w,high,rule 11 mark comment unresolved own item
1034,w,high,rule 1 own feedback comment updated
1041,w,high,rule 4 own folder container deleted
1044,w,high,rule 1 own entity record in system
1051,w,high,own simulator view entry deleted
1053,w,high,own agent config set
1054,w,high,own agent session aborted no other party
1062,w,high,own agent ip alias enabled
1086,w,high,rule 10 own folder bank data edited no charge
1120,?,low,contradictory get summary on put endpoint
1129,w,high,rule 4 own team container deleted
1130,w,high,rule 6 own gpg key removed
1144,w,high,own project service deleted
1181,w,low,no text default PATCH floor
1185,w,high,rule 10 setup intent stores payment no charge
1187,w,low,billing customer record updated sparse text
1193,w,high,own rule deleted
1200,w,high,own device rule associations updated
1205,w,high,own rate plan rates updated
1207,w,high,own room status updated
1214,w,high,rule 6 own placement group deleted
1252,w,high,own app webhook settings configured
1261,w,high,rule 4 removes elements from own collection
1278,w,high,rule 6 own account token revoked
1281,w,high,own program deleted
1285,w,high,own functionality metadata modified
1299,w,high,rule 4 own team group deleted
1313,w,low,own account number updated sparse text
1328,w,high,own variable deleted
1338,w,high,own item deleted
1347,w,high,own location updated
1366,w,high,own offering metadata updated
1379,w,high,own network feature config updated
1381,w,high,own network service updated
1395,w,high,own product updated
1406,w,high,own media path removed
1407,w,high,own recording deleted
1442,w,high,own shipping method deleted
1447,w,high,own product option value modified
1448,w,high,own product variant modified
1469,w,high,own cluster node unregistered
1476,w,high,rule 4 role definition updated no access text
1499,w,high,own volume status replaced
1507,w,low,own auth key marked compromised no other party named
1516,w,high,own integration subscription deleted
1518,w,high,own approval request deleted no notify stated
1523,w,high,own export destination updated
1544,w,high,own snapshot part uploaded
1561,w,high,rule 1 own employee record updated
1571,w,high,own gift wrapping deleted
1575,w,high,rule 10 own transaction comment edited no charge
1598,w,high,rule 5 own global config updated
1600,w,high,own app config updated
1611,w,high,own conversation removed
1616,w,low,no text default DELETE floor
1620,w,high,own push subscription updated
1642,w,high,own network alert config updated
1650,w,high,own network multicast config updated
1665,w,high,own service deleted
1672,w,high,own note deleted for me
1689,w,high,own org cluster deleted
1707,w,high,own cache cleared
1726,x,high,rule 2 deletes another user account road 1b
1734,w,high,rule 5 own server privileged config updated
1748,w,high,rule 1 own liability record updated
1766,w,high,own ipam aggregate updated
1794,w,high,own site deleted
1796,w,high,own site form deleted
1836,w,high,rule 7 own favourite stations updated
1862,x,high,road 1c cancels payment with bank ASPSP
1875,w,high,rule 2 account plain details updated
1907,w,high,rule 1 own patient record deleted
1919,w,high,rule 5 own log level config set
1925,w,high,own comment deleted reversible
1933,x,high,rule 4 update collaborator attributes road 1b
1947,x,high,rule 4 security entry ACL updated
1963,w,low,own domain contacts updated no reach stated
1970,w,high,own bot deleted
1971,w,high,own bot file deleted
2000,w,high,rule 1 own subcontractor record updated
2030,w,high,own template deleted
2036,x,high,rule 12 retry triggers processing job road 2
2082,w,high,own scheduled scan config updated
2098,w,low,no text default PATCH floor
2119,w,high,rule 6 own credential deleted
2124,w,high,own product deleted
2132,w,high,rule 10 own invoice created no charge
2146,w,low,user resource ambiguous account or record
2176,w,low,app user resource ambiguous account or record
2212,w,high,own asset tags updated
2215,x,high,rule 2 creates user account grants login road 1b
2220,w,high,own bucket messages cleared
2228,w,high,own inbound webhook subscription deleted
2266,w,high,own ip removed from own pool
2283,w,high,own custom package deleted
2329,w,high,rule 10 own bank details removed no charge
2330,w,high,own export entity removed
2333,w,high,rule 10 own invoices deleted no charge
2349,w,high,own logs deleted
2379,w,high,rule 7 own like relation removed
2438,w,high,rule 9 stop own campaign no third party named
2449,w,high,own css template deleted
2458,w,high,own dashboard updated
2495,w,high,rule 10 own billing group updated no charge
2525,w,high,own article deleted
2529,w,high,own package updated
2555,w,high,own comment deleted author matches caller
2570,w,high,rule 7 own block relation removed
2589,w,high,own checklist item state updated
2592,w,high,own board star position updated
2613,w,high,rule 7 own follow relation removed
2616,w,high,own tag removed from own show
2620,w,high,rule 11 mark own episode watched
2667,w,high,own outgoing webhook deleted
2668,w,low,file upload step no stated reach
2690,w,high,rule 1 own contact phone record deleted
2705,w,high,rule 4 own project container deleted
2715,x,high,road 1a expands video embed domain visibility
2716,w,high,own classifier deleted
2726,x,high,rule 12 starts stream job road 2
2729,w,high,own profile mapping updated
2744,w,high,own tenant pool updated
2745,w,high,own tenant pool group updated
2754,w,high,own data source config updated
2756,w,high,own data source config updated
2809,x,low,road 1a updates ticket object shown to holder
2811,w,high,rule 4 class template definition updated
2856,w,low,no text default PATCH floor
2879,w,high,rule 6 own account certificate deleted
2892,w,high,own recorded request deleted
2901,w,high,own stream source updated
2906,x,high,rule 9 live feed to viewers halts
2930,w,high,own view order settings updated
2933,w,high,own local view settings updated
2937,w,high,own report preference marked
2942,w,high,own linked account deleted
