row_id,truth_class,confidence,reason
b1647,w,high,"rule 7 social relation award emoji"
b0062,w,high,"rule 5 own infra runner label"
b0324,w,high,"rule 1 delete own comment"
b0784,x,high,"road 2 register new developer account"
b0828,w,high,"rule 4 update own shared cache"
b0059,w,high,"delete own project card record"
b0017,x,high,"road 2 create own ssh signing key"
b1658,w,high,"update own snippet record"
b0264,w,high,"delete own navigation property record"
b1136,x,high,"road 2 create new attachment"
b0659,w,high,"PATCH default own definition"
b1370,x,low,"rule 8 org visibility permission level"
b0538,x,high,"road 2 create device set"
b0340,x,high,"road 2 create webhook"
b1410,w,high,"rule 4 remove label from own card"
b1621,w,low,"rule 2 edit own account email no revoke text"
b1131,x,high,"road 2 create screen tab overrides rule 4"
b1041,w,high,"rule 4 own field context assignment"
b1424,w,high,"rule 4 own label definition"
b0494,w,high,"delete own device record"
b0740,w,high,"delete own journal entry record"
b0116,w,high,"rule 2 add own email account detail"
b1249,w,high,"rule 5 admin config syslog"
b1121,w,high,"rule 4 own field default values"
b0467,w,high,"delete own release record"
b0319,w,low,"rule 3 no explicit other party reach"
b0781,w,high,"rule 6 regen own system secret"
b0068,w,high,"rule 5 own repo branch protection config"
b0123,w,high,"rule 7 social relation reaction"
b0144,x,high,"rule 4 changes what team may do"
b0029,w,high,"rule 7 delete own reaction"
b1236,w,high,"rule 5 admin config system settings"
b1401,w,low,"own card record label association"
b1145,w,high,"rule 4 delete own ui modification"
b1659,w,high,"rule 4 own integration config"
b0713,w,high,"rule 6 own infra bulk update"
b0839,w,high,"rule 5 delete own config sms settings"
b1540,x,high,"road 2 create segment"
b0576,x,high,"road 2 create release upload"
b0910,x,high,"rule 4 changes what user may do role mapping"
b0288,w,high,"rule 5 own tenant admin config assignment"
b1316,w,high,"rule 2 update own account"
b0534,w,high,"rule 4 own team definition"
b0013,w,high,"rule 4 delete own runner group definition"
b0209,w,high,"delete own record retention event"
b1764,w,high,"rule 4 own integration config"
b0089,x,low,"rule 6 admin removes another users key"
b0835,x,high,"road 1a publish message to topic"
b0300,w,high,"delete own tenant term store record"
b1473,w,high,"rule 5 own org config preference"
b1293,x,low,"rule 12 refresh webhook lifetime road 2"
b0421,w,high,"rule 5 own repo branch protection edit"
b0570,x,high,"rule 4 removes user from org"
b1323,w,high,"rule 6 delete own room key pair"
b1538,x,high,"road 2 upload file create"
b1545,x,high,"road 2 create report"
b1579,w,high,"rule 4 update own segment definition"
b0608,w,high,"delete own contact records bulk"
b1500,x,high,"road 2 create copy of file request"
b1664,w,low,"rule 2 admin edits user plain details unspecified"
b1637,w,high,"update own issue record"
b0487,x,high,"road 2 create symbol upload"
b0676,w,high,"delete own template record"
b1795,x,high,"road 2 create destination"
b0535,x,high,"rule 4 changes team app permissions"
b1184,w,high,"rule 6 caller own oauth consent withdrawn"
b0892,x,low,"assumed create component no description text"
b1517,w,high,"delete own file"
b1264,x,high,"road 2 create upload channel"
b1152,x,high,"rule 4 permission scheme grant bundle"
b1376,w,high,"delete own card record"
b1335,w,high,"update own board description"
b1180,x,high,"road 1a sends email to recipients"
b0043,x,high,"rule 12 trigger workflow run each call"
b0363,w,high,"delete own wiki page"
b1502,x,low,"rule 2 admin deletes user account access"
b1355,w,high,"rule 7 own vote removed from card"
b0636,w,high,"update own platform record"
b1698,w,high,"own account notification settings"
b1660,w,high,"update own merge request record"
b1328,x,low,"road 1e removes member assignment from card"
b0078,x,high,"rule 12 sync fork with upstream"
b1485,x,high,"road 2 create cascade policy"
b1778,w,high,"rule 4 delete role no access text"
b0775,w,high,"rule 6 delete own device keys"
b0962,x,high,"rule 12 import realm road 2"
b0881,x,high,"rule 4 grants role mapping to client"
b0197,w,high,"rule 11 dismiss own reminder acknowledge"
b0202,w,low,"own tenant agreement acceptance record"
b1202,x,high,"rule 4 remove user from role"
b1305,w,high,"rule 5 admin config openid idp"
b0388,x,low,"rule 4 removes team access from repo"
b0971,w,high,"rule 4 delete own scope definition"
b1809,w,high,"delete own scheduled change definition"
b1375,w,high,"own board background preference"
b0436,w,high,"edit own issue attachment"
b0906,x,low,"rule 4 composite role changes access bundle"
b0797,w,high,"rule 4 update own webhook definition"
b0432,w,high,"rule 7 social relation reaction"
b1080,w,high,"update own project category definition"
b1076,x,high,"rule 4 remove user from group"
b0072,w,high,"delete own package version"
b0192,w,low,"own tenant record no explicit reach"
b0016,w,high,"rule iii edit existing own branch protection"
b1141,x,high,"road 2 create workflow scheme"
b1235,w,high,"rule iii sets existing own profile attributes"
b0115,w,high,"rule 5 admin config actions permissions"
b1321,w,high,"own notification settings toggle"
b1791,x,high,"road 2 create copy of flag config"
b0109,x,high,"rule 12 trigger test webhook"
b0856,w,high,"update own device record"
b1806,w,low,"rule 6 own token modify no reach text"
b0583,w,high,"update own store config"
b0446,w,high,"delete own release"
b1434,w,high,"rule 7 star own board"
b0454,x,high,"rule 4 changes invitee permission"
b1129,x,high,"road 2 create custom field"
b0166,w,high,"update own record extended property"
b0886,x,high,"road 1d push revocation to external admin url"
b1544,x,high,"rule 4 changes user domain exemption"
b0945,w,high,"rule 4 own scope definition"
b1708,w,high,"rule 4 own integration config"
b0855,x,high,"road 1a sends test sms"
