repo,file,version,sha,path,method,operationId,default_class,judged_class,reason
ApplicationEndpointDiscovery,application-endpoint-discovery.yaml,wip,1414b03a945968fc0eabf38fb235fdaa30411a0f,/retrieve-optimal-app-endpoints,POST,getOptimalAppEndpoints,x,x,non-idempotent operation; treated as consequential by default (create/verify/send/trigger)
ApplicationEndpointRegistration,application-endpoint-registration.yaml,wip,75371105daabef680073bb2ccc53273273a15e6f,/application-endpoint-lists,POST,registerApplicationEndpoints,x,x,non-idempotent operation; treated as consequential by default (create/verify/send/trigger)
ApplicationEndpointRegistration,application-endpoint-registration.yaml,wip,75371105daabef680073bb2ccc53273273a15e6f,/application-endpoint-lists,GET,getAllRegisteredApplicationEndpoints,r,r,pure read of existing resource/state; no external side-effect observed in summary/description
ApplicationEndpointRegistration,application-endpoint-registration.yaml,wip,75371105daabef680073bb2ccc53273273a15e6f,/application-endpoint-lists/{applicationEndpointListId},GET,getApplicationEndpointsById,r,r,pure read of existing resource/state; no external side-effect observed in summary/description
ApplicationEndpointRegistration,application-endpoint-registration.yaml,wip,75371105daabef680073bb2ccc53273273a15e6f,/application-endpoint-lists/{applicationEndpointListId},PUT,updateApplicationEndpoint,w,w,idempotent state write/removal of a resource owned by the caller; no external notification/money/live-session effect beyond ending what the caller itself created
ApplicationEndpointRegistration,application-endpoint-registration.yaml,wip,75371105daabef680073bb2ccc53273273a15e6f,/application-endpoint-lists/{applicationEndpointListId},DELETE,deregisterApplicationEndpoint,w,w,idempotent state write/removal of a resource owned by the caller; no external notification/money/live-session effect beyond ending what the caller itself created
ApplicationProfiles,application-profiles.yaml,wip,4f151b02cd1378c526c829f06951513b8079c9d2,/application-profiles,POST,createApplicationProfile,x,x,non-idempotent operation; treated as consequential by default (create/verify/send/trigger)
ApplicationProfiles,application-profiles.yaml,wip,4f151b02cd1378c526c829f06951513b8079c9d2,/application-profiles/{applicationProfileId},PATCH,updateApplicationProfile,x,x,non-idempotent operation; treated as consequential by default (create/verify/send/trigger)
ApplicationProfiles,application-profiles.yaml,wip,4f151b02cd1378c526c829f06951513b8079c9d2,/application-profiles/{applicationProfileId},GET,readApplicationProfile,r,r,pure read of existing resource/state; no external side-effect observed in summary/description
ApplicationProfiles,application-profiles.yaml,wip,4f151b02cd1378c526c829f06951513b8079c9d2,/application-profiles/{applicationProfileId},DELETE,deleteApplicationProfile,w,w,idempotent state write/removal of a resource owned by the caller; no external notification/money/live-session effect beyond ending what the caller itself created
BlockchainPublicAddress,blockchain-public-address-validation.yaml,wip,80047ebce94687f159ed8912a2876321d1564c6a,/nonce,POST,createBlockchainPublicAddressValidationNonce,x,x,non-idempotent operation; treated as consequential by default (create/verify/send/trigger)
BlockchainPublicAddress,blockchain-public-address.yaml,wip,80047ebce94687f159ed8912a2876321d1564c6a,/blockchain-public-addresses/retrieve-blockchains,POST,retrieveBlockchainPublicAddress,x,x,non-idempotent operation; treated as consequential by default (create/verify/send/trigger)
BlockchainPublicAddress,blockchain-public-address.yaml,wip,80047ebce94687f159ed8912a2876321d1564c6a,/blockchain-public-addresses,POST,bindBlockchainPublicAddress,x,x,non-idempotent operation; treated as consequential by default (create/verify/send/trigger)
