row_id,truth_class,confidence,reason
1,w,high,"own feed properties, idempotent"
2,w,high,"updates own content submission record"
3,x,low,"modifies another person's user account"
4,w,high,"own catalog asset family, idempotent"
5,w,high,"own notification transport config"
6,w,high,"own notification transport config"
7,w,high,"replaces own transport config"
8,w,high,"replaces own webhook transport config"
9,x,low,"deletes another user's credential; revokes access"
10,w,high,"own reference records; bulk delete"
11,w,low,"deletes a user's integration setting"
12,w,high,"own seller policy; overwrite is idempotent"
13,w,high,"own CRM lead record"
14,x,high,"proxies arbitrary downstream request to external service"
15,w,high,"own vault connection config"
16,w,high,"deletes own app deployment"
17,w,high,"logical delete of own test run"
18,w,high,"own app metadata localization"
19,w,low,"own app phased release settings"
20,x,low,"cancels another person's invitation"
21,w,high,"own webhook; permanent removal"
22,w,high,"own webhook filters replaced"
23,w,high,"resets own filter columns"
24,w,high,"dashboard owned by caller"
25,w,high,"own project sender email config"
26,w,high,"own organisation address record"
27,w,high,"deletes own ticket note attachment"
28,w,high,"updates own currency records"
29,w,high,"updates own quote location records"
30,w,high,"updates own resource skill records"
31,w,high,"own subscription resource; private delete"
32,w,low,"updates own registry token"
33,w,high,"own app version settings"
34,w,high,"own network gateway config"
35,w,high,"own customer record"
36,w,high,"own order record fields"
37,w,high,"own bank account record"
38,w,high,"own pull request property"
39,w,high,"own note attachment"
40,w,high,"own note attachment"
41,w,high,"own payment note text"
42,x,high,"changes another user's password and login"
43,w,high,"own system's shared cache"
44,w,high,"own external database connection"
45,x,high,"changes another user's password and permissions"
46,w,high,"own adapter file content"
47,w,low,"own application branch setting"
48,x,high,"cancels outbound calls to other people"
49,w,high,"own sync-flow text preferences"
50,w,low,"pushes invoice into own accounting connection"
51,w,high,"own mail alias"
52,x,low,"changes mailbox password; affects its user"
53,w,low,"uploads chunk of own video"
54,w,high,"own CRM meeting records"
55,w,high,"own price book record"
56,w,high,"own event records bulk update"
57,w,high,"own price book items"
58,w,high,"own volume; private destructive delete"
59,w,high,"own database cluster config"
60,w,high,"own domain DNS record"
61,w,high,"own default project settings"
62,x,low,"deletes another user's stored authentication"
63,x,low,"adds attachments to envelope recipients sign"
64,x,high,"sets another signer's signature image"
65,w,high,"own workspace details"
66,w,high,"own template"
67,w,high,"cancels own upload channel; purges temp data"
68,x,high,"consumes emergency code; disables all MFA"
69,x,low,"changes another customer tenant's attributes"
70,w,low,"global auth config on own system"
71,w,high,"own bundle settings"
72,w,high,"marks own document deleted"
73,w,high,"sets own access-control database name"
74,x,high,"starts a file transfer session"
75,w,high,"sets own variable store"
76,w,high,"own contact detail record"
77,w,high,"own common folder"
78,w,high,"own repository release"
79,w,high,"caller's own subscription"
80,x,high,"admin updates another person's account"
81,w,high,"own url map resource"
82,w,high,"own portal category"
83,w,high,"own creative field value"
84,w,high,"own playlist"
85,w,high,"own default payment method; no charge"
86,w,high,"own resource labels"
87,r,high,"echo endpoint; returns input; no effect"
88,w,high,"own file properties"
89,x,high,"revokes another user's roles"
90,x,high,"allows ownership transfer to another party"
91,w,high,"own organization address"
92,x,low,"initiates transfer of object to another"
93,w,low,"platform-wide server size option"
94,w,high,"own notification endpoint config"
95,w,high,"own password"
96,w,high,"own key-value pair"
97,w,high,"own spot set"
98,w,high,"own assessment details"
99,w,high,"own course mapping"
100,w,low,"deletes a tracked user record"
101,w,high,"own customer category"
102,w,high,"own checkout field"
103,w,high,"own page content"
104,x,high,"notifies platform driver arrived; real-world event"
105,x,high,"notifies customer driver en route"
106,w,high,"own restaurant ETA setting"
107,w,high,"own cluster resource"
108,w,high,"own cluster resources collection"
109,w,high,"own cluster cronjob"
110,w,low,"replaces own cluster service account"
111,w,high,"own environment config"
112,w,low,"segment targeting config for end users"
113,w,low,"creates copy of own leave policy"
114,x,low,"grants a user access to external tenant"
115,w,high,"removes gift card from own cart"
116,w,high,"own network switch MTU config"
117,w,high,"own kubernetes config entry"
118,w,low,"deletes extension on group event"
119,x,low,"deletes access package resource role"
120,x,high,"removes a principal's role assignment"
121,w,low,"updates a submission's resource"
122,w,low,"deletes own organization"
123,w,low,"updates MSP org group"
124,w,high,"own device association record"
125,w,high,"own project webhook URL"
126,w,high,"own client policy record"
127,w,high,"own fact finder record"
128,w,high,"own ports bulk delete"
129,w,high,"own circuit types bulk update"
130,w,high,"own interfaces bulk update"
131,w,high,"own services bulk update"
132,w,high,"own tenant record"
133,w,high,"own port template"
134,w,high,"own vlan record"
135,w,high,"own cluster group"
136,w,high,"own hook config"
137,w,high,"own customer record"
138,w,low,"revokes own org's google calendar access"
139,x,high,"authorises payment cancellation; SCA step"
140,w,high,"removes own policy module"
141,x,low,"removes a security access entry"
142,x,low,"removes a security access entry"
143,w,high,"unregisters own callback"
144,w,high,"deletes own payrun job"
145,w,high,"edits own document xml"
146,w,high,"own scan finding fields"
147,w,high,"own docs version"
148,w,high,"own wanted list entry"
149,w,high,"own account API key"
150,x,low,"removes SSO mapping; revokes group access"
151,x,low,"each call mints a new credential"
152,w,high,"own person stage record"
153,w,high,"own blacklist items"
154,w,high,"own categories"
155,x,high,"email resumes to previously suppressed recipient"
156,x,high,"removes another teammate's access"
157,w,high,"own campaign draft content"
158,w,high,"own inbound parse setting"
159,w,high,"own webhook URL"
160,w,high,"own image collection"
161,w,low,"deletes caller's own account"
162,w,high,"own library; idempotent save"
163,w,low,"updates own account user"
164,w,high,"own legal entity record"
165,w,high,"own segment"
