row_id,provider,method,path,operationId,summary,description
110,camara,POST,/slices,createSlice,Creates a new network slice,"Create a new network slice with the expected service time, service area, and QoS profile. NOTES: - If newtwork slice creation is successful, the API consumer will receive a response with code `201 - Created` and a slice ID. - If requested service area is not supported, the API consumer will receive a response with code `422 - NETWORK_SLICE_BOOKING.SERVICEAREA_NOT_SUPPORTED`. - If the left resources are not sufficient for the requested slice resources, the API consumer will receive a response with code `422 - NETWORK_SLICE_BOOKING.RESOURCES_INSUFFICIENT`."
458,slack,POST,/calls.update,calls_update,,Updates information about a Call.
377,amazon,POST,/externalFulfillment/inventory/2024-09-11/inventories,batchInventory,,Make up to 10 inventory requests. The response includes the set of responses that correspond to requests. The response for each successful request in the set includes the inventory count for the provided `sku` and `locationId` pair.
240,box,POST,/oauth2/token,post_oauth2_token,Request access token,Request an Access Token using either a client-side obtained OAuth 2.0 authorization code or a server-side JWT assertion. An Access Token is a string that enables Box to verify that a request belongs to an authorized session. In the normal order of operations you will begin by requesting authentication from the [authorize](https://developer.box.com/reference/get-authorize) endpoint and Box will send you an authorization code. You will then send this code to this endpoint to exchange it for an Access Token. The returned Access Token can then be used to to make Box API calls.
409,amazon,POST,/vendor/orders/v1/acknowledgements,submitAcknowledgement,,"Submits acknowledgements for one or more purchase orders. **Usage Plan:** | Rate (requests per second) | Burst | | ---- | ---- | | 10 | 10 | The `x-amzn-RateLimit-Limit` response header returns the usage plan rate limits that were applied to the requested operation, when available. The preceding table indicates the default rate and burst values for this operation. Selling partners whose business demands require higher throughput may have higher rate and burst values than those shown here. For more information, refer to [Usage Plans and Rate Limits in the Selling Partner API](https://developer-docs.amazon.com/sp-api/docs/usage-plans-and-rate-limits-in-the-sp-api)."
113,camara,POST,/sponsorship,startSponsorship,Start Sponsorship Session Request,"This operation requests the sponsorship for a subscriber in a specific campaign, allowing them to use sponsored data within the limits set by this request or those defined in the campaign onboarding declaration by default."
310,vercel,POST,/v2/sandboxes/sessions/{sessionId}/stop,stopSession,Stop a session,Stops a running session and releases its allocated resources. All running processes within the session will be terminated. This action cannot be undone. A stopped session cannot be restarted.
144,twilio,POST,/2010-04-01/Accounts/{AccountSid}/Calls.json,CreateCall,"Create a new outgoing call to phones, SIP-enabled endpoints or Twilio Client connections","Create a new outgoing call to phones, SIP-enabled endpoints or Twilio Client connections"
91,camara,POST,/retrieve-ppid,retrievePpid,Get a pseudonymous identifier for device being used by a given mobile subscriber,Get a pseudonymous identifier for device being used by a given mobile subscriber
414,notion,POST,/v1/pages/{page_id}/move,move-page,Move a page,Move a page to a different parent location
