row_id,truth_class,confidence,reason
e0815,w,high,DELETE floor own uploaded file
e0697,w,high,rule 4 group definition edit
e0215,x,high,POST create plus rule 2 authentication method
e0579,x,high,POST create road 2
e0214,x,high,POST create user account road 2 and 1b
e0798,w,high,rule 4 policy definition delete
e0278,w,high,rule 1 own object record archive
e0125,w,low,rule 6 own connection config edit
e0703,w,high,rule 4 project container edit
e0491,w,high,own list association edit
e0746,x,high,rule 4 changes who is in project
e0593,x,high,POST create event road 2
e0227,w,high,rule 5 own tenant provider config
e0494,w,high,rule 5 own app settings
e0523,w,high,own tag association removal
e0917,x,high,POST create user account road 2
e0679,w,high,own board item position edit
e0752,w,high,rule 4 own case container edit
e0473,w,high,rule 4 pipeline stage definition
e0202,x,high,road 1b assigns roles to another user
e0355,w,high,rule 1 own meeting record update
e0219,w,low,POST edits existing own user setting
e0326,w,high,rule 5 own redirect settings edit
e0598,r,high,POST read query only
e0018,w,low,rule 6 own domain infrastructure delete
e0182,w,high,POST sets status of existing own flag
e0071,x,high,rule 2 removes user MFA forces reconfigure
e0940,w,high,own ticket record restore
e0006,w,high,rule 5 own branding template delete
e0319,w,high,rule 4 own blog tag definition edit
e0979,x,high,rule 8 public to private visibility switch
e0027,w,high,own flow execution record delete
e0056,x,high,rule 4 unassigns groups from role
e0284,w,high,rule 1 own order record archive
e0975,w,high,rule 4 own form status definitions
e0389,x,high,POST create language variation road 2
e0242,w,high,rule 6 own signing keys replace
e0905,x,high,POST clone creates new form road 2
e0990,w,low,PUT floor account detail updates not stated
e0286,w,high,rule 1 own quote record archive
e0915,r,high,POST read autocomplete lookup
e0062,w,high,rule 5 own tenant profile delete
e0528,w,high,rule 4 own template delete
e0588,x,high,rule 12 starts deletion job each call
e0291,w,low,own file delete in own account
e0441,w,high,rule 4 own action definition function
e0741,x,high,POST create team road 2
e0863,x,high,POST create custom status road 2
e0933,w,high,own ticket comment redaction irreversibility not test
e0542,w,high,rule 4 own custom metric edit
e0529,w,high,own web feed delete
e0814,w,high,rule 4 own trigger definition delete
e0032,w,high,rule 4 group container delete no access text
e0977,w,high,own ticket records bulk update
e0256,w,high,rule 1 record about a person delete
e0022,w,high,own experiment record delete
e0653,w,high,own board item delete
e0387,x,high,POST clone creates new page road 2
e0100,w,high,rule 6 own domain setting default
e0618,x,high,POST creates token road 2
e0889,r,high,POST read autocomplete lookup
e0661,w,high,own board item delete
e0141,w,high,rule 5 own attribute profile edit
e0097,w,low,rule 6 own tenant connection clients config
e0934,w,high,rule 4 own custom field order
e0777,w,high,rule 4 asset type definition delete
e0368,w,high,POST edit of own draft email not published
e0232,w,high,rule 5 own tenant provider config
e0647,w,high,own board item tag removal
e0867,x,high,POST create variant road 2
e0466,w,low,PUT floor own object association no text
e0138,w,high,rule 5 own tenant configuration update
e0166,w,high,rule 6 rotating own connection keys
e0360,w,high,rule 1 own quote record update
e0670,x,high,rule 4 removes user group from project
e0646,w,high,own board item delete
e0346,w,high,rule 4 own card definition edit
e0121,w,high,rule 4 organization container details edit
e0445,w,high,own blog author language group setting
e0511,w,high,rule 4 own flow action delete
e0379,w,high,POST attaches existing own blog to group
e0287,w,high,rule 1 own subscription record archive
e0747,x,high,rule 11 ends another users sessions
e0505,w,high,own catalog item relationships removal
e0002,w,high,rule 5 own actions module delete
e0038,w,low,rule 6 own key delete
e0230,w,high,rule 5 own message templates edit not sent
e0771,w,high,rule 4 own deletion schedule delete
e0374,w,high,rule 5 own conversion rate edit
e0094,w,high,rule 6 own client application settings
e0269,w,low,DELETE floor own object association no text
e0066,x,high,rule 2 deletes user account access
e0569,x,high,POST create catalog category road 2
e0281,w,high,rule 1 own fee record archive
e0932,w,high,own ticket attachment redaction severity not test
e0556,w,high,rule 4 own tag definition rename
e0087,w,high,rule 5 own branding settings
e0510,w,high,rule 4 own data source delete
e0943,w,high,own dynamic content variant edit
e0273,w,high,own task series delete irreversibility not test
e0554,w,high,rule 4 own source mapping edit
e0563,x,high,POST clone creates new campaign road 2
e0196,x,high,POST create log stream road 2
e0282,w,high,rule 1 own lead record archive
e0266,w,high,rule 4 own list container delete
e0367,w,high,own marketing email properties edit not sent
e0657,w,high,rule 4 cascade inside own board stays w
e0922,r,high,POST preview dry run read
e0973,w,high,rule 4 own ticket field definition edit
e0185,x,high,POST create flow road 2
e0702,x,high,rule 4 changes team member role
e0285,w,high,rule 1 own product record archive
e0295,w,high,own asset campaign association removal
e0301,w,high,rule 6 own token delete
e0137,w,low,rule 3 path param not a reach session edit
