row_id,provider,method,path,operationId,summary,description
b0199,microsoft.com,PATCH,/identityGovernance/entitlementManagement/accessPackageCatalogs/{accessPackageCatalog-id}/accessPackageResourceScopes/{accessPackageResourceScope-id}/accessPackageResource/accessPackageResourceRoles/{accessPackageResourceRole-id},identityGovernance.entitlementManagement.accessPackageCatalogs.accessPackageResourceScopes.accessPackageResource.UpdateAccessPackageResourceRoles,Update the navigation property accessPackageResourceRoles in identityGovernance,
b0253,microsoft.com,PATCH,/drives/{drive-id}/items/{driveItem-id}/workbook/worksheets/{workbookWorksheet-id}/charts/{workbookChart-id}/axes/categoryAxis/majorGridlines,drives.items.workbook.worksheets.charts.axes.categoryAxis.UpdateMajorGridlines,Update the navigation property majorGridlines in drives,
b0678,netbox.dev,DELETE,/users/tokens/,users_tokens_bulk_delete,,
b0330,gitea.io,POST,/repos/{owner}/{repo}/issues,issueCreateIssue,"Create an issue. If using deadline only the date will be taken into account, and time of day ignored.",
b0228,microsoft.com,POST,/users/{user-id}/calendar/events/{event-id}/instances/{event-id1}/microsoft.graph.dismissReminder,users.user.calendar.events.event.instances.event.dismissReminder,Invoke action dismissReminder,Dismiss a reminder that has been triggered for an event in a user calendar.
b1055,atlassian.com,POST,/rest/api/3/field/{fieldId}/context/mapping,getCustomFieldContextsForProjectsAndIssueTypes,Get custom field contexts for projects and issue types,"Returns a [paginated](#pagination) list of project and issue type mappings and, for each mapping, the ID of a [custom field context](https://confluence.atlassian.com/x/k44fOw) that applies to the project and issue type. If there is no custom field context assigned to the project then, if present, the custom field context that applies to all projects is returned if it also applies to the issue type or all issue types. If a custom field context is not found, the returned custom field context ID is"
b0126,github.com,PATCH,/repos/{owner}/{repo}/actions/cache/usage-policy,actions/set-actions-cache-usage-policy,Set GitHub Actions cache usage policy for a repository,Sets GitHub Actions cache usage policy for a repository. You must authenticate using an access token with the `repo` scope to use this endpoint. GitHub Apps must have the `actions:write` permission to use this endpoint.
b0030,github.com,DELETE,/repos/{owner}/{repo}/branches/{branch}/protection/required_signatures,repos/delete-commit-signature-protection,Delete commit signature protection,"Protected branches are available in public repositories with GitHub Free and GitHub Free for organizations, and in public and private repositories with GitHub Pro, GitHub Team, GitHub Enterprise Cloud, and GitHub Enterprise Server. For more information, see [GitHub's products](https://docs.github.com/github/getting-started-with-github/githubs-products) in the GitHub Help documentation. When authenticated with admin or owner permissions to the repository, you can use this endpoint to disable requ"
b0766,clearblade.com,POST,/admin/collectionmanagement,DevCreateCollection,DEVELOPER - Create collection,Creates a new collection or database connection in the specified system.
b0111,github.com,PUT,/orgs/{org}/public_members/{username},orgs/set-public-membership-for-authenticated-user,Set public organization membership for the authenticated user,"The user can publicize their own membership. (A user cannot publicize the membership for another user.) Note that you'll need to set `Content-Length` to zero when calling out to this endpoint. For more information, see ""[HTTP verbs](https://docs.github.com/rest/overview/resources-in-the-rest-api#http-verbs)."""
