set,repo,path,method,operationId,gt_class,callbacks_present,desc_mentions_callback,description,doc_has_webhooks,doc_oauth2_flows_with_scopes,doc_security_scheme_external_ref,doc_top_level_security,has200,has201,has202,has204,has_description,has_operationId,has_summary,idempotency_header_param,party_id_param,requestBody_media_type,requestBody_party_money,requestBody_present,requestBody_props,resolved,resource_schema_found,resource_schema_from,resource_schema_party_field,resource_schema_props,security_present,security_scheme_count,security_scopes,status_codes,summary,x_extension_keys
camara,ApplicationEndpointDiscovery,/retrieve-optimal-app-endpoints,POST,getOptimalAppEndpoints,r,false,false,"On receiving this request, the network will return the endpoint(s) of the Application Instance(s) with the shortest network path to the end user device identified in the request.",false,false,true,false,true,false,false,false,true,true,true,false,false,application/json,false,true,device|applicationEndpointsId|appId,true,false,,false,,true,1,application-endpoint-discovery:app-endpoints:read,200|400|401|403|404|422|429,Returns the Endpoint(s) of the optimal Application Instance(s) to the user device identified in the request.,
camara,ApplicationEndpointRegistration,/application-endpoint-lists,GET,getAllRegisteredApplicationEndpoints,r,false,false,Returns endpoint information for all registered Applications.,false,false,true,false,true,false,false,false,true,true,true,false,false,,false,false,,true,true,/application-endpoint-lists,false,applicationEndpointListId|applicationEndpointsInfo,true,1,application-endpoint-registration:application-endpoints:read,200|400|401|403|429,Get all registered edge application endpoint information,
camara,ApplicationEndpointRegistration,/application-endpoint-lists,POST,registerApplicationEndpoints,x,false,false,Register the endpoints of a deployed application to a specified edge cloud zone.,false,false,true,false,true,false,false,false,true,true,true,false,false,application/json,false,true,applicationEndpoints|applicationProviderName|applicationDescription|applicationProfileId,true,true,/application-endpoint-lists,false,applicationEndpointListId|applicationEndpointsInfo,true,1,application-endpoint-registration:application-endpoints:write,200|400|401|403|404|429,Register endpoints of a deployed application,
camara,ApplicationEndpointRegistration,/application-endpoint-lists/{applicationEndpointListId},DELETE,deregisterApplicationEndpoint,w,false,false,Deregister an application's Endpoint from the edge cloud zone.,false,false,true,false,false,false,false,true,true,true,true,false,false,,false,false,,true,true,/application-endpoint-lists/{applicationEndpointListId},false,applicationEndpointListId|applicationEndpointsInfo,true,1,application-endpoint-registration:application-endpoints:delete,204|400|401|403|404|429,Deregister an application Endpoint,
camara,ApplicationEndpointRegistration,/application-endpoint-lists/{applicationEndpointListId},GET,getApplicationEndpointsById,r,false,false,Returns endpoint information of the application based on applicationEndpointListId.,false,false,true,false,true,false,false,false,true,true,true,false,false,,false,false,,true,true,/application-endpoint-lists/{applicationEndpointListId},false,applicationEndpointListId|applicationEndpointsInfo,true,1,application-endpoint-registration:application-endpoints:read,200|400|401|403|404|429,Get registered edge application endpoint information,
camara,ApplicationEndpointRegistration,/application-endpoint-lists/{applicationEndpointListId},PUT,updateApplicationEndpoint,w,false,false,Update registered application Endpoint information.,false,false,true,false,false,false,false,true,true,true,true,false,false,application/json,false,true,applicationEndpoints|applicationProviderName|applicationDescription|applicationProfileId,true,true,/application-endpoint-lists/{applicationEndpointListId},false,applicationEndpointListId|applicationEndpointsInfo,true,1,application-endpoint-registration:application-endpoints:update,204|400|401|403|404|429,Update an application Endpoint,
camara,ApplicationProfiles,/application-profiles,POST,createApplicationProfile,x,false,false,Define network monitoring intents for optimal end user application experience.,false,false,true,false,false,true,false,false,true,true,true,false,false,application/json,false,true,networkQualityThresholds|computeResources,true,false,,false,,true,1,application-profiles:create,201|400|401|403|429,Create an Application Profile,
camara,ApplicationProfiles,/application-profiles/{applicationProfileId},DELETE,deleteApplicationProfile,w,false,false,Delete an application profile,false,false,true,false,false,false,false,true,true,true,true,false,false,,false,false,,true,true,/application-profiles/{applicationProfileId},false,applicationProfileId|networkQualityThresholds|computeResources,true,1,application-profiles:delete,204|400|401|403|404|429,Delete an Application Profile,
camara,ApplicationProfiles,/application-profiles/{applicationProfileId},GET,readApplicationProfile,r,false,false,Read an Application Profile,false,false,true,false,true,false,false,false,true,true,true,false,false,,false,false,,true,true,/application-profiles/{applicationProfileId},false,applicationProfileId|networkQualityThresholds|computeResources,true,1,application-profiles:read,200|400|401|403|404|429,Get an Application Profile,
camara,ApplicationProfiles,/application-profiles/{applicationProfileId},PATCH,updateApplicationProfile,w,false,false,Update the complete set of network quality thresholds for an application with the new set of thresholds to ensure good end user experience,false,false,true,false,true,false,false,false,true,true,true,false,false,application/json,false,true,applicationProfileId|networkQualityThresholds|computeResources,true,true,/application-profiles/{applicationProfileId},false,applicationProfileId|networkQualityThresholds|computeResources,true,1,application-profiles:update,200|400|401|403|404|429,Update an Application Profile,
