row_id,truth_class,confidence,reason
pc-r0813,r,high,GET lists runs no change made
x17-e0242,r,high,GET retrieves device integration no change
pc-r1888,r,high,GET retrieves kafka schema no change
pc-r2187,r,high,GET lists reserved ipv6s no change
x17-e1223,r,high,GET retrieves an attachment no change
pc-r3456,r,high,GET retrieves projects for task no change
x17-e0662,r,high,GET retrieves role assignment no change
pc-r1226,r,high,GET lists jobs no change
pc-r3558,r,high,GET retrieves time tracking entries no change
pc-r3025,r,high,GET lists ids of already deleted worklogs
x17-e0131,r,high,GET retrieves a custom claim no change
pc-r3339,r,high,GET retrieves domain info no change
pc-r3175,r,high,GET lists members info no change
x17-e1015,r,high,GET retrieves custom fields no change
pc-r3227,r,high,GET retrieves abuse report no change
pc-r4170,r,high,GET returns analytics usage data no change
pc-r2511,r,high,GET returns issue events no change
x17-e0951,r,high,GET returns permission profile no change
pc-r0474,r,high,GET retrieves a configuration object no change
pc-r2451,r,high,GET returns attachment metadata no change
x17-e0784,r,high,GET retrieves connect configs no change
x17-e0062,r,high,GET lists features no change
x17-e0593,r,high,GET retrieves current configuration no change
x20-e0385,r,high,i POST batch read of landing pages
pc-r0699,r,high,GET retrieves a group role no change
x17-e1262,r,high,GET retrieves item history no change
pc-r1733,r,high,GET retrieves audio analysis no change
pc-r0132,r,high,GET retrieves a credit note no change
pc-r0090,r,high,GET lists charges no change
pc-r2405,r,high,GET retrieves a simulation run no change
pc-r3040,r,high,GET retrieves service registry attributes no change
pc-r3338,r,high,GET retrieves a survey response no change
x17-e0463,r,high,GET retrieves a user type no change
pc-r1390,r,high,GET retrieves permissions no change
x20-e0629,r,low,i POST renders template answer not stored
pc-r3893,r,high,GET lists help centers no change
pc-r2678,r,high,GET searches security schemes no change
pc-r2460,r,high,GET returns comment property keys no change
pc-r1792,r,high,GET retrieves a single event no change
pc-r0144,r,high,GET retrieves a balance transaction no change
pc-r3522,r,high,GET retrieves subtasks no change
x17-e1102,r,high,GET retrieves a profile image no change
pc-r3196,r,high,GET retrieves a merge field no change
x17-e0502,r,high,GET retrieves an org setting no change
pc-r3376,r,high,GET lists custom fields no change
pc-r0215,r,high,GET retrieves a session no change
pc-r2050,r,high,GET retrieves cpu metrics no change
pc-r3226,r,high,GET lists abuse reports no change
pc-r1895,r,high,GET retrieves existing metrics credentials no change
pc-r2785,r,high,GET lists priority schemes no change
pc-r0743,r,high,GET lists project users no change
pc-r1848,r,high,GET lists read only replicas no change
pc-r0652,r,high,i POST validate is read verb no store
pc-r2833,r,high,GET returns project role details no change
pc-r3303,r,high,GET retrieves product variant info no change
pc-r2176,r,high,GET lists garbage collections no change
pc-r3493,r,high,GET retrieves a story no change
pc-r1537,r,high,GET lists payment tokens no change
pc-r3729,r,high,GET searches metrics no change
pc-r0763,r,high,GET returns usage details no change
pc-r2731,r,high,GET lists labels no change
x17-e0949,r,high,GET lists permission profiles no change
pc-r0184,r,high,GET retrieves a dispute no change
pc-r0884,r,high,GET retrieves agent environment status no change
pc-r2900,r,high,GET returns default columns no change
pc-r1109,r,high,GET returns a team member wage no change
pc-r0319,r,high,GET retrieves payment method configuration no change
x17-e0478,r,high,GET lists org contact types no change
pc-r2056,r,high,GET retrieves firewall metrics no change
pc-r2079,r,high,GET retrieves autoscale pool size no change
pc-r3253,r,high,GET lists stores no change
pc-r1360,r,high,GET retrieves hosts report no change
pc-r2651,r,high,GET returns issue worklogs no change
x17-e1234,r,high,GET retrieves expense claims no change
pc-r3640,r,high,GET returns total active hosts no change
pc-r4013,r,high,GET lists subscription types no change
x17-e0375,r,high,GET retrieves a role permission no change
pc-r1483,r,low,i POST generates computed qr image not stored
pc-r2663,r,high,GET returns an issue link no change
pc-r0764,r,high,GET returns images usage details no change
pc-r3073,r,high,GET retrieves automation subscriber info no change
pc-r2139,r,high,GET lists default project resources no change
pc-r0177,r,low,GET retrieves discount no description given
pc-r3665,r,high,GET lists gcp integrations no change
pc-r1328,r,high,GET retrieves past meeting participants no change
pc-r1843,r,high,GET retrieves do settings no change
x17-e1284,r,high,GET retrieves organisation details no change
pc-r1682,r,high,GET retrieves a playlist no change
pc-r0883,r,high,GET lists chatkit threads no change
pc-r1827,r,high,GET returns billing insights no change
pc-r0958,r,high,GET lists custom attribute definitions no change
x17-e0289,r,high,GET retrieves an event hook no change
pc-r3594,r,high,GET lists api keys no change
pc-r1681,r,high,GET retrieves current users profile no change
x17-e1105,r,high,GET retrieves user settings no change
pc-r0204,r,high,GET lists files no change
x17-e0023,r,high,GET retrieves token metadata no change
pc-r2513,r,high,i POST evaluates expression or fetches data
x17-e0065,r,high,GET lists federated claims no change
pc-r2043,r,high,GET retrieves load metrics no change
