row_id,provider,method,path,operationId,truth,confidence,predicted,step,rule,source,matched,verdict
e0001,okta,GET,/.well-known/app-authenticator-configuration,getWellKnownAppAuthenticatorConfiguration,r,high,r,1,method,floor,,exact
e0002,okta,GET,/.well-known/apple-app-site-association,getAppleAppSiteAssociationWellKnownURI,r,high,r,1,method,floor,,exact
e0003,okta,GET,/.well-known/assetlinks.json,getAssetLinksWellKnownURI,r,high,r,1,method,floor,,exact
e0004,okta,GET,/.well-known/okta-organization,getWellknownOrgMetadata,r,high,r,1,method,floor,,exact
e0005,okta,GET,/.well-known/ssf-configuration,getWellknownSsfMetadata,r,high,r,1,method,floor,,exact
e0006,okta,GET,/.well-known/webauthn,getWebAuthnWellKnownURI,r,high,r,1,method,floor,,exact
e0007,okta,GET,/api/v1/agentPools,listAgentPools,r,high,r,1,method,floor,,exact
e0008,okta,GET,/api/v1/agentPools/{poolId}/updates,listAgentPoolsUpdates,r,high,r,1,method,floor,,exact
e0009,okta,POST,/api/v1/agentPools/{poolId}/updates,createAgentPoolsUpdate,x,high,x,3,floor-post,floor,,exact
e0010,okta,GET,/api/v1/agentPools/{poolId}/updates/settings,getAgentPoolsUpdateSettings,r,high,r,1,method,floor,,exact
e0011,okta,POST,/api/v1/agentPools/{poolId}/updates/settings,updateAgentPoolsUpdateSettings,w,high,w,2,modify-verb,list,update,exact
e0012,okta,GET,/api/v1/agentPools/{poolId}/updates/{updateId},getAgentPoolsUpdateInstance,r,high,r,1,method,floor,,exact
e0013,okta,POST,/api/v1/agentPools/{poolId}/updates/{updateId},updateAgentPoolsUpdate,w,high,w,2,modify-verb,list,update,exact
e0014,okta,DELETE,/api/v1/agentPools/{poolId}/updates/{updateId},deleteAgentPoolsUpdate,w,high,w,2,method-floor,floor,,exact
e0015,okta,POST,/api/v1/agentPools/{poolId}/updates/{updateId}/activate,activateAgentPoolsUpdate,x,low,w,2,modify-verb,list,activate,leak
e0016,okta,POST,/api/v1/agentPools/{poolId}/updates/{updateId}/deactivate,deactivateAgentPoolsUpdate,w,high,w,2,modify-verb,list,deactivate,exact
e0017,okta,POST,/api/v1/agentPools/{poolId}/updates/{updateId}/pause,pauseAgentPoolsUpdate,w,high,w,2,modify-verb,list,pause,exact
e0018,okta,POST,/api/v1/agentPools/{poolId}/updates/{updateId}/resume,resumeAgentPoolsUpdate,x,high,x,3,floor-post,floor,,exact
e0019,okta,POST,/api/v1/agentPools/{poolId}/updates/{updateId}/retry,retryAgentPoolsUpdate,x,high,x,3,floor-post,floor,,exact
e0020,okta,POST,/api/v1/agentPools/{poolId}/updates/{updateId}/stop,stopAgentPoolsUpdate,w,high,x,3,floor-post,floor,,over-tight
e0021,okta,GET,/api/v1/api-tokens,listApiTokens,r,high,r,1,method,floor,,exact
e0022,okta,DELETE,/api/v1/api-tokens/current,revokeCurrentApiToken,w,high,w,2,method-floor,floor,,exact
e0023,okta,GET,/api/v1/api-tokens/{apiTokenId},getApiToken,r,high,r,1,method,floor,,exact
e0024,okta,PUT,/api/v1/api-tokens/{apiTokenId},upsertApiToken,w,high,w,2,method-floor,floor,,exact
e0025,okta,DELETE,/api/v1/api-tokens/{apiTokenId},revokeApiToken,w,low,w,2,method-floor,floor,,exact
e0026,okta,GET,/api/v1/apps,listApplications,r,high,r,1,method,floor,,exact
e0027,okta,POST,/api/v1/apps,createApplication,x,high,x,3,floor-post,floor,,exact
e0028,okta,GET,/api/v1/apps/{appId},getApplication,r,high,r,1,method,floor,,exact
e0029,okta,PUT,/api/v1/apps/{appId},replaceApplication,w,high,w,2,method-floor,floor,,exact
e0030,okta,DELETE,/api/v1/apps/{appId},deleteApplication,w,high,w,2,method-floor,floor,,exact
e0031,okta,GET,/api/v1/apps/{appId}/connections/default,getDefaultProvisioningConnectionForApplication,r,high,r,1,method,floor,,exact
e0032,okta,POST,/api/v1/apps/{appId}/connections/default,updateDefaultProvisioningConnectionForApplication,w,high,w,2,modify-verb,list,update,exact
e0033,okta,GET,/api/v1/apps/{appId}/connections/default/jwks,getUserProvisioningConnectionJWKS,r,high,r,1,method,floor,,exact
