row_id,provider,method,path,operationId,summary,description
48,aiception.com,POST,/face,,Find all faces in the image [ image_url -> id ],Get a list of all the locations of the faces in the image.
49,airbyte.local,POST,/v1/connections/create,createConnection,Create a connection between a source and a destination,
50,airbyte.local,POST,/v1/destination_definitions/list_for_workspace,listDestinationDefinitionsForWorkspace,List all the destinationDefinitions the given workspace is configured to use,
51,airbyte.local,POST,/v1/logs/get,getLogs,Get logs,
52,airbyte.local,POST,/v1/source_definitions/get_for_workspace,getSourceDefinitionForWorkspace,Get a sourceDefinition that is configured for the given workspace,
53,airbyte.local,POST,/v1/source_definitions/list_for_workspace,listSourceDefinitionsForWorkspace,List all the sourceDefinitions the given workspace is configured to use,
54,airbyte.local,POST,/v1/source_definitions/list_private,listPrivateSourceDefinitions,"List all private, non-custom sourceDefinitions, and for each indicate whether the given workspace has a grant for using the definition. Used by admins to view and modify a given workspace's grants.",
55,airbyte.local,POST,/v1/sources/discover_schema,discoverSchemaForSource,Discover the schema catalog of the source,
56,airbyte.local,POST,/v1/sources/update,updateSource,Update a source,
57,airbyte.local,POST,/v1/state/create_or_update,createOrUpdateState,Create or update the state for a connection.,
58,airbyte.local,POST,/v1/state/get,getState,Fetch the current state for a connection.,
59,airbyte.local,POST,/v1/workspaces/tag_feedback_status_as_done,updateWorkspaceFeedback,Update workspace feedback state,
60,airbyte.local,POST,/v1/workspaces/update_name,updateWorkspaceName,Update workspace name,
144,api2pdf.com,POST,/chrome/url,chromeFromUrlPost,Convert URL to PDF,Convert a URL or Web Page to PDF using Headless Chrome on AWS Lambda.. ### Authorize via Header of Request **Authorization: YOUR-API-KEY**
169,apisetu.gov.in,POST,/alsfc/certificate,alsfc,Application/ License for Factory,API to verify Application/ License for Factory.
170,apisetu.gov.in,POST,/dipcr/certificate,dipcr,Diploma Certificate,API to verify Diploma Certificate.
171,apisetu.gov.in,POST,/dpcer/certificate,dpcer,Dependency Certificate,API to verify Dependency Certificate.
172,apisetu.gov.in,POST,/ffcer/certificate,ffcer,Freedom Fighter Certificate,API to verify Freedom Fighter Certificate.
173,apisetu.gov.in,POST,/miipc/certificate,miipc,Insurance Policy - Miscellaneous,API to verify Insurance Policy - Miscellaneous.
174,apisetu.gov.in,POST,/pecer/certificate,pecer,Pension Certificate,API to verify Pension Certificate.
175,apisetu.gov.in,POST,/pripc/certificate,pripc,Insurance Policy - Property,API to verify Insurance Policy - Property.
176,apisetu.gov.in,POST,/pscer/certificate,pscer,Possession Certificate,API to verify Possession Certificate.
177,apisetu.gov.in,POST,/skhsc/certificate,skhsc,Skill Certificate (X),API to verify Skill Certificate (X).
178,apisetu.gov.in,POST,/skmst/certificate,skmst,Skill Marksheet/ Score Card,API to verify Skill Marksheet/ Score Card.
179,apisetu.gov.in,POST,/tapcn/certificate,tapcn,New Tap Connection,API to verify New Tap Connection.
180,apisetu.gov.in,POST,/ugdcn/certificate,ugdcn,Jalanidhi - New UGD Connection,API to verify Jalanidhi - New UGD Connection.
227,apptigent.com,POST,/CalculateMinMax,CalculateMinMax,Math - Calculate minimum or maximum,Calculate the minimum or maximum value in a sequence of numbers
228,apptigent.com,POST,/CalculateMultiplication,CalculateMultiplication,Math - Calculate Multiplication,Calculate the product of two numbers
229,apptigent.com,POST,/CollectionToJSON,CollectionToJSON,Collections - Collection to JSON,Convert a collection to a named JSON object
230,apptigent.com,POST,/ConvertDistance,ConvertDistance,Math - Convert distance,Convert value from one distance measurement to another
231,apptigent.com,POST,/ConvertPower,ConvertPower,Math - Convert power,Convert value from one power measurement to another
232,apptigent.com,POST,/CountCollection,CountCollection,Collections - Count collection,Count a collection of items
233,apptigent.com,POST,/FlipImage,FlipImage,Files - Flip Image,Flip an image (horizontal or vertical)
234,apptigent.com,POST,/ReplaceString,ReplaceString,Text - Replace string,Replace one value with another in a string
235,apptigent.com,POST,/SortCollection,SortCollection,Collections - Sort collection,Sort a collection of strings
236,apptigent.com,POST,/TextToSpeech,TextToSpeech,Text - Text to Speech,Convert text to an audio file using AI-driven speech synthesis.
237,apptigent.com,POST,/ValidateEmail,ValidateEmail,Text - Validate email,Determine if an email address is valid
238,apptigent.com,POST,/XMLtoJSON,XmlToJson,Data - XML to JSON,Convert an XML string to a JSON object
315,betfair.com,POST,/request,,,This is a socket protocol delimited by CRLF (not http)
360,botify.com,POST,/analyses/{username}/{project_slug}/{analysis_slug}/urls/aggs,getUrlsAggs,Query aggregator,Query aggregator. It accepts multiple queries
362,botschaft.local,POST,/sns,sns_post_sns_post,Sns Post,
388,brex.io,POST,/api/v1/company/deepsearch/isin,CompanyDeepsearchISIN,Retrieves a list of stock exchange listings,Lookup stock exchange listings identified by an ISIN (International Securities Identification Number) number. Search is forwarded to a provider.
389,brex.io,POST,/api/v1/pepsanction/monitor/unregister/{id},PepMonitorUnregister,Deactive a pep sanction monitor,Unregister a previously created Pep Sanction Report Monitor
390,brex.io,POST,/api/v1/pepsanction/order/{type}/{search},PepOrder,Orders a new Pep Sanction Check Report,Order a new Pep Sanction Check by providing either a business or person name with some additional optional parameters.
391,brex.io,POST,/api/v1/vat-verification/leveltwo-check/{country},VatLevelTwo,Returns a level two verification result,Second Level Verification of VAT number against BMF Austria. Optional confirmation parameter can be provided to order a Confirmation Report.
394,bufferapp.com,POST,/updates/{id}/update{mediaTypeExtension},,,"Edit an existing, individual status update."
395,bufferapp.com,POST,/updates/create{mediaTypeExtension},,,Create one or more new status updates.
401,bungie.net,POST,/Destiny2/Actions/Items/EquipItem/,Destiny2.EquipItem,,"Equip an item. You must have a valid Destiny Account, and either be in a social space, in orbit, or offline."
402,bungie.net,POST,/Destiny2/Actions/Items/SetTrackedState/,Destiny2.SetQuestTrackedState,,"Set the Tracking State for an instanced item, if that item is a Quest or Bounty. You must have a valid Destiny Account. Yeah, it's an item."
403,bungie.net,POST,/Destiny2/Awa/Initialize/,Destiny2.AwaInitializeRequest,,Initialize a request to perform an advanced write action.
404,bungie.net,POST,/Forum/Recruit/Summaries/,Forum.GetRecruitmentThreadSummaries,,Allows the caller to get a list of to 25 recruitment thread summary information objects.
405,bungie.net,POST,/GroupV2/{groupId}/Members/{membershipType}/{membershipId}/Unban/,GroupV2.UnbanMember,,"Unbans the requested member, allowing them to re-apply for membership."
406,bungie.net,POST,/GroupV2/{groupId}/Members/Approve/{membershipType}/{membershipId}/,GroupV2.ApprovePending,,Approve the given membershipId to join the group/clan as long as they have applied.
407,bungie.net,POST,/GroupV2/{groupId}/OptionalConversations/Add/,GroupV2.AddOptionalConversation,,Add a new optional conversation/chat channel. Requires admin permissions to the group.
408,bungie.net,POST,/GroupV2/NameV2/,GroupV2.GetGroupByNameV2,,Get information about a specific group with the given name and type. The POST version.
409,bungie.net,POST,/Social/Friends/Requests/Decline/{membershipId}/,Social.DeclineFriendRequest,,"Declines a friend relationship with the target user. The user must be on your incoming friend request list, though no error will occur if they are not."
410,bungie.net,POST,/Social/Friends/Requests/Remove/{membershipId}/,Social.RemoveFriendRequest,,"Remove a friend relationship with the target user. The user must be on your outgoing request friend list, though no error will occur if they are not."
411,bungie.net,POST,/Tokens/Partner/ClaimOffer/,Tokens.ClaimPartnerOffer,,Claim a partner offer as the authenticated user.
412,bungie.net,POST,/User/Search/GlobalName/{page}/,User.SearchByGlobalNamePost,,"Given the prefix of a global display name, returns all users who share that name."
436,chaingateway.io,POST,/getBlock,getBlock,getBlock,Returns information of an ethereum block with or without transactions
437,chaingateway.io,POST,/getEthereumBalance,getEthereumBalance,getEthereumBalance,Returns the ethereum balance of a given address.
438,chaingateway.io,POST,/getLastBlockNumber,getLastBlockNumber,getLastBlockNumber,Returns the block number of the last mined ethereum block.
439,chaingateway.io,POST,/getToken,getToken,getToken,"Returns information about a specific ERC20 token like name, symbol, decimal places and total supply."
440,chaingateway.io,POST,/newAddress,newAddress,newAddress,Generates a new ethereum addresses you can use to send or receive funds. Do not lose the password! We can't restore access to an address if you lose it.
442,circl.lu,POST,/bulk/md5,post_bulkmd5,,Bulk search of MD5 hashes in a JSON array with the key 'hashes'.
443,circl.lu,POST,/bulk/sha1,post_bulksha1,,Bulk search of SHA1 hashes in a JSON array with the 'hashes'.
523,clickup.com,POST,/questions,Create a New Question,Create a New Question,You may create your own question using this action. It takes a JSON object containing a question and a collection of answers in the form of choices.
524,cloudmersive.com,POST,/ocr/image/to/words-with-location,ImageOcr_ImageWordsWithLocation,Convert a scanned image into words with location,"Converts an uploaded image in common formats such as JPEG, PNG into words/text with location information and other metdata via Optical Character Recognition.  This API is intended to be run on scanned documents.  If you want to OCR photos (e.g. taken with a smart phone camera), be sure to use the photo/toText API instead, as it is designed to unskew the image first.  Note: for free tier API keys, it is required to add a credit card to your account for security reasons, to use the free tier key w"
525,cloudmersive.com,POST,/ocr/pdf/to/lines-with-location,PdfOcr_PdfToLinesWithLocation,Convert a PDF into text lines with location,"Converts a PDF into lines/text with location information and other metdata via Optical Character Recognition.  This API is intended to be run on scanned documents.  If you want to OCR photos (e.g. taken with a smart phone camera), be sure to use the photo/toText API instead, as it is designed to unskew the image first."
526,cloudmersive.com,POST,/ocr/photo/recognize/form/advanced,ImageOcr_PhotoRecognizeFormAdvanced,"Recognize a photo of a form, extract key fields using stored templates","Analyzes a photograph of a form as input, and outputs key business fields and information.  Customzie data to be extracted by defining fields for the form.  Uses template definitions stored in Cloudmersive Configuration; to configure stored templates in a configuration bucket, log into Cloudmersive Management Portal and navigate to Settings &gt; API Configuration &gt; Create Bucket.  Note: for free tier API keys, it is required to add a credit card to your account for security reasons, to use th"
