row_id,provider,method,path,operationId,summary,description
pc-r0813,openai,GET,/threads/{thread_id}/runs,listRuns,List runs,Returns a list of runs belonging to a thread.
x17-e0242,okta,GET,/api/v1/device-integrations/{deviceIntegrationId},getDeviceIntegration,Retrieve a device integration,Retrieves a device integration by `deviceIntegrationId`
pc-r1888,digitalocean,GET,/v2/databases/{database_cluster_uuid}/schema-registry/{subject_name},databases_get_kafka_schema,Get a Kafka Schema by Subject Name,"To get a specific schema by subject name for a Kafka cluster, send a GET request to
`/v2/databases/$DATABASE_ID/schema-registry/$SUBJECT_NAME`."
pc-r2187,digitalocean,GET,/v2/reserved_ipv6,reservedIPv6_list,List All Reserved IPv6s,"To list all of the reserved IPv6s available on your account, send a GET request to `/v2/reserved_ipv6`."
x17-e1223,xero,GET,/CreditNotes/{CreditNoteID}/Attachments/{AttachmentID},getCreditNoteAttachmentById,Retrieves a specific attachment from a specific credit note using a unique attachment Id,
pc-r3456,asana,GET,/tasks/{task_gid}/projects,getProjectsForTask,Get projects a task is in,"<b>Required scope: </b><code>projects:read</code>

Returns a compact representation of all of the projects the task is in."
x17-e0662,okta,GET,/api/v1/users/{userId}/roles/{roleAssignmentId},getUserAssignedRole,Retrieve a user role assignment,Retrieves a role assigned to a user (identified by `userId`). The `roleAssignmentId` parameter is the unique identifier for either a standard role assignment object or a custom role resource set binding object.
pc-r1226,square,GET,/v2/team-members/jobs,ListJobs,ListJobs,Lists jobs in a seller account. Results are sorted by title in ascending order.
pc-r3558,asana,GET,/tasks/{task_gid}/time_tracking_entries,getTimeTrackingEntriesForTask,Get time tracking entries for a task,"<b>Required scope: </b><code>time_tracking_entries:read</code>

Returns time tracking entries for a given task."
pc-r3025,jira,GET,/rest/api/2/worklog/deleted,getIdsOfWorklogsDeletedSince,Get IDs of deleted worklogs,"Returns a list of IDs and delete timestamps for worklogs deleted after a date and time.

This resource is paginated, with a limit of 1000 worklogs per page. Each page lists worklogs from oldest to youngest. If the number of items in the date range exceeds 1000, `until` indicates the timestamp of the youngest item on the page. Also, `nextPage` provides the URL for the next page of worklogs. The `lastPage` parameter is set to true on the last page of worklogs.

This resource does not return worklogs deleted during the minute preceding the request.

**[Permissions](#permissions) required:** Permission to access Jira."
x17-e0131,okta,GET,/api/v1/authorizationServers/{authServerId}/claims/{claimId},getOAuth2Claim,Retrieve a custom token claim,Retrieves a custom token Claim by the specified `claimId`
pc-r3339,mailchimp,GET,/verified-domains/{domain_name},getVerifiedDomain,Get domain info,Get the details for a single domain on the account.
pc-r3175,mailchimp,GET,/lists/{list_id}/members,getListsIdMembers,List members info,Get information about members in a specific Mailchimp list.
x17-e1015,docusign,GET,/v2.1/accounts/{accountId}/templates/{templateId}/custom_fields,CustomFields_GetTemplateCustomFields,Gets the custom document fields from a template.,Retrieves the custom document field information from an existing template.
pc-r3227,mailchimp,GET,/reports/{campaign_id}/abuse-reports/{report_id},getReportsIdAbuseReportsIdId,Get abuse report,Get information about a specific abuse report for a campaign.
pc-r4170,figma,GET,/v1/analytics/libraries/{file_key}/variable/usages,getLibraryAnalyticsVariableUsages,Get library analytics variable usage data.,Returns a list of library analytics variable usage data broken down by the requested dimension.
pc-r2511,jira,GET,/rest/api/2/events,getEvents,Get events,"Returns all issue events.

**[Permissions](#permissions) required:** *Administer Jira* [global permission](https://confluence.atlassian.com/x/x4dKLg)."
