row_id,provider,method,path,operationId,summary,description,truth_class,confidence,reason,source_set
b0001,github,POST,/repos/{owner}/{repo}/keys,repos/create-deploy-key,Create a deploy key,You can create a read-only deploy key.,w,high,ii plain create deploy key,buildset-2026-09-18
b0002,github,DELETE,/orgs/{org}/announcement,announcement-banners/remove-announcement-banner-for-org,Remove announcement banner from organization,Removes the announcement banner currently set for the organization.,x,high,DELETE method wins removes banner,buildset-2026-09-18
b0003,github,DELETE,/orgs/{org}/blocks/{username},orgs/unblock-user,Unblock a user from an organization,,x,low,DELETE method wins over toggle list rule,buildset-2026-09-18
b0004,github,DELETE,/user/keys/{key_id},users/delete-public-ssh-key-for-authenticated,Delete a public SSH key for the authenticated user,Removes a public SSH key from the authenticated user's GitHub account. Requires that you are authenticated via Basic Auth or via OAuth with at least `admin:public_key` [scope](https://docs.github.com/enterprise-server@2.18/apps/building-oauth-apps/understanding-scopes-for-oauth-apps/).,x,high,a b deletes ssh key credential no restore,buildset-2026-09-18
b0005,github,POST,/teams/{team_id}/discussions/{discussion_number}/reactions,reactions/create-for-team-discussion,Create reaction for a team discussion,Create a reaction to a [team discussion](https://docs.github.com/enterprise-server@2.18/rest/reference/teams#discussions). OAuth access tokens require the `write:discussion` [scope](https://docs.github.com/enterprise-server@2.18/apps/building-oauth-apps/understanding-scopes-for-oauth-apps/). A response with an HTTP `200` status means that you already added the reaction type to this team discussion.,w,low,D98 ruling: comment/reaction is w,buildset-2026-09-18
b0006,github,DELETE,/scim/v2/Users/{scim_user_id},enterprise-admin/delete-user-from-enterprise,Delete a SCIM user from an enterprise,"**Note:** The SCIM API endpoints for enterprise accounts are currently in *private* beta and are subject to change. Permanently suspends a SCIM user from an enterprise, removes all data for the user, obfuscates the login, email, and display name of the user, removes all external-identity SCIM attributes, and deletes the emails, avatar, PATs, SSH keys, OAuth authorizations credentials, GPG keys, and SAML mappings for the user. You will not be able to undo this action.",x,high,explicit cannot undo this action,buildset-2026-09-18
b0007,github,PATCH,/teams/{team_id}/discussions/{discussion_number},teams/update-discussion-legacy,Update a discussion (Legacy),**Deprecation Notice:** This endpoint route is deprecated and will be removed from the Teams API. We recommend migrating your existing code to use the new [Update a discussion](https://docs.github.com/rest/reference/teams#update-a-discussion) endpoint. Edits the title and body text of a discussion post. Only the parameters you provide are updated. OAuth access tokens require the `write:discussion` [scope](https://docs.github.com/apps/building-oauth-apps/understanding-scopes-for-oauth-apps/).,w,high,patch default w edits discussion,buildset-2026-09-18
b0008,github,POST,/applications/{client_id}/token,apps/check-token,Check a token,"OAuth applications can use a special API method for checking OAuth token validity without exceeding the normal rate limits for failed login attempts. Authentication works differently with this particular endpoint. You must use [Basic Authentication](https://docs.github.com/rest/overview/other-authentication-methods#basic-authentication) to use this endpoint, where the username is the OAuth application `client_id` and the password is its `client_secret`. Invalid tokens will return `404 NOT FOUND`",r,high,i pure check token validity,buildset-2026-09-18
b0009,github,POST,/enterprises/{enterprise}/{security_product}/{enablement},secret-scanning/post-security-product-enablement-for-enterprise,Enable or disable a security feature,"Enables or disables the specified security feature for all repositories in an enterprise. To use this endpoint, you must be an administrator of the enterprise, and you must use an access token with the `admin:enterprise` scope.",w,high,toggle enable disable has opposite,buildset-2026-09-18
b0010,github,POST,/admin/ldap/teams/{team_id}/sync,enterprise-admin/sync-ldap-mapping-for-team,Sync LDAP mapping for a team,"Note that this API call does not automatically initiate an LDAP sync. Rather, if a `201` is returned, the sync job is queued successfully, and is performed when the instance is ready.",x,high,e triggers sync job,buildset-2026-09-18
b0011,github,PUT,/repos/{owner}/{repo}/topics,repos/replace-all-topics,Replace all repository topics,,w,high,PUT default replaces topics,buildset-2026-09-18
b0012,github,DELETE,/user/installations/{installation_id}/repositories/{repository_id},apps/remove-repo-from-installation-for-authenticated-user,Remove a repository from an app installation,Remove a single repository from an installation. The authenticated user must have admin access to the repository. You must use a personal access token (which you can create via the [command line](https://docs.github.com/github/authenticating-to-github/creating-a-personal-access-token) or [Basic Authentication](https://docs.github.com/rest/overview/other-authentication-methods#basic-authentication)) to access this endpoint.,x,high,delete method wins removes repo access,buildset-2026-09-18
b0013,github,DELETE,/enterprises/{enterprise}/actions/runner-groups/{runner_group_id},enterprise-admin/delete-self-hosted-runner-group-from-enterprise,Delete a self-hosted runner group from an enterprise,Deletes a self-hosted runner group for an enterprise. You must authenticate using an access token with the `manage_runners:enterprise` scope to use this endpoint.,x,high,a deletes runner group no restore,buildset-2026-09-18
b0014,github,DELETE,/teams/{team_id}/projects/{project_id},teams/remove-project,Remove a project from a team,"Removes an organization project from a team. An organization owner or a team maintainer can remove any project from the team. To remove a project from a team as an organization member, the authenticated user must have `read` access to both the team and project, or `admin` access to the team or project. **Note:** This endpoint removes the project from the team, but does not delete it.",x,high,DELETE method wins removes project link,buildset-2026-09-18
b0015,github,PUT,/orgs/{org}/teams/{team_slug}/memberships/{username},teams/add-or-update-membership-for-user-in-org,Add or update team membership for a user,"Adds an organization member to a team. An authenticated organization owner or team maintainer can add organization members to a team. Team synchronization is available for organizations using GitHub Enterprise Cloud. For more information, see [GitHub's products](https://docs.github.com/github/getting-started-with-github/githubs-products) in the GitHub Help documentation. **Note:** When you have team synchronization set up for a team with your organization's identity provider (IdP), you will see ",w,high,w edits membership settable back,buildset-2026-09-18
b0016,github,POST,/repos/{owner}/{repo}/branches/{branch}/protection/enforce_admins,repos/set-admin-branch-protection,Set admin branch protection,"Protected branches are available in public repositories with GitHub Free and GitHub Free for organizations, and in public and private repositories with GitHub Pro, GitHub Team, GitHub Enterprise Cloud, and GitHub Enterprise Server. For more information, see [GitHub's products](https://docs.github.com/github/getting-started-with-github/githubs-products) in the GitHub Help documentation. Adding admin enforcement requires admin or owner permissions to the repository and branch protection to be enab",w,high,w sets branch protection setting settable back,buildset-2026-09-18
b0017,github,POST,/user/ssh_signing_keys,users/create-ssh-signing-key-for-authenticated-user,Create a SSH signing key for the authenticated user,"Creates an SSH signing key for the authenticated user's GitHub account. You must authenticate with Basic Authentication, or you must authenticate with OAuth with at least `write:ssh_signing_key` scope. For more information, see ""[Understanding scopes for OAuth apps](https://docs.github.com/apps/building-oauth-apps/understanding-scopes-for-oauth-apps/).""",w,high,ii plain create ssh signing key,buildset-2026-09-18
b0018,github,POST,/repos/{owner}/{repo}/git/commits,git/create-commit,Create a commit,Creates a new Git [commit object](https://git-scm.com/book/en/v1/Git-Internals-Git-Objects#Commit-Objects). **Signature verification object** The response will include a `verification` object that describes the result of verifying the commit's signature. The following fields are included in the `verification` object: | Name | Type | Description | | ---- | ---- | ----------- | | `verified` | `boolean` | Indicates whether GitHub considers the signature in this commit to be verified. | | `reason` |,w,high,ii plain create commit object,buildset-2026-09-18
b0019,github,PUT,/repos/{owner}/{repo}/notifications,activity/mark-repo-notifications-as-read,Mark repository notifications as read,"Marks all notifications in a repository as ""read"" for the current user. If the number of notifications is too large to complete in one request, you will receive a `202 Accepted` status and GitHub will run an asynchronous process to mark notifications as ""read."" To check whether any ""unread"" notifications remain, you can use the [List repository notifications for the authenticated user](https://docs.github.com/rest/reference/activity#list-repository-notifications-for-the-authenticated-user) endpo",w,low,PUT default marks notifications read status,buildset-2026-09-18
b0020,github,DELETE,/users/{username}/packages/{package_type}/{package_name},packages/delete-package-for-user,Delete a package for a user,"Deletes an entire package for a user. You cannot delete a public package if any version of the package has more than 5,000 downloads. In this scenario, contact GitHub support for further assistance. To use this endpoint, you must authenticate using an access token with the `read:packages` and `delete:packages` scopes. In addition: - If the `package_type` belongs to a GitHub Packages registry that only supports repository-scoped permissions, your token must also include the `repo` scope. For the ",x,high,DELETE no trash named,buildset-2026-09-18
b0021,github,PUT,/orgs/{org}/memberships/{username},orgs/set-membership-for-user,Set organization membership for a user,"Only authenticated organization owners can add a member to the organization or update the member's role. *   If the authenticated user is _adding_ a member to the organization, the invited user will receive an email inviting them to the organization. The user's [membership status](https://docs.github.com/rest/reference/orgs#get-organization-membership-for-a-user) will be `pending` until they accept the invitation.      *   Authenticated users can _update_ a user's membership by passing the `role",x,high,c sends invite email to user,buildset-2026-09-18
b0022,github,DELETE,/repos/{owner}/{repo}/issues/{issue_number}/labels/{name},issues/remove-label,Remove a label from an issue,"Removes the specified label from the issue, and returns the remaining labels on the issue. This endpoint returns a `404 Not Found` status if the label does not exist.",x,high,DELETE method wins no trash,buildset-2026-09-18
b0023,github,POST,/repos/{owner}/{repo}/pages,repos/create-pages-site,Create a GitHub Pages site,"Configures a GitHub Pages site. For more information, see ""[About GitHub Pages](/github/working-with-github-pages/about-github-pages)."" To use this endpoint, you must be a repository administrator, maintainer, or have the 'manage GitHub Pages settings' permission. A token with the `repo` scope or Pages write permission is required. GitHub Apps must have the `administration:write` and `pages:write` permissions.",w,high,ii plain create pages site,buildset-2026-09-18
b0024,github,PATCH,/repos/{owner}/{repo}/issues/{issue_number},issues/update,Update an issue,Issue owners and users with push access can edit an issue.,w,high,patch default w edits issue,buildset-2026-09-18
b0025,github,PUT,/repos/{owner}/{repo}/pulls/{pull_number}/reviews/{review_id}/dismissals,pulls/dismiss-review,Dismiss a review for a pull request,"**Note:** To dismiss a pull request review on a [protected branch](https://docs.github.com/rest/reference/repos#branches), you must be a repository administrator or be included in the list of people or teams who can dismiss pull request reviews.",w,high,put default dismiss settable back,buildset-2026-09-18
b0026,github,PATCH,/repos/{owner}/{repo}/milestones/{milestone_number},issues/update-milestone,Update a milestone,,w,high,PATCH default edits milestone,buildset-2026-09-18
b0027,github,POST,/repos/{owner}/{repo}/pulls/comments/{comment_id}/reactions,reactions/create-for-pull-request-review-comment,Create reaction for a pull request review comment,Create a reaction to a [pull request review comment](https://docs.github.com/rest/reference/pulls#comments). A response with an HTTP `200` status means that you already added the reaction type to this pull request review comment.,w,low,D98 ruling: comment/reaction is w,buildset-2026-09-18
b0028,github,PATCH,/repos/{owner}/{repo}/pre-receive-hooks/{pre_receive_hook_id},enterprise-admin/update-pre-receive-hook-enforcement-for-repo,Update pre-receive hook enforcement for a repository,"For pre-receive hooks which are allowed to be configured at the repo level, you can set `enforcement`",w,high,PATCH default w edits config,buildset-2026-09-18
b0029,github,DELETE,/repos/{owner}/{repo}/comments/{comment_id}/reactions/{reaction_id},reactions/delete-for-commit-comment,Delete a commit comment reaction,**Note:** You can also specify a repository by `repository_id` using the route `DELETE /repositories/:repository_id/comments/:comment_id/reactions/:reaction_id`. Delete a reaction to a [commit comment](https://docs.github.com/rest/reference/repos#comments).,x,high,DELETE removes reaction method wins x,buildset-2026-09-18
b0030,github,DELETE,/repos/{owner}/{repo}/branches/{branch}/protection/required_signatures,repos/delete-commit-signature-protection,Delete commit signature protection,"Protected branches are available in public repositories with GitHub Free and GitHub Free for organizations, and in public and private repositories with GitHub Pro, GitHub Team, GitHub Enterprise Cloud, and GitHub Enterprise Server. For more information, see [GitHub's products](https://docs.github.com/github/getting-started-with-github/githubs-products) in the GitHub Help documentation. When authenticated with admin or owner permissions to the repository, you can use this endpoint to disable requ",x,high,delete method wins no restore,buildset-2026-09-18
b0031,github,PATCH,/enterprise/announcement,enterprise-admin/set-announcement,Set the global announcement banner,Sets the message and expiration time for the global announcement banner in your enterprise.,w,low,editable banner text settable back,buildset-2026-09-18
b0032,github,POST,/repos/{owner}/{repo}/labels,issues/create-label,Create a label,,w,high,ii plain create label,buildset-2026-09-18
b0033,github,POST,/gists,gists/create,Create a gist,"Allows you to add a new gist with one or more files. **Note:** Don't name your files ""gistfile"" with a numerical suffix. This is the format of the automatic naming scheme that Gist uses internally.",w,high,ii plain create gist,buildset-2026-09-18
b0034,github,PUT,/repos/{owner}/{repo}/subscription,activity/set-repo-subscription,Set a repository subscription,"If you would like to watch a repository, set `subscribed` to `true`. If you would like to ignore notifications made within a repository, set `ignored` to `true`. If you would like to stop watching a repository, [delete the repository's subscription](https://docs.github.com/rest/reference/activity#delete-a-repository-subscription) completely.",w,high,toggle subscribe settable back,buildset-2026-09-18
b0035,github,PUT,/orgs/{org}/actions/variables/{name}/repositories,actions/set-selected-repos-for-org-variable,Set selected repositories for an organization variable,Replaces all repositories for an organization variable that is available to selected repositories. Organization variables that are available to selected repositories have their `visibility` field set to `selected`. You must authenticate using an access token with the `admin:org` scope to use this endpoint. GitHub Apps must have the `organization_actions_variables:write` organization permission to use this endpoint.,w,high,PUT default replaces repositories list,buildset-2026-09-18
b0036,github,DELETE,/user/migrations/{migration_id}/repos/{repo_name}/lock,migrations/unlock-repo-for-authenticated-user,Unlock a user repository,Unlocks a repository. You can lock repositories when you [start a user migration](https://docs.github.com/rest/migrations/users#start-a-user-migration). Once the migration is complete you can unlock each repository to begin using it again or [delete the repository](https://docs.github.com/rest/repos/repos#delete-a-repository) if you no longer need the source data. Returns a status of `404 Not Found` if the repository is not locked.,x,low,DELETE method wins no restore named,buildset-2026-09-18
b0037,github,PUT,/repos/{owner}/{repo}/issues/{issue_number}/lock,issues/lock,Lock an issue,"Users with push access can lock an issue or pull request's conversation. Note that, if you choose not to pass any parameters, you'll need to set `Content-Length` to zero when calling out to this endpoint. For more information, see ""[HTTP verbs](https://docs.github.com/rest/overview/resources-in-the-rest-api#http-verbs).""",w,high,toggle lock has unlock opposite,buildset-2026-09-18
b0038,github,PUT,/enterprises/{enterprise}/actions/runner-groups/{runner_group_id}/runners/{runner_id},enterprise-admin/add-self-hosted-runner-to-group-for-enterprise,Add a self-hosted runner to a group for an enterprise,Adds a self-hosted runner to a runner group configured in an enterprise. You must authenticate using an access token with the `manage_runners:enterprise` scope to use this endpoint.,w,high,PUT adds runner settable back,buildset-2026-09-18
b0039,github,PATCH,/orgs/{org}/hooks/{hook_id},orgs/update-webhook,Update an organization webhook,"Updates a webhook configured in an organization. When you update a webhook, the `secret` will be overwritten. If you previously had a `secret` set, you must provide the same `secret` or set a new `secret` or the secret will be removed. If you are only updating individual webhook `config` properties, use ""[Update a webhook configuration for an organization](/rest/reference/orgs#update-a-webhook-configuration-for-an-organization).""",w,high,PATCH default edit webhook,buildset-2026-09-18
b0040,github,POST,/repos/{owner}/{repo}/git/tags,git/create-tag,Create a tag object,"Note that creating a tag object does not create the reference that makes a tag in Git. If you want to create an annotated tag in Git, you have to do this call to create the tag object, and then [create](https://docs.github.com/rest/reference/git#create-a-reference) the `refs/tags/[tag]` reference. If you want to create a lightweight tag, you only have to [create](https://docs.github.com/rest/reference/git#create-a-reference) the tag reference - this call would be unnecessary. **Signature verific",w,high,ii plain create tag object,buildset-2026-09-18
b0041,github,DELETE,/repos/{owner}/{repo}/branches/{branch}/protection/required_pull_request_reviews,repos/delete-pull-request-review-protection,Delete pull request review protection,"Protected branches are available in public repositories with GitHub Free and GitHub Free for organizations, and in public and private repositories with GitHub Pro, GitHub Team, GitHub Enterprise Cloud, and GitHub Enterprise Server. For more information, see [GitHub's products](https://docs.github.com/github/getting-started-with-github/githubs-products) in the GitHub Help documentation.",x,high,a deletes protection no restore,buildset-2026-09-18
b0042,github,DELETE,/applications/{client_id}/token,apps/delete-token,Delete an app token,"OAuth application owners can revoke a single token for an OAuth application. You must use [Basic Authentication](https://docs.github.com/rest/overview/other-authentication-methods#basic-authentication) when accessing this endpoint, using the OAuth application's `client_id` and `client_secret` as the username and password.",x,high,b revokes token,buildset-2026-09-18
b0043,github,POST,/repos/{owner}/{repo}/actions/workflows/{workflow_id}/dispatches,actions/create-workflow-dispatch,Create a workflow dispatch event,"You can use this endpoint to manually trigger a GitHub Actions workflow run. You can replace `workflow_id` with the workflow file name. For example, you could use `main.yaml`. You must configure your GitHub Actions workflow to run when the [`workflow_dispatch` webhook](/developers/webhooks-and-events/webhook-events-and-payloads#workflow_dispatch) event occurs. The `inputs` are configured in the workflow file. For more information about how to configure the `workflow_dispatch` event in the workfl",x,high,e triggers workflow run,buildset-2026-09-18
b0044,github,DELETE,/repos/{owner}/{repo}/environments/{environment_name},repos/delete-an-environment,Delete an environment,You must authenticate using an access token with the repo scope to use this endpoint.,x,high,a deletes environment no restore,buildset-2026-09-18
b0045,github,DELETE,/admin/pre-receive-hooks/{pre_receive_hook_id},enterprise-admin/delete-pre-receive-hook,Delete a pre-receive hook,,x,high,a deletes pre-receive hook no restore,buildset-2026-09-18
b0046,github,POST,/repos/{owner}/{repo}/actions/variables,actions/create-repo-variable,Create a repository variable,Creates a repository variable that you can reference in a GitHub Actions workflow. You must authenticate using an access token with the `repo` scope to use this endpoint. GitHub Apps must have the `actions_variables:write` repository permission to use this endpoint.,w,high,ii plain create variable,buildset-2026-09-18
b0047,github,PUT,/setup/api/settings,enterprise-admin/set-settings,Set settings,"For a list of the available settings, see the [Get settings endpoint](https://docs.github.com/enterprise-server@2.18/rest/reference/enterprise-admin#get-settings). **Note:** The request body for this operation must be submitted as `application/x-www-form-urlencoded` data. You can submit a parameter value as a string, or you can use a tool such as `curl` to submit a parameter value as the contents of a text file. For more information, see the [`curl` documentation](https://curl.se/docs/manpage.ht",w,high,w sets settings,buildset-2026-09-18
b0048,github,PATCH,/orgs/{org}/teams/{team_slug},teams/update-in-org,Update a team,"To edit a team, the authenticated user must either be an organization owner or a team maintainer. **Note:** You can also specify a team by `org_id` and `team_id` using the route `PATCH /organizations/{org_id}/team/{team_id}`.",w,high,patch default w team edit,buildset-2026-09-18
b0049,github,PUT,/users/{username}/suspended,enterprise-admin/suspend-user,Suspend a user,"If your GitHub instance uses [LDAP Sync with Active Directory LDAP servers](https://help.github.com/enterprise/admin/guides/user-management/using-ldap), Active Directory LDAP-authenticated users cannot be suspended through this API. If you attempt to suspend an Active Directory LDAP-authenticated user through this API, it will return a `403` response. You can suspend any user account except your own. Note that, if you choose not to pass any parameters, you'll need to set `Content-Length` to zero",w,high,toggle suspend has unsuspend,buildset-2026-09-18
