row_id,provider,method,path,operationId,summary,description
113,apache.org,PATCH,/dags/{dag_id}/dagRuns/{dag_run_id}/taskInstances/{task_id}/{map_index},patch_mapped_task_instance,Updates the state of a mapped task instance,Updates the state for single mapped task instance. *New in version 2.5.0*
155,api2cart.com,DELETE,/order.shipment.delete.json,OrderShipmentDelete,,Delete order's shipment.
188,apideck.com,DELETE,/customer-support/customers/{id},customersDelete,Delete Customer Support Customer,Delete Customer Support Customer
190,apideck.com,DELETE,/hris/employees/{id},employeesDelete,Delete Employee,Delete Employee
247,appveyor.com,DELETE,/roles/{roleId},deleteRole,Delete role,
268,appwrite.io,PATCH,/users/{userId}/prefs,usersUpdatePrefs,Update User Preferences,Update the user preferences by its unique ID. You can pass only the specific settings you wish to update.
293,atlassian.com,DELETE,/rest/api/3/role/{id},deleteProjectRole,Delete project role,Deletes a project role. You must specify a replacement project role if you wish to delete a project role that is in use. **[Permissions](#permissions) required:** *Administer Jira* [global permission](https://confluence.atlassian.com/x/x4dKLg).
299,atlassian.com,PUT,/rest/api/3/version/{id}/mergeto/{moveIssuesTo},mergeVersions,Merge versions,"Merges two project versions. The merge is completed by deleting the version specified in `id` and replacing any occurrences of its ID in `fixVersion` with the version ID specified in `moveIssuesTo`. Consider using [ Delete and replace version](#api-rest-api-3-version-id-removeAndSwap-post) instead. This resource supports swapping version values in `fixVersion`, `affectedVersion`, and custom fields. This operation can be accessed anonymously. **[Permissions](#permissions) required:** *Administer "
304,ato.gov.au,DELETE,/individuals/{partyId}/business-names/{productId},,Delete a business name,Delete a business name
305,ato.gov.au,DELETE,/individuals/{partyId}/roles/{roleId},,Delete a role,Delete a role
306,ato.gov.au,DELETE,/organisations/{partyId},,Delete an organisation,Delete an organisation with the specified identifier
310,ato.gov.au,PUT,/individuals/{partyId},,Update an individual,Update an individual
316,ato.gov.au,PUT,/organisations/{partyId}/business-names/{productId},,Update a business name,Update a business name
375,beanstream.com,DELETE,/profiles/{profileId},,Delete profile,"Delete a Payment Profile using the profile ID, also known as the Customer Code."
376,beanstream.com,DELETE,/profiles/{profileId}/cards/{cardId},,Delete card,Delete a card on the profile.
406,biapi.pro,PUT,/clients/{id_client},,Update a client,
407,biapi.pro,PUT,/users/{id_user}/connections/{id_connection}/accounts/{id_account}/transactions/{id_transaction},,Edit a transaction meta-data,
409,biapi.pro,PUT,/users/{id_user}/connections/{id_connection}/transactionsclusters/{id_transactionscluster},,Edit a clustered transaction,Form params : - next_date (date): Date of transaction - mean_amount (decimal): Mean Amount - wording (string): name of transaction - id_account (id): related account - id_category (id): related category - enabled (bool): is enabled<br><br>
478,bluemix.net,PUT,/tlskey/refresh,,Refresh the TLS Certificate,This endpoint requests to generate a new TLS (Transport Layer Security) certificate on the server and to update the existing user TLS certificate (corresponding IBM Containers command: `cf ic init`).
493,britbox.co.uk,PUT,/account/billing/subscriptions/{id},updateSubscription,,"Renew a cancelled subscription or switch subscription to a different plan. When renewing a cancelled subscription membership, hit this endpoint with the id of subscription to renew. To switch plans provide the id of the current active subscription membership of the account, and in the query specify the id of the plan to switch to."
543,cdcgov.local,DELETE,/settings/organizations/{organizationName}/senders/{senderName},,,Delete a sender
544,cdcgov.local,PUT,/settings/organizations/{organizationName}/receivers/{receiverName},,,Update a single reciever
545,cdcgov.local,PUT,/settings/organizations/{organizationName}/senders/{senderName},,,Update a single sender
747,contribly.com,DELETE,/assignments/{id},,Delete this assignment and all of it's contributions,
749,contribly.com,DELETE,/forms/{id},,Delete this form and all of it's responses.,
750,contribly.com,DELETE,/subscriptions/{id},,Delete a subscription.,
752,cpy.re,DELETE,/api/v1/users/registrations/{registrationId},deleteRegistration,Delete registration,Delete the registration entry. It will not remove the user associated with this registration (if any)
776,daniweb.com,DELETE,/groups/messages/{ID},,,Delete an array of group messages. You must be the owner or moderator of the group.
855,docker.com,PUT,/v2/orgs/{name}/settings,,Update organization settings,"Updates an organization's settings. Some settings are only used when the organization is on a business plan. ***Only users in the ""owners"" group of the organization can use this endpoint.*** The following settings are only used on a business plan: - `restricted_images`"
892,drchrono.com,DELETE,/api/lab_documents/{id},lab_documents_delete,,Delete an existing lab order document
924,edrv.io,DELETE,/v1/tokens/{id},deleteToken,,Use to delete a token
926,edrv.io,PATCH,/v1/connectors/{id},patchConnector,,Update a connector's data
937,enode.io,DELETE,/me/vendors/{vendor},disconnectVendor,Disconnect Vendor,"Disconnect a single Vendor from the User's account. All stored data about their Vendor account will be deleted, and any vehicles that were provided by that Vendor will disappear from the system."
954,evetech.net,PUT,/fleets/{fleet_id}/,put_fleets_fleet_id,Update fleet,Update settings about a fleet --- Alternate route: `/dev/fleets/{fleet_id}/` Alternate route: `/legacy/fleets/{fleet_id}/` Alternate route: `/v1/fleets/{fleet_id}/`
1032,flat.io,PUT,/classes/{class}/assignments/{assignment}/submissions,createSubmission,Create or edit a submission,"Use this method as a student to create, update and submit a submission related to an assignment. Students can only set `attachments` and `submit`. Teachers can use `PUT /classes/{class}/assignments/{assignment}/submissions/{submission}` to update a submission by id."
1033,flat.io,PUT,/classes/{class}/assignments/{assignment}/submissions/{submission},editSubmission,Edit a submission,"Use this method as a teacher to update the different submission and give feedback. Teachers can only set `return`, `draftGrade` and `grade`"
1040,formapi.io,DELETE,/combined_submissions/{combined_submission_id},expireCombinedSubmission,Expire a combined submission,
1248,hubapi.com,PUT,/automation/v4/actions/{appId}/{definitionId}/functions/{functionType},put-/automation/v4/actions/{appId}/{definitionId}/functions/{functionType}_createOrReplaceByFunctionType,Create or replace a custom action function,Creates or replaces a function for a custom workflow action.
1249,hubapi.com,PUT,/automation/v4/actions/{appId}/{definitionId}/functions/{functionType}/{functionId},put-/automation/v4/actions/{appId}/{definitionId}/functions/{functionType}/{functionId}_createOrReplace,Create or replace a custom action function,Creates or replaces a function for a custom workflow action.
