row_id,provider,method,path,operationId,summary,description
x20-e0317,hubspot,PATCH,/cms/v3/blogs/posts/{objectId},patch-/cms/v3/blogs/posts/{objectId}_update,Update a post,Partially updates a single blog post by ID. You only need to specify the values that you want to update.
pc-r4135,figma,POST,/v1/files/{file_key}/comments/{comment_id}/reactions,postCommentReaction,Add a reaction to a comment,Posts a new comment reaction on a file comment.
x17-e0052,okta,POST,/api/v1/apps/{appId}/credentials/secrets,createOAuth2ClientSecret,Create an OAuth 2.0 client secret,"Creates an OAuth 2.0 client secret object with a new active client secret. You can create up to two secret objects. An error is returned if you attempt to create more than two secret objects.
> **Note:** This API lets you bring your own secret. If [token_endpoint_auth_method](/openapi/okta-oauth/oauth/client/createclient#client/createclient/t=request&path=token_endpoint_auth_method) of the app is `client_secret_jwt`, then the minimum length of `client_secret` is 32 characters. If no secret is specified in the request, Okta adds a new system-generated secret."
x20-e0660,miro,DELETE,/v2/boards/{board_id}/members/{board_member_id},remove-board-member,Remove board member,"Removes a board member from a board.<br/><h3>Required scope</h3> <a target=_blank href=https://developers.miro.com/reference/scopes>boards:write</a> <br/><h3>Rate limiting</h3> <a target=_blank href=""/reference/rate-limiting#rate-limit-tiers"">Level 2</a><br/>"
x20-e0882,zendesk,POST,/api/v2/organization_memberships/create_many,CreateManyOrganizationMemberships,Create Many Memberships,"Accepts an array of up to 100 organization membership objects.

This endpoint returns a `job_status` [JSON object](/api-reference/ticketing/ticket-management/job_statuses/#json-format) and queues a background job to do the work. Use the [Show Job Status](/api-reference/ticketing/ticket-management/job_statuses/#show-job-status) endpoint to check for the job's completion. Only a certain number of jobs can be queued or running at the same time. See [Job limit](/api-reference/introduction/rate-limits/#job-limit) for more information.

#### Allowed For
* Admins
* Agents"
x20-e0505,klaviyo,DELETE,/api/catalog-items/{id}/relationships/categories,remove_categories_from_catalog_item,Remove Categories from Catalog Item,"Delete catalog category relationships for the given item ID.<br><br>*Rate limits*:<br>Burst: `75/s`<br>Steady: `750/m`

**Scopes:**
`catalogs:write`

[OpenAPI Spec](https://raw.githubusercontent.com/klaviyo/openapi/main/openapi/stable/apis/remove_categories_from_catalog_item.json)"
pc-r0531,stripe,POST,/v1/test_helpers/treasury/inbound_transfers/{id}/succeed,PostTestHelpersTreasuryInboundTransfersIdSucceed,Test mode: Succeed an InboundTransfer,<p>Transitions a test mode created InboundTransfer to the <code>succeeded</code> status. The InboundTransfer must already be in the <code>processing</code> state.</p>
x17-e0125,okta,DELETE,/api/v1/authorizationServers/{authServerId},deleteAuthorizationServer,Delete an authorization server,Deletes an authorization server
pc-r3198,mailchimp,PATCH,/lists/{list_id}/merge-fields/{merge_id},patchListsIdMergeFieldsId,Update merge field,Update a specific merge field.
x20-e0015,auth0,DELETE,/connections/{id}/scim-configuration,delete_scim-configuration,Delete a connection's SCIM configuration,Deletes a scim configuration by its `connectionId`.
pc-r3254,mailchimp,POST,/ecommerce/stores,postEcommerceStores,Add store,Add a new store to your Mailchimp account.
x20-e0056,auth0,DELETE,/roles/{id}/groups,delete_role_groups,Remove groups from a role,Unassign one or more groups from a specified role.
x20-e0702,miro,PATCH,/v2/orgs/{org_id}/teams/{team_id}/members/{member_id},enterprise-update-team-member,Update team member,"Updates team member role in team by id.<br/><h3>Required scope</h3> <a target=_blank href=https://developers.miro.com/reference/scopes>organizations:teams:write</a> <br/><h3>Rate limiting</h3> <a target=_blank href=""/reference/rate-limiting#rate-limit-tiers"">Level 2</a> <br/><h3>Enterprise only</h3> <p>This API is available only for <a target=_blank href=""/reference/api-reference#enterprise-plan"">Enterprise plan</a> users. You can only use this endpoint if you have the role of a Company Admin. You can request temporary access to Enterprise APIs using <a target=_blank href=""https://q2oeb0jrhgi.typeform.com/to/BVPTNWJ9"">this form</a>.</p>"
