row_id,provider,method,path,operationId,summary,description
2,camara,POST,/accesses/{accessId}/devices/add,addDevicesToAccess,Add devices to the access,Add devices to the access
3,camara,POST,/accesses/{accessId}/devices/remove,removeDevicesFromAccess,Remove devices from the access,Remove devices from the access
11,camara,POST,/bind,bindDeviceImei,Bind device IMEI or area restrictions,Associate a SIM card with a specific IMEI or restrict it to a geographic area.
15,camara,POST,/calculate-energy-consumption,calculateEnergyConsumption,Provides the overall Energy Consumption for the target Application instances in a certain period of time.,Receives as input an object containing the intents from the API Consumer and provides back the energy consumption with a callback.
19,camara,POST,/campaign/{sponsorId}/{campaignId}/alert-subscription,configureAlerts,Campaigns - Subscription to Alert y Notifications,"This operation enables Sponsors (EPs) to subscribe to receive notifications related to campaigns. With the subscription, the EP provides a webhook URL and a token, which will be used by the API Gateway to send notifications related to the campaign. In this API version, only two types of alerts are provided: - Notification for consuming more than 80% of the contracted data volume. - Notification for campaign validity expiration. - Notification for campaign data volume exhausted. - Alerts for network failures will be addressed in future versions."
20,camara,POST,/check,checkDataVolume,Check if the remaining data allowance is above a specified threshold,"Check if the remaining data allowance for a specified device is above a specified threshold. If the remaining data allowance is above the threshold, then response property `thresholdExceeded` will be `true`."
25,camara,POST,/check-status,checkImeiStatus,Check the register status of a device using its IMEI,"Verify if an IMEI is present in allowed, prohibited, or tracked lists maintained by operators"
29,camara,POST,/count,count,API operation to get the device count in the specified area during a certain time interval.,"Get the number of devices in the specified area during a certain time interval. - The query area can be a circle or a polygon composed of longitude and latitude points. - If the areaType is circle, the circleCenter and circleRadius must be provided; if the area is a polygon, the point list must be provided. - If starttime and endtime are not passed in,this api should return the current number of devices in the area. - If the device appears in the specified area at least once during the certain time interval, it should be counted."
32,camara,POST,/device-qos-bookings,createBooking,Sets a new booking of QoS for a device,"Triggers a new booking to assign certain QoS Profile to certain device. - If the booking is completed synchronously, the response will be 201 with `bookingStatus` = `SCHEDULED`. - If the booking request is accepted but not yet completed, the response will be 201 with `bookingStatus` = `REQUESTED`. - If the operator determines synchronously that the booking request cannot be fulfilled, the response will be 201 with `bookingStatus` = `TERMINATED` and `statusInfo` = `BOOKING_DECLINED`. - If the request includes a notification callback, the client will receive a `status-changed` event with the out"
33,camara,POST,/disable,disableEsimProfile,Disable eSIM Profile,Disables the currently enabled eSIM Profile. Device will lose cellular connectivity until another eSIM Profile is enabled. The eSIM Profile remains installed and can be re-enabled. **State Transition**: ENABLED → DISABLED **Required**: ICCID (identifies eSIM Profile and device)
37,camara,POST,/fill-in,KYC_Fill-in,Providing information related to a customer identity stored the account data bound to the customer's phone number.,
39,camara,POST,/high-throughput-elastic-network/transmission/schedule,scheduleTransmission,Submit high-throughput data transmission scheduling request,"Schedules network resources based on bandwidth, latency, file size and guarantee requirements, returns transmission plan and statistics"
40,camara,POST,/knowledge-bases,createKnowledgeBase,Create a new knowledge base,Creates a new knowledge base with the provided metadata. **Key Features:** - Initializes a new knowledge base container - Stores name and description metadata - Generates unique knowledgeBaseId **Key Rules:** - Requires `name` field in request body - Requires `knowledge-base:knowledge-bases:create` scope - Name must be unique within the system **Response Characteristics:** - **201 Created**: Returns full `KnowledgeBase` object with generated ID - **400 Bad Request**: Missing `name` or invalid parameters - **403 Forbidden**: Missing required scope - **409 Conflict**: Duplicate knowledge base na
41,camara,POST,/knowledge-bases/{knowledgeBaseId}/documents,uploadDocument,Upload a document to a knowledge base,"Uploads a document to a knowledge base. The uploaded document is modelled as a sub-resource of the knowledge base and gets its own `documentId`, so it can be retrieved and deleted individually via `GET /knowledge-bases/{knowledgeBaseId}/documents/{documentId}` and `DELETE /knowledge-bases/{knowledgeBaseId}/documents/{documentId}`. Documents are typically indexed asynchronously after upload. The returned `status` field reflects the indexing stage: `PROCESSING` while the document is being indexed, `READY` once it is available for answer generation, and `FAILED` if indexing could not be completed"
44,camara,POST,/match,KYC_Match,Matching a customer identity by checking a set of attributes related against the account data bound to their phone number.,"Verify matching of a number of attributes related to a customer identity against the verified data bound to their phone number in the Operator systems. Regardless of whether the `phoneNumber` is explicitly stated in the request body, at least one of the other fields must be provided, otherwise a `HTTP 400 - KNOW_YOUR_CUSTOMER.INVALID_PARAM_COMBINATION` error will be returned. In order to proceed with the match check, some Operators may have the requirement to perform an additional level of validation based on the `idDocument` property. This means that, in those cases, the `idDocument` is requi"
50,camara,POST,/payments,createPayment,Create a new Payment,Create a new payment for subsequent charging to an end user. Carrier Billing Server will apply the charging according to business configuration for the end user.
53,camara,POST,/payments/{paymentId}/confirm,confirmPayment,Confirm a payment,"Confirm a reservation of a given payment, identified by its paymentId."
54,camara,POST,/payments/{paymentId}/refunds,createRefund,Create a new Refund,Create a new refund for an existing payment. Refund can be `total` or `partial`. This procedure MUST be always limited to the API client which performed the related payment.
55,camara,POST,/payments/{paymentId}/validate,validatePayment,Validate a payment,"Validate a given payment with a code, identified by its paymentId. This process is applicable for 2-STEP, when optionally required by business case."
56,camara,POST,/pre-announce,createPreAnnouncement,Create a call pre-announcement in the service platform,Create a call pre-announcement for a Calling and a Called Party that will remain valid for a specified duration.
57,camara,POST,/profile/download,profileDownload,Download profile,Download and optionally install a new eSIM profile to the device. This is an asynchronous operation that returns a task ID for status tracking.
62,camara,POST,/qos-bookings,createBooking,This operation reserves required QoS in advance up to a certain number of devices in certain serviceArea and time slot. The devices have to be attached with a subsequent operation.,"This operation reserves a Quality of Service (QoS) booking for a specified number of devices, service area, and scheduled time/duration. Devices can be assigned to the booking at any time after the reservation is successful and before the scheduled end-time. - `Pre-assigned devices :` These devices will be automatically provisioned and activated with the requested QoS profile exactly when the scheduled start time arrives. - `Late-assigned devices:` Devices assigned after the schedule starts (but before it ends) will be provisioned and activated with the requested QoS profile immediately upon a"
76,camara,POST,/retrieve,retrieveConnectivity,Obtain connectivity information in the specified area,"Retrieves the connectivity for a concrete area, specifying the required service level that has to be met in the whole area in the requested network type/s. Optionally, raw signal strength values can be included in the response if supported by the implementation."
82,camara,POST,/retrieve-age-band,retrieveSimSwapAgeBand,Retrieve SIM swap age band,"Returns a standardized `simSwapAgeBand` value indicating how recently a SIM swap occurred, expressed as a time band. This operation is an alternative way to expose SIM swap recency for API providers that do not expose the exact SIM swap date. It does not return the actual SIM swap date, and is not expected to be supported in addition to `check` and `retrieve-date`; support depends on the provider's available capabilities and commercial use case. The returned value is a technical network signal indicating recency. Consuming parties apply their own decisioning outside the API contract. Value `11"
83,camara,POST,/retrieve-closest-edge-cloud-zone,readClosestEdgeCloudZone,Returns the name of the Edge Cloud Zone closest to user device identified in the request.,"On receiving this request, the network will return the name of the Edge Cloud Zone with the shortest network path to the end user device identified in the request."
85,camara,POST,/retrieve-date,retrieveSimSwapDate,Retrieve SIM swap date,Get timestamp of last SIM swap event for a mobile user account provided with phone number.
86,camara,POST,/retrieve-device-qos-bookings,retrieveBookingByDevice,Gets the QoS Booking for a device,"Querying for QoS Booking resource information details for a device. **NOTES:** - The access token may be either 2-legged or 3-legged. - If a 3-legged access token is used, the subject associated with the QoS Booking must also be associated with the access token. In this case the optional `device` parameter MUST NOT be provided in the request. - If a 2-legged access token is used, the device parameter must be provided and identify a device. - The QoS Booking must have been created by the same API client given in the access token. - If no QoS booking is found for the requested device, an empty a"
88,camara,POST,/retrieve-maximum-downstream-media-rate,retrieveMaximumDownstreamMediaRate,Get maximum downstream media streaming rate,"Retrieve the maximum downstream media streaming rate for a device. This helps application developers determine the optimal media quality settings for their applications. When using a two-legged token, the device object MUST be provided. When using a three-legged token, the device object MUST NOT be provided as the device information will be extracted from the token."
89,camara,POST,/retrieve-optimal-app-endpoints,getOptimalAppEndpoints,Returns the Endpoint(s) of the optimal Application Instance(s) to the user device identified in the request.,"On receiving this request, the network will return the endpoint(s) of the Application Instance(s) with the shortest network path to the end user device identified in the request."
95,camara,POST,/retrieve-sessions,retrieveSessionsByDevice,Get QoS session information for a device,"Querying for QoS session resource information details for a device **NOTES:** - The access token may be either 2-legged or 3-legged. - If a 3-legged access token is used, the subject associated with the session must also be associated with the access token. In this case the optional `device` parameter MUST NOT be provided in the request. - If a 2-legged access token is used, the device parameter must be provided and identify a device. - The session must have been created by the same API consumer given in the access token - If no QoS session is found for the requested device, an empty array is "
97,camara,POST,/retrieve-slices,retrieveSlicesByDevice,Retrieve all network slices by device,Retrieve the list of network slices to which a device is assigned.
98,camara,POST,/retrieve-status,getEsimProfileStatus,Retrieve eSIM Profile status,"Retrieves current status and state information for eSIM Profiles. This operation uses POST despite being a read operation. Device identifiers (EID/ICCID) are passed in the request body rather than as URL parameters to prevent their exposure in server logs, proxy caches, and browser history. **eSIM Profile Identification**: Accepts EID (all profiles on device), ICCID (specific profile), or both (specific profile, with the EID/ICCID pairing asserted)"
100,camara,POST,/retrieve-type,retrieveType,Get details about the type of device being used by a given mobile subscriber,Get details about the type of device being used by a given mobile subscriber
101,camara,POST,/scoring/retrieve,retrieveScoring,Retrieves Scoring information,"Retrieves Scoring information, for the user associated with the provided `idDocument`, `phoneNumber` or the combination of both parameters. It also allows to select the type of the Scoring scale measurement."
103,camara,POST,/sessions,createRegistration,Create a registration,"Create a new device registration in the network using a client-supplied `deviceId`. The subscriber identifier (`phoneNumber`) for the registration depends on the type of access token used: - With a **three-legged access token**, the API consumer MUST NOT include `phoneNumber` in the request body; it is resolved server-side from the token. A request that includes it is rejected with `422 UNNECESSARY_IDENTIFIER`. - With a **two-legged access token**, the API consumer MUST include `phoneNumber` in the request body, since the token carries no subscriber identity. A request that omits it is rejecte"
105,camara,POST,/sessions,createSession,Create a Session Insights session,"Create a new insights session for monitoring application performance and network quality. The session can be used to send application-observed metrics, receive session quality scores asynchronously via notifications, and receive root cause analysis when quality degrades. The session is created using a selected Application Profile, which defines the expected performance thresholds and other parameters."
108,camara,POST,/sessions/{sessionId}/metrics,sendSessionMetrics,Send session metrics,"Send application-observed session metrics to the API provider for the specified session. The API provider uses these metrics to evaluate session quality and delivers a session quality notification asynchronously to the session's configured sink. This operation returns 204 No Content to acknowledge receipt; the resulting quality score is delivered via notification, not in this response."
111,camara,POST,/slices/{sliceId}/devices,assignDevice,Assign a device to a network slice,"Assign a device to an existing network slice. The number of devices assigned to the slice must not exceed the maximum number defined in the slice QoS profile. - If the assignment operation is successful, the response will indicate the status as `SUCCESS`. - If the number of devices exceeds the maximum allowed for the slice, the response will indicate the status as `FAILURE` with statusInfo as `MAX_DEVICES_EXCEEDED`. - If the device is already assigned to the slice, the response will indicate the status as `FAILURE` with statusInfo as `DEVICE_ALREADY_ASSIGNED`. - If the assignment operation is "
114,camara,POST,/subscriptions,createConnectedNetworkTypeSubscription,Create a subscription for receiving notifications on changes to the connected network type of a device,Create a subscription for receiving notifications on changes to the connected network type of a device.
121,camara,POST,/subscriptions,createGeofencingSubscription,Create a geofencing subscription for a device,Create a subscription for a device to receive notifications when the device enters or exits a specified area.
126,camara,POST,/traffic-influence-devices,postTrafficInfluenceDevice,Creates a new TrafficInfluence resource influencing the traffic toward local instances of the Application for a specific user.,"Takes as input an object containing the intents from the API Consumer and creates a TrafficInfluence resource accordingly. The trafficInfluenceID parameter, that is part of the object, must not be valorized when creating a new resource. For this reason the trafficInfluenceID parameter must be avoided in the object, anyway it will be ignored by the API Producer. It is automatically generated by the system and returned in the response."
132,camara,POST,/v1/devices/{deviceId}/actions/{actionId},performDeviceAction,Perform action on device,Execute a specific network access action on a connected device. Supported actions: - schedule-access: Schedule internet access windows for a device (e.g. parental controls). Defines allowed or blocked time windows with optional recurrence.
133,camara,POST,/validate-code,validateCode,Verifies the OTP received as input,Verifies the code is valid for the received authenticationId
134,camara,POST,/verify,phoneNumberVerify,Verifies if the received hashed/plain text phone number matches the phone number associated with the access token,Verifies if the specified phone number (either in plain text or hashed format) matches the one that the user is currently using. Only one of the plain or hashed formats must be provided. - The number verification will be done for the user that has authenticated via mobile network - It returns true/false depending on if the hashed phone number received as input matches the authenticated user's `device phone number` associated to the access token
135,camara,POST,/verify,verifyAge,Verify Age Threshold,"Verify that the age of the subscriber associated with a phone number is equal to or greater than the specified age threshold value. As it is possible that the person holding the contract and the end-user of the subscription may not be the same, the endpoint also admits a list of optional properties to be included in the request to improve the identification. The response may optionally include the `identityMatchScore` property with a value that indicates how certain it is that the information returned relates to the person that the API Client is requesting. To increase the reliability of the i"
