row_id,truth_class,confidence,reason
b0176,x,high,a deletes hostedContents no restore
b1340,w,high,w edits idBoard field settable back
b0406,w,high,toggle read state settable back
b1187,x,high,a deletes user no restore
b1597,w,high,w applies watermark settable back
b1292,x,high,a deletes download shares no restore
b1468,w,high,w edits idBoard field settable back
b0423,w,high,w edits repo properties
b0251,w,low,iii sets table filter state reversible
b0169,w,high,w edits ebook category
b1377,w,high,w edits org description
b0397,x,high,a deletes topic no restore
b1146,x,high,a removes screen tab field no restore
b0215,w,high,ii plain create navigation entry
b1817,x,high,a deletes integration subscription no restore
b0204,x,high,a deletes resource no restore
b0378,w,high,ii plain create git tag
b0193,w,high,ii creates job disabled not run
b1781,w,high,ii plain create feature flag
b0938,x,high,DELETE removes role mapping method wins x
b0095,w,high,w edits custom role
b1000,w,high,ii plain create role
b1678,w,high,ii plain create branch
b0573,w,low,stop like stopping server settable restart
b1004,w,high,ii adds role mapping removable
b1144,x,high,a deletes project property no restore
b0045,x,high,a deletes pre-receive hook no restore
b0819,w,high,w edits deployment
b1364,w,high,w edits username settable back
b1350,w,high,w moves card to board settable back
b0368,w,high,ii plain create repo
b0282,w,high,w edits access review decision
b1083,w,high,removes item from list via POST addable back
b0053,x,high,a deletes pages site no restore
b0444,w,low,w changes owner settable via transfer back
b1391,x,high,DELETE removes label method wins x
b0305,x,high,a deletes milestone no restore
b1220,w,high,ii adds group to role removable
b0923,w,low,PUT default w no text
b0473,w,high,ii adds members removable
b1644,x,high,a deletes project hook no restore
b1388,w,high,w edits webhooks
b1061,w,high,w sets columns settable back
b0382,x,high,a deletes organization no restore
b0761,w,high,w edits edge
b0455,w,high,w edits test series name
b0286,w,high,w edits privacy settings
b1618,w,high,w sets assembla service settable back
b1652,w,high,ii plain create user
b0942,w,high,ii adds role mapping removable
b1509,w,low,ii creates zip archive removable
b0590,w,high,ii adds hash data to run
b1300,w,high,w edits download shares
b1159,r,high,i sanitizes query returns not stored
b1489,x,high,a permanently deletes group
b0816,w,high,w upsert settable back
b1358,w,high,w edits label
b1209,w,high,w edits s3 config
b0219,w,low,resets presence status settable back
b0989,x,high,a deletes role no restore
b1632,x,high,e triggers slack command executes
b0984,w,high,ii plain create mappers
b0224,x,high,a deletes resource scope no restore
b0236,w,high,w edits alert
b1268,x,high,a empties recycle bin irreversible
b0909,x,high,DELETE clears records method wins x
b0201,x,high,a deletes taskboard format no restore
b0902,w,high,ii plain create user
b1380,w,high,ii plain create attachment
b0949,x,high,e triggers ldap sync job
b0760,w,high,w edits 2FA info
b0085,w,high,w edits global webhook
b0208,r,high,i pure calculation function
b0921,w,low,PUT default initializes settable
b0778,x,high,c sends validation link
b0207,w,high,w edits connection members
b0706,w,high,w bulk edits fhrp assignments
b0866,w,high,w edits security settings
b0782,w,high,ii plain create edge
b0066,w,high,w edits org name
b1717,w,high,ii plain create deploy key
b0731,w,high,ii plain create module bay
b0637,x,high,e runs report job
b0370,x,high,a deletes unadopted files no restore
b1049,w,high,w assigns scheme settable back
b1729,x,high,e triggers mattermost command executes
b1679,w,high,ii plain create deploy key
b0501,w,high,w edits tester details
b0858,x,high,iv POST does delete action
b0638,x,high,a deletes device no restore
b0808,w,low,ii creates SMS config not clearly sent
b1498,w,high,w removes shared link settable back via PUT
b1226,w,high,w edits eventlog settings
b0189,w,high,w edits lifecycle settings
b0594,x,high,explicit not reversible permanently disables
b0307,w,high,ii plain create pull request
b0234,w,high,w edits app role assignment
b0374,x,high,a deletes issue attachment no restore
b0646,w,high,ii plain create token
b1542,x,high,b terminates sessions
b0433,w,high,w adds repo to team removable
b0170,w,high,ii plain create list item
b0710,w,high,w bulk edits front ports
b1048,x,high,a deletes issue property no restore
b1710,w,high,ii adds email removable
b0558,x,low,no named restore for reject unsure to x
b0102,x,high,a deletes workflow logs no restore
b0941,x,high,b DELETE terminates session
b0634,w,high,w edits rear port
b1532,w,high,w edits storage policy assignment
b0431,w,high,w edits team
b1157,x,high,a deletes screen scheme no restore
b0221,x,high,a deletes subscribed sku no restore
b1459,x,high,a deletes comment no restore
b0407,x,high,b DELETE removes key
b0974,w,high,ii plain create mappers
b0478,w,high,ii plain create distribution group
b0047,w,high,w sets settings
b0529,w,high,configures repo settable back
b0180,x,high,a deletes data source no restore
b0239,x,high,c sends RSVP response to organizer
b0818,x,high,b DELETE terminates device session
b1703,x,high,a deletes repo file no restore
b0596,x,high,b DELETE revokes api token
b1319,w,high,ii plain create upload
b1392,w,high,ii plain create board background
b0953,w,high,w changes priority settable back
b0373,w,high,ii plain create commit status
b1063,w,high,ii adds permission removable
b0386,x,high,DELETE removes reaction method wins x
b1405,w,high,w edits display name
b0344,x,high,a deletes tracked time no restore
b0969,w,low,PUT default initializes settable
b0442,w,high,w edits release
b0691,x,high,a deletes power feed no restore
b0508,w,high,w edits user permission
b0844,x,high,a deletes trigger handler no restore
b0690,w,high,w bulk edits contact roles
b1706,w,high,ii plain create todo
b1114,w,high,iii sets properties settable back
b1363,w,high,w edits membership settable back
b0381,w,high,ii plain create wiki page
b1747,w,high,ii plain create emoji reaction
b0934,w,low,PUT default w no text
b1311,w,high,w edits oauth client
b1359,w,high,w edits avatar source
b1357,w,high,w edits voting pref
b0756,w,high,w configures adapter command
b1297,x,high,a deletes oauth client no restore
b0254,x,high,e triggers reboot
b0129,x,high,e triggers download job overwrites
b1123,r,high,i read only permission check
b1075,w,high,ii plain create component
b0480,x,high,a deletes distribution group no restore
b0064,w,high,w sets repo list settable back
b1487,x,high,a deletes file request permanently
b1731,w,high,iii moves item settable back
b0604,w,high,w bulk edits contacts
b1317,w,high,ii adds members removable
b0287,w,high,w edits channel members
b0742,w,high,w edits vrf
b0457,x,high,a deletes branch config no restore
b0615,x,high,a deletes interface template no restore
b1600,w,high,w edits metadata cards
b0551,w,high,ii plain create distribution store
b1315,r,low,i generates urls not stored
b0510,x,high,iv POST does delete action
b0540,w,high,ii adds user to team removable
b1222,x,high,a DELETE removes avatar no restore of original
b0182,r,low,i evaluate looks like calculation
b0514,x,high,e creates build that runs
b1469,x,high,a deletes logo no restore
b0196,w,high,w edits patents field
b1620,w,high,w edits snippet
b0652,w,high,ii plain create rir
b0549,x,high,f cancels build progress lost
b1318,w,high,w overwrites permissions settable back
b0550,x,high,f cancels export request
b1582,w,high,restores from trash explicit
b0779,x,high,a deletes data rows no restore
b0465,x,high,a deletes app no restore
b1252,x,high,a deletes MFA setups no restore
b0142,x,high,c sends notification to collaborator
b0959,w,high,ii plain create upload cert
b1475,w,high,w edits classification labels
b1309,w,high,toggle assign unassign webhook
b1271,w,high,iii sets tags settable back
b0930,w,high,ii plain create identity provider
b1787,w,high,ii plain create custom role
b1718,w,low,ii plain create commit
b1628,w,high,ii plain create issue
b0437,x,high,a deletes stopwatch no restore
b1668,w,high,w edits runner details
b0667,w,high,ii plain create power outlet template
b1093,w,high,w changes order settable back
b1534,w,high,w edits tos status
b0476,w,high,ii plain create distribution group
b0200,w,high,w edits device score
b1089,x,high,a deletes project avatar no restore
b0809,w,high,ii plain create column
b1687,w,high,w sets mattermost service settable back
b0203,x,high,a deletes extended property no restore
b0458,x,high,c distributes release delivers to user
