row_id,provider,method,path,operationId,summary,description
2,1password.local,PATCH,/vaults/{vaultUuid}/items/{itemUuid},PatchVaultItem,Update a subset of Item attributes,"Applies a modified [RFC6902 JSON Patch](https://tools.ietf.org/html/rfc6902) document to an Item or ItemField. This endpoint only supports `add`, `remove` and `replace` operations. When modifying a specific ItemField, the ItemField's ID in the `path` attribute of the operation object: `/fields/{fieldId}`"
15,ably.net,DELETE,/apps/{id},,Deletes an app,Deletes the application with the specified application ID.
17,ably.net,PATCH,/apps/{app_id}/namespaces/{namespace_id},,Updates a namespace,"Updates the namespace with the specified ID, for the application with the specified application ID."
29,adafruit.com,PUT,/{username}/dashboards/{dashboard_id}/blocks/{id},replaceBlock,Replace an existing Block,
32,adafruit.com,PUT,/{username}/groups/{group_key},replaceGroup,Replace an existing Group,
37,agco-ats.com,DELETE,/api/v2/AuthorizationCodeDefinitions/{id},AuthorizationCodeDefinitions_DeleteAuthorizationCodeDefinition,Disable an authorization code definition,No Documentation Found.
58,akeneo.com,PATCH,/api/rest/v1/association-types/{code},association_types_patch,Update/create an association type,"This endpoint allows you to update a given association type. Know more about <a href=""/documentation/update.html#update-behavior"">Update behavior</a>. Note that if no association type exists for the given code, it creates it."
97,anchore.io,PUT,/accounts/{accountname}/state,update_account_state,Update the state of an account to either enabled or disabled. For deletion use the DELETE route,
104,apache.org,DELETE,/pools/{pool_name},delete_pool,Delete a pool,
116,apache.org,PATCH,/roles/{role_name},patch_role,Update a role,Update a role. *New in version 2.1.0*
117,apache.org,PATCH,/variables/{variable_key},patch_variable,Update a variable,Update a variable by key.
122,apacta.com,DELETE,/products/{product_id}/variants/{variant_type}/{variant_id},,Delete a product variant,
132,apacta.com,PUT,/projects/{project_id}/files/{file_id}/,,Edit file,Edit file uploaded to a project from wall post or form
136,api.ebay.com,PUT,/custom_policy/{custom_policy_id},updateCustomPolicy,,"This method updates an existing custom policy specified by the <b>custom_policy_id</b> path parameter for the selected marketplace. This method overwrites the policy's <b>Name</b>, <b>Label</b>, and <b>Description</b> fields. Therefore, the complete, current text of all three policy fields must be included in the request payload even when one or two of these fields will not actually be updated.<br/> <br/>For example, the value for the <b>Label</b> field is to be updated, but the <b>Name</b> and "
177,apicurio.local,PUT,/groups/{groupId}/artifacts/{artifactId}/owner,updateArtifactOwner,Update artifact owner,Changes the ownership of an artifact. This operation can fail for the following reasons: * No artifact with this `artifactId` exists (HTTP error `404`) * A server error occurred (HTTP error `500`)
199,apigee.local,DELETE,/v1/projects/{project}/locations/{location}/apis/{api},Registry_DeleteApi,,DeleteApi removes a specified API and all of the resources that it  owns.
200,apigee.local,DELETE,/v1/projects/{project}/locations/{location}/apis/{api}/deployments/{deployment}:deleteRevision,Registry_DeleteApiDeploymentRevision,,DeleteApiDeploymentRevision deletes a revision of a deployment.
205,apigee.local,PATCH,/v1/projects/{project}/locations/{location}/apis/{api},Registry_UpdateApi,,UpdateApi can be used to modify a specified API.
263,appwrite.io,PATCH,/account/password,accountUpdatePassword,Update Account Password,"Update currently logged in user password. For validation, user is required to pass in the new password, and the old password. For users created with OAuth and Team Invites, oldPassword is optional."
290,atlassian.com,DELETE,/rest/api/3/issuetypescheme/{issueTypeSchemeId}/issuetype/{issueTypeId},removeIssueTypeFromIssueTypeScheme,Remove issue type from issue type scheme,Removes an issue type from an issue type scheme. This operation cannot remove:  *  any issue type used by issues.  *  any issue types from the default issue type scheme.  *  the last standard issue type from an issue type scheme. **[Permissions](#permissions) required:** *Administer Jira* [global permission](https://confluence.atlassian.com/x/x4dKLg).
293,atlassian.com,DELETE,/rest/api/3/role/{id},deleteProjectRole,Delete project role,Deletes a project role. You must specify a replacement project role if you wish to delete a project role that is in use. **[Permissions](#permissions) required:** *Administer Jira* [global permission](https://confluence.atlassian.com/x/x4dKLg).
318,ato.gov.au,PUT,/organisations/{partyId}/roles/{roleId},,Update a role,Update a role
325,autotask.net,DELETE,/V1.0/ConfigurationItems/{parentId}/Attachments/{id},ConfigurationItemAttachmentsChild_DeleteEntity,,
328,autotask.net,PATCH,/V1.0/Contracts/{parentId}/TicketPurchases,ContractTicketPurchasesChild_PatchEntity,,
335,autotask.net,PUT,/V1.0/Contracts/{parentId}/Notes,ContractNotesChild_UpdateEntity,,
363,azure.com,PUT,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.ServiceBus/namespaces/{namespaceName}/networkRuleSets/default,Namespaces_CreateOrUpdateNetworkRuleSet,,Create or update NetworkRuleSet for a Namespace.
367,bbc.co.uk,DELETE,/my/radio/favourites/{type}/{pid},deletePersonalisedRadioByActivityTypeById,Favourite Episode or Clip,Remove User favourite
380,beezup.com,DELETE,/v2/user/catalogs/{storeId}/importations/{executionId}/customColumns/{columnId},Importation_DeleteCustomColumn,Delete Custom Column,
382,beezup.com,DELETE,/v2/user/channelCatalogs/{channelCatalogId}/products/{productId}/overrides/{channelColumnId},DeleteChannelCatalogProductValueOverride,Delete a specific channel catalog product value override,
389,beezup.com,PUT,/v2/user/channelCatalogs/{channelCatalogId}/exclusionFilters,ConfigureChannelCatalogExclusionFilters,Configure channel catalog exclusion filters,
395,biapi.pro,DELETE,/banks/categories/{id_category},,Delete the supplied category,
396,biapi.pro,DELETE,/clients/{id_client}/logo,,Delete the client logo,
429,bigredcloud.com,DELETE,/v1/salesInvoices/{id},SalesInvoices_Delete,Removes an existing Sales Invoice.,
455,bitbucket.org,DELETE,/repositories/{workspace}/{repo_slug}/deploy-keys/{key_id},,Delete a repository deploy key,"This deletes a deploy key from a repository. Example: ``` $ curl -XDELETE \ -H ""Authorization <auth header>"" \ https://api.bitbucket.org/2.0/repositories/mleu/test/deploy-keys/1234 ```"
498,britbox.co.uk,PUT,/ee/pin,createPinRequest,,Creates a PIN request that will send an SMS to the given msisdn. This call is to validate MSISDN entered by a user not comming through EE network. This call should be followed by POST ee/pin.
522,callfire.com,DELETE,/contacts/{id},deleteContact,Delete a contact,Deletes a contact instance from account
531,callfire.com,PUT,/contacts/dncs/{number},updateDoNotContact,Update an individual do not contact (dnc) number,Update a Do Not Contact (DNC) contact entry. Can toggle whether the DNC is enabled for calls/texts.
546,cenit.io,DELETE,/setup/connection_role/{id},,Delete a connection role.,Deletes the specified connection role.
547,cenit.io,DELETE,/setup/connection/{id},,Delete a connection,Permanently deletes a connection. It cannot be undone.
548,cenit.io,DELETE,/setup/data_type/{id},,Delete a data type,Deletes the specified data type.
557,circuitsandbox.net,DELETE,/conversations/{convId}/messages/{itemId},deleteTextItem,Deletes a message from a conversation,"Marks a message in the given conversation as deleted. Deleted messages are still part of the conversation, but their content is no more visible. This operation can only be performed on behalf of the message's creator. OauthScopes: WRITE_CONVERSATIONS, DELETE_CONVERSATIONS_CONTENT"
578,citrixonline.com,PUT,/Groups/{groupKey},replaceGroup,Replace Group,"Updates an existing group. The request must include the full group definition. To modify one or more values without sending the full definition, see ""Update Group"". Member groups and member users must be in the organization. This call requires the role ROLE_ORG_WRITE."
586,clarify.io,PUT,/v1/bundles/{bundle_id}/tracks,,Update a tracks for a bundle,"Update tracks for a bundle.<br/><br/><b>parts_complete</b> a boolean <code>true</code> or <cade>false</code>. If true, any tracks in the PENDING state will be queued for processing and no more media parts may be added to the tracks. Default is false.<br/><br/>If <b>version</b> specified, the track will only be updated if the current version matches this parameter value. If the version doesn't match, a 409 Conflict error will be returned. If version not specified, the track will always be updated"
592,clearblade.com,PUT,/admin/collectionmanagement,DevUpdateCollection,DEVELOPER - Update collection,"Creates or deletes a column within an existing collection, or updates an existing database connection in the specified system."
600,clearblade.com,PUT,/api/v/1/user/pass,UpdateUserPass,USERS - Change user password,Changes an user's password.
611,clever-cloud.com,DELETE,/v4/networkgroups/organisations/{ownerId}/networkgroups/{networkGroupId},deleteNetworkGroup,Delete Network Group,Deletes a Network Group.
617,clever-cloud.com,PUT,/self/applications/{appId}/dependencies/{dependencyId},getSelfApplicationsAppIdDependenciesDependencyId,,
635,clickmeter.com,PUT,/tags/{tagId}/name,Tags_PatchTagName,Fast patch a tag name,
649,clicksend.com,PUT,/sms/templates/{template_id},Update a Template,Update a Template,
666,climatekuul.com,PATCH,/urbanDelivery/confirmTransaction,confirmPaymentOfTransaction,confirmTransaction,
669,cloud-elements.com,DELETE,/customers/{id},deleteCustomerById,Delete a customer associated with a given ID from your eCommerce system. Specifying a customer associated with a given ID that does not exist will result in an error message,
683,codat.io,PATCH,/data/companies/{companyId}/connections/{connectionId}/assess/accounts/categories,update-accounts-categories,Confirm categories for accounts,Comfirms the categories for all or a batch of accounts for a specific connection.
684,codat.io,PATCH,/meta/companies/{companyId}/connections/{connectionId},update-connection,Update data connection,Update a data connection
702,combell.com,PUT,/mysqldatabases/{databaseName}/users/{userName}/password,ChangeDatabaseUserPassword,Change password for mysql user,
704,combell.com,PUT,/sslcertificaterequests/{id},VerifySslCertificateRequestDomainValidations,Verify the SSL certificate request domain validations,
734,contract-p.fit,DELETE,/rule_config/{scope},delete_rule_config_resource,Delete scoped rule config,**Permission required:** edit_predictor_settings
766,cpy.re,PUT,/api/v1/videos/{id}/watching,,Set watching progress of a video,This endpoint has been deprecated. Use `/videos/{id}/views` instead
787,data2crm.com,DELETE,/application/entity/invoice/{invoice_id},deleteInvoiceEntity,DELETE for invoice,Delete invoice information
797,data2crm.com,PUT,/application/entity/quote/bulk,updateQuoteEntityBulk,PUT bulk  for quote,
809,digitallinguistics.io,PATCH,/languages/{languageID},updateLanguage,Perform a partial update on a Language,"Performs a partial update the Language whose ID is specified in the URL. If the Language object has an `id` property, is ignored in favor of the ID in the URL."
824,digitalocean.com,PATCH,/v2/projects/{project_id},projects_patch,Patch a Project,"To update only specific attributes of a project, send a PATCH request to `/v2/projects/$PROJECT_ID`. At least one of the following attributes needs to be sent."
838,discourse.local,PUT,/notifications/mark-read.json,markNotificationsAsRead,Mark notifications as read,
853,docker.com,DELETE,/v2/access-tokens/{uuid},,Delete a personal access token,Deletes a personal access token permanently. This cannot be undone.
856,docusign.net,DELETE,/v2.1/accounts/{accountId}/brands/{brandId}/logos/{logoType},BrandLogo_DeleteBrandLogo,Deletes a brand logo.,"This method deletes a single logo from an account brand. **Note:** Branding for either signing or sending must be enabled for the account (`canSelfBrandSend` , `canSelfBrandSign`, or both of these account settings must be **true**)."
868,docusign.net,PUT,/v2.1/accounts/{accountId}/templates/{templateId}/custom_fields,CustomFields_PutTemplateCustomFields,Updates envelope custom fields in a template.,Updates the custom fields in a template. Each custom field used in a template must have a unique name.
888,dracoon.team,PUT,/v4/user/account,updateUserAccount,Update user account,### Description:   Update current user's account. ### Precondition: Authenticated user. ### Postcondition: User's account is updated. ### Further Information: * All input fields are limited to **150** characters.   * **All** characters are allowed.   `customer` (`CustomerData`) attribute in `UserAccount` response model is deprecated. Please use response from `GET /user/account/customer` instead.
894,drchrono.com,PATCH,/api/amendments/{id},amendments_partial_update,,"Update an existing patient amendment, you can only interact with amendments created by your API application"
897,drchrono.com,PATCH,/api/lab_tests/{id},lab_tests_partial_update,,Update an existing lab test
908,ebay.com,DELETE,/fulfillment_policy/{fulfillmentPolicyId},deleteFulfillmentPolicy,,This method deletes a fulfillment policy. Supply the ID of the policy you want to delete in the <b>fulfillmentPolicyId</b> path parameter.
917,ebay.com,PUT,/negative_keyword/{negative_keyword_id},updateNegativeKeyword,,"<span class=""tablenote""><b>Note:</b> This method is only available for select partners who have been approved for the eBay Promoted Listings Advanced (PLA) program. For information about how to request access to this program, refer to <a href=""/api-docs/sell/static/marketing/pl-verify-eligibility.html#access-requests "" target=""_blank ""> Promoted Listings Advanced Access Requests</a> in the Promoted Listings Playbook. To determine if a seller qualifies for PLA, use the <a href=""/api-docs/sell/acc"
924,edrv.io,DELETE,/v1/tokens/{id},deleteToken,,Use to delete a token
953,evetech.net,PUT,/characters/{character_id}/mail/{mail_id}/,put_characters_character_id_mail_mail_id,Update metadata about a mail,Update metadata about a mail --- Alternate route: `/dev/characters/{character_id}/mail/{mail_id}/` Alternate route: `/legacy/characters/{character_id}/mail/{mail_id}/` Alternate route: `/v1/characters/{character_id}/mail/{mail_id}/`
972,fecru.local,DELETE,/rest-service-fecru/admin/permission-schemes/{name},,,Deletes a permission scheme by name
986,fecru.local,PUT,/rest-service-fecru/admin/repositories/{repository}/stop,stop,,Stops repository. Does not wait for the repository to stop before returning.
990,figshare.com,DELETE,/account/articles/{article_id}/categories/{category_id},private_article_category_delete,Delete article category,De-associate category from article
1009,files.com,DELETE,/groups/{id},DeleteGroupsId,Delete Group,Delete Group
1011,files.com,DELETE,/notifications/{id},DeleteNotificationsId,Delete Notification,Delete Notification
1027,flat.io,DELETE,/scores/{score}/collaborators/{collaborator},removeScoreCollaborator,Delete a collaborator,Remove the specified collaborator from the score
1042,formapi.io,PUT,/data_requests/{data_request_id},updateDataRequest,Update a submission data request,
1046,fulfillment.com,PUT,/returns,put-returns,Inform us of an RMA,Inform FDC of an expected return.
1071,gamesparks.net,DELETE,/restv2/game/{apiKey}/manage/snippets/{shortCode},deleteSnippetUsingDELETE,deleteSnippet,
1107,getpostman.com,PUT,/apis/{apiId}/versions/{apiVersionId}/{entityType}/{entityId}/syncWithSchema,syncRelationsWithSchema,Sync relations with schema,"This call allows you to keep the relation in sync with the API schema. > Requires <a href=""#authentication"">API Key</a> as `X-Api-Key` request header or `apikey` URL query parameter."
1133,gitea.io,PATCH,/repos/{owner}/{repo}/hooks/git/{id},repoEditGitHook,Edit a Git hook in a repository,
1178,gsmtasks.com,PATCH,/billing/invoices/{id}/,billing_invoices_partial_update,,
1180,gsmtasks.com,PATCH,/formrules/{id}/,formrules_partial_update,,
1186,gsmtasks.com,PUT,/accounts/{id}/stripe_detach_payment_method/,accounts_stripe_detach_payment_method_update,,"Detached payment method from the customer. The payment method itself will remain somewhere in stripe, but as its no longer linked to the customer, it might as well be deleted for us"
1203,here.com,PUT,/locations/v4/{locationId},,Updates a location details,"Updates the location `locationId` details. A location consists of latitude/longitude coordinate pair and/or geofenceId. A name, description, and address of the location may be provided. The old location definition will be replaced, meaning that full location body should be provided. After a successful update, the response provides the updated location details."
1218,hetzner.cloud,PUT,/firewalls/{id},,Update a Firewall,"Updates the Firewall. Note that when updating labels, the Firewall's current set of labels will be replaced with the labels provided in the request body. So, for example, if you want to add a new label, you have to provide all existing labels plus the new label in the request body. Note: if the Firewall object changes during the request, the response will be a “conflict” error."
1233,httpbin.org,PATCH,/patch,,The request's PATCH parameters.,
1263,id4i.de,PATCH,/api/v1/collections/{id4n},updateCollection,Update collection,Update collection changing only the given values
1307,illumidesk.com,PUT,/v1/{namespace}/projects/{project}/servers/{server}/triggers/{trigger}/,service_trigger_replace,Replace a server trigger,
1312,inboxroute.com,DELETE,/contacts/{contactid},,,Delete an existing contact
