row_id,truth_class,confidence,reason
110,x,high,road 2 post create network slice
458,w,low,rule iii edits existing call metadata
377,r,low,rule i batch query returns inventory counts
240,x,high,road 2 post create token overrides rule 6
409,x,high,road 1c commits to purchase order fulfillment
113,x,high,road 2 post create sponsorship session
310,w,high,rule 9 stop own session no outside party
144,x,high,road 1d call reaches another party
91,r,high,rule i read lookup pseudonymous identifier
414,w,high,rule iii move existing page own workspace
27,x,high,road 2 post create overrides rule 1
123,x,high,road 2 post create subscription
13,r,high,rule i read despite retrieve naming
356,x,high,road 2 post create conversation keys
93,r,high,rule i read list qos profiles
306,x,high,road 2 post create domain
366,x,high,road 2 post create webhook
43,x,high,road 2 trigger each call outbound request
173,w,high,rule iii edit own message redact or cancel before send
350,x,high,road 2 post create token overrides rule 6
70,r,high,rule i read connected network type
63,r,high,rule i read query qos booking
182,w,high,rule 4 edit existing credential list
10,x,high,road 2 post create assistant
131,r,high,rule i read call forwarding status
449,x,high,rule 11 ends another users sessions road 1b
209,x,high,road 2 post create origin keys overrides rule 6
352,x,high,road 2 post create vpc overrides rule 4
491,w,low,rule 7 like pin own action no notify text
420,x,high,road 2 post create conversation overrides rule 4
496,w,high,rule iii mark own reminder complete
94,r,high,rule i read list service areas
399,x,high,road 1c purchase shipping labels
18,w,low,rule 9 pause or resume own campaign no third party notified
51,x,low,road 1c reserves payment via carrier billing
145,x,high,road 2 create payment session
372,x,high,road 1c confirms outbound order commits carrier
184,x,high,road 2 post create credential list mapping
124,x,high,road 2 post create subscription
233,w,high,rule iii add classification metadata to own folder
225,r,high,rule i generated text not stored
78,r,high,rule i read device visit location
142,x,high,road 2 post create application overrides rule 4
243,x,high,road 2 post create information barrier
265,w,high,rule iii dismiss own recommendation
395,r,high,rule i search returns metrics despite post
157,x,high,road 1d redirect or terminate live call
264,x,high,road 2 post create ip allow list
433,w,high,rule 4 admin renames shared definition emoji
52,w,low,rule 9 cancels own payment reservation no charge stated
116,x,high,road 2 post create subscription
475,x,high,road 2 post create conversation
446,x,high,road 1b invite user to workspace
239,x,high,road 2 post create taxonomy node
271,x,high,road 1a crosspost publishes to other channels
90,r,high,rule i read discover edge zones despite post
298,x,high,road 2 post create edge config
482,w,high,own dnd setting
92,r,high,rule i read qos assignment
1,x,high,road 2 post create access
457,w,low,registers participant removal state no direct access action stated
211,r,high,rule i read list payment methods despite post
268,x,high,road 2 post create entitlement
170,w,low,rule iii presumed edit own key metadata thin text
112,w,high,rule 4 edits own network slice releases device
439,x,high,rule 8 changes workspace discoverability
256,w,high,rule iii moves own integration between own orchestrations
428,x,low,rule 4 and 8 changes cross team access to channel
122,x,high,road 2 post create subscription
237,w,high,cascade inside callers own system stays w
303,r,high,rule i generated route suggestion not stored
357,x,high,road 1 delete for all removes message from other participants
189,w,high,rule iii edit own domain attributes
304,x,high,road 2 post create bypass rule
299,w,low,rule iii restore own config from backup
430,x,high,road 2 post create emoji
424,w,high,rule 4 rename existing channel
312,x,high,road 2 post create forked sandbox
478,w,high,rule 4 edit own channel topic
58,r,high,rule i read list esim profiles
45,r,high,rule i validate match customer identity
115,x,high,road 2 post create subscription
79,r,high,rule i read device location
149,x,high,road 2 post create siprec resource
47,x,high,road 2 post create network
502,w,high,rule 4 enable existing usergroup no membership change
258,w,high,rule 4 associate own resources edit existing
492,w,high,rule iii unpin existing item
507,r,low,deprecated non functional no change occurs
152,w,low,rule 9 stop own media stream no viewer mentioned
6,x,high,road 2 post create register endpoints
38,w,low,rule 1 record about customer fill in existing data
16,r,high,rule i read call forwarding type despite post
381,x,high,road 2 post create submit invoice
472,x,high,road 1b removes user from conversation
476,w,high,rule 4 rename own conversation
410,x,high,road 2 post create comment
119,x,high,road 2 post create subscription
242,x,high,road 2 post create segment restriction
448,x,high,road 1b invalidate another users session
351,w,high,rule iii close own accessible ticket
7,x,high,road 2 post create application profile
5,x,high,road 2 post create instantiate app instance
31,x,high,road 2 post create deploy application
396,x,high,road 2 post create report schedule
367,r,high,rule i validate content asin relations
36,w,low,rule 3 own device feature toggle
179,x,high,road 2 post create credential list overrides rule 4
324,x,high,road 2 post create sinkhole
8,x,high,road 2 post create submit app
398,r,high,rule i read capacity slots despite post
284,x,high,road 1b invite add member to organization
24,r,high,rule i check validate network quality
339,w,high,rule iii resize own disk
216,x,low,road 1c interacts with payment network tighter on doubt
186,x,high,road 2 post create credential list mapping
318,r,high,rule i search autorag
333,x,low,rule 10 resumes billing analogous to renewing plan
291,x,low,road 2 create or update external issue ambiguous tighter
199,w,high,rule iii edit own usage trigger
499,w,high,rule 7 remove own star
137,r,high,rule i verify frequent location
274,x,high,road 2 post create guild channel
223,r,high,rule i validate shopper id
212,r,high,rule i read gift card balance despite post
235,x,high,road 2 post create legal hold assignment
255,x,high,road 2 post create orchestration
175,w,high,rule iii edit own caller id
319,x,low,operationid and summary say create widget text mismatched
392,r,high,rule i read list shipping service offers
117,x,high,road 2 post create subscription
30,w,high,own esim profile deletion irreversibility not the test
84,r,high,rule i read device swap date
490,x,high,road 2 post create upload file
177,x,high,road 1d redirects live call of another party
102,x,high,road 1a sends sms otp to phone number
452,x,high,road 1b sets another user as workspace owner
250,x,high,road 2 post create automation action
246,w,high,rule 2 edits account plain detail email alias
99,r,high,rule i read subscription status
425,x,high,road 1b adds idp group access to channel
208,x,high,road 1c cancels order triggers refund
166,x,high,road 2 post create phone number purchase
508,w,high,own profile photo edit
311,x,high,road 1b invite user to team
462,x,high,road 1a sends ephemeral message to user
331,x,high,road 2 post create oauth client overrides rule 6
473,w,high,own membership change leaves conversation
336,w,high,rule 9 cancels own backups no outside party
253,x,high,road 2 post create subscription
401,x,low,road 2 create collection request via carrier ambiguous
451,x,high,road 1b sets another users account expiration
153,x,high,road 2 post create transcription
334,x,high,road 2 post create domain overrides rule 6
353,x,high,rule 8 publishes broadcast live
467,w,high,rule iii archive own conversation
501,w,high,rule iii disable existing usergroup
165,x,high,road 2 post create phone number purchase
378,x,high,road 2 appends inventory each call
125,x,high,road 2 post create subscription
107,w,high,rule iii extend own session duration
341,x,high,rule 12 trigger boot rescue mode each call
485,x,high,road 2 post create remote file
65,w,high,rule 4 own qos booking device release own record
415,r,high,rule i search by title
59,x,high,rule 12 trigger async lifecycle operation
272,x,high,road 2 post create thread
181,w,high,rule iii edit own credential resource
23,r,high,rule i check sim swap
