row_id,provider,method,path,operationId,summary,description
pc-r3668,datadog,DELETE,/api/v1/integration/gcp,DeleteGCPIntegration,Delete a GCP integration,This endpoint is deprecated – use the V2 endpoints instead. Delete a given Datadog-GCP integration.
pc-r1988,digitalocean,POST,/v2/images/{image_id}/account_transfer,images_post_account_transfer_create,Initiate an Image Account Transfer,"To initiate an account transfer for an image, send a POST request to
`/v2/images/$IMAGE_ID/account_transfer`.

Only snapshot images may be transferred by this endpoint to another account.

An image account transfer always has exactly one recipient, specified in the request body.
The recipient can be one of the following:

* A DigitalOcean account, denoted by `recipient_email` in the request body.
The recipient will receive an email with instructions to accept the transfer.
Once the recipient accepts the transfer, the image will be moved to their
account.

* A DigitalOcean team, denoted by `recipient_uuid` in the request body. If the
user has sufficient permissions in the recipient team, the transfer will be
automatically accepted and the image will be moved to the recipient team's
account. Otherwise, the transfer will be pending until a user with sufficient
permissions in the recipient team accepts the transfer."
pc-r0792,openai,POST,/realtime/calls/{call_id}/refer,refer-realtime-call,Refer call,Transfer an active SIP call to a new destination using the SIP REFER verb.
x17-e0494,okta,POST,/api/v1/org/privacy/oktaCommunication/optIn,optInUsersToOktaCommunicationEmails,Opt in to Okta user communication emails,Opts in all users of this org to Okta communication emails
x20-e0322,hubspot,PATCH,/cms/v3/pages/landing-pages/folders/{objectId},patch-/cms/v3/pages/landing-pages/folders/{objectId}_updateFolder,Update a landing page folder,"Partially update a landing page folder, specified by the folder ID. You only need to specify the details values that you are modifying."
pc-r0320,stripe,POST,/v1/payment_method_configurations/{configuration},PostPaymentMethodConfigurationsConfiguration,Update payment method configuration,<p>Update payment method configuration</p>
x17-e0112,okta,PATCH,/api/v1/authenticators/{authenticatorId}/aaguids/{aaguid},updateCustomAAGUID,Update a custom AAGUID,Updates the properties of a custom AAGUID by the `authenticatorId` and `aaguid` ID
x17-e1087,docusign,POST,/v2.1/accounts/{accountId}/users/{userId}/authorizations,UserAuthorizations_PostUserAuthorizations,Create or update multiple user authorizations.,"Create or update multiple user authorizations in a single request. The body of the request is a list of userAuthorizationSomething objects. To create a new authorization, specify the `agentUser` and `permission` fields, with the optional `startDate` and `endDate` fields. To update an existing authorization, specify the `authorizationId` field and the `startDate` and/or `endDate` fields.

For example, to create a new authorization and update the end date of an existing authorization, your request body might look like this:

```
{
  ""authorizations"": [
    {
      ""agentUser"": {
        ""userId"": ""1470ff66-xxxx-xxxx-xxxx-8c46f140da37"",
        ""accountId"": ""230546a7-xxxx-xxxx-xxxx-af205d5494ad""
      },
      ""permission"": ""manage""
    },
    {
      ""authorizationId"": ""b73ac983-xxxx-xxxx-xxxx-b3c0ea5b09d3"",
      ""endDate"": ""2023-05-09T21:36:27.0000000+00:00""
    }
  ]
}
```

The principal user is specified by the `userId` path parameter. To call this endpoint, you must be an account administrator or the principal user.

**Note:** To create an authorization with signing permission, the `AllowDelegationSigning` setting must be enabled on the account. If you share signing access, the agent user will receive an email notification. Each principal user can only share signing permission with one agent user."
x20-e0894,zendesk,POST,/api/v2/routing/agents/instance_values/jobs,BulkSetAgentAttributeValuesJob,Bulk Set Agent Attribute Values Jobs,"Adds, replaces or removes multiple attributes for up to 100 agents.

#### Allowed For
* Admins
* [Agents in custom role with permission to manage skills](https://support.zendesk.com/hc/en-us/articles/4408882153882)

#### Available Parameters

The request takes a data object with the following properties:
| Name       | Type   | Required | Description                                                                                                                                                                                                                                       |
| ---------- | ------ | -------- | ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| action     | string | true     | The action to perform on the attribute values. One of the following: ""upsert"", ""update"", ""delete""                                                                                                                                                 |
| attributes | object | true     | The attribute values to update. See [Attribute Values](#attribute-values). `agent_skill_priority` is optional. If not provided, it keeps the current priority or defaults to `NORMAL` when adding new attribute values.                           |
| items      | array  | true     | The list of agent ids                                                                                                                                                                                                                             |

Action can be one of the following:
  * upsert: Adds new attribute values to the agents
  * update: Replaces all the current attribute values of the agents with the new values
  * delete: Removes specified attribute values from the agents

This endpoint returns a `job_status` [JSON object](/api-reference/ticketing/ticket-management/job_statuses/#json-format) and queues a background job to do the work. Use the [Show Job Status](/api-reference/ticketing/ticket-management/job_statuses/#show-job-status) endpoint to check for the job's completion."
x17-e0040,okta,POST,/api/v1/apps/{appId}/credentials/csrs/{csrId}/lifecycle/publish,publishCsrFromApplication,Publish a certificate signing request,"Publishes a certificate signing request (CSR) for the app with a signed X.509 certificate and adds it into the application key credentials.
> **Note:** Publishing a certificate completes the lifecycle of the CSR and it's no longer accessible."
x20-e0399,hubspot,POST,/crm/objects/2026-09/projects/batch/archive,post-/crm/objects/2026-09/projects/batch/archive_/crm/objects/2026-09-beta/{objectType}/batch/archive,Batch archive objects,"Archive a batch of CRM objects by their IDs. This operation moves the specified objects to the recycling bin, effectively archiving them. Use this endpoint to manage large sets of objects that need to be archived simultaneously."
pc-r3480,asana,DELETE,/roles/{role_gid},deleteRole,Delete a role,"<b>Required scope: </b><code>roles:delete</code>

Deletes a role from a workspace."
pc-r3765,datadog,POST,/api/v1/synthetics/tests/delete,DeleteTests,Delete tests,Delete multiple Synthetic tests by ID.
x17-e0888,docusign,POST,/v2.1/accounts/{accountId}/envelopes/{envelopeId}/recipients/{recipientId}/tabs,Recipients_PostRecipientTabs,Adds tabs for a recipient.,Adds one or more tabs for a recipient.
x20-e0320,hubspot,PATCH,/cms/v3/hubdb/tables/{tableIdOrName}/draft,patch-/cms/v3/hubdb/tables/{tableIdOrName}/draft_updateDraftTable,Update an existing table,"Update an existing HubDB table. You can use this endpoint to add or remove columns to the table as well as restore an archived table. Tables updated using the endpoint will only modify the draft verion of the table. Use the `/publish` endpoint to push all the changes to the published version. To restore a table, include the query parameter `archived=true` and `""archived"": false` in the json body.
**Note:** You need to include all the columns in the input when you are adding/removing/updating a column. If you do not include an already existing column in the request, it will be deleted."
