row_id,provider,method,path,operationId,summary,description
x22-1284,cloudflare,POST,/accounts/{account_id}/flagship/apps/{app_id}/flags,flagship_create_flag,Create flag,Creates a flag. Returns 409 if the key already exists. `type` is always inferred from variation values; legacy request-side values are ignored.
x22-0028,cloudflare,GET,/accounts/{account_id}/abuse-reports/submitted,ListSubmittedAbuseReports,List submitted abuse reports,List abuse reports submitted by the account.
x22-4140,sentry,GET,/api/0/organizations/{organization_id_or_slug}/scim/v2/Users,listOrganizationScimV2Users,List an Organization's SCIM Members,Returns a paginated list of members bound to a organization with a SCIM Users GET Request.
x22-1047,cloudflare,GET,/accounts/{account_id}/dlp/data_classes/{data_class_id},dlp-data-classes-read,Retrieve a specific data class,Gets the configuration for a data class.
x22-2211,cloudflare,DELETE,/accounts/{account_id}/stream/{identifier}/downloads,stream-mp4-downloads-delete-downloads,Delete downloads,Delete the downloads for a video. Use `/downloads/{download_type}` instead for type-specific downloads. Available types are `default` and `audio`.
x22-1022,cloudflare,GET,/accounts/{account_id}/dex/rules,list-dex-rules,List DEX Rules,List DEX Rules.
x22-3164,cloudflare,POST,/zones/{zone_id}/environments,zonesEnvironmentsCreate,Create zone environments,Creates environments for a zone.
x22-2409,cloudflare,GET,/accounts/{account_id}/workers/scripts/{script_name}/content/v2,worker-script-get-content,Get Worker Script Content,Fetch Worker script content only.
x22-0184,cloudflare,GET,/accounts/{account_id}/addressing/prefixes/{prefix_id}/bindings,ip-address-management-service-bindings-list-service-bindings,List Service Bindings,"List the Cloudflare services this prefix is currently bound to. Traffic sent to an address within an IP prefix will be routed to the Cloudflare service of the most-specific Service Binding matching the address.
**Example:** binding `192.0.2.0/24` to Cloudflare Magic Transit and `192.0.2.1/32` to the Cloudflare CDN would route traffic for `192.0.2.1` to the CDN, and traffic for all other IPs in the prefix to Cloudflare Magic Transit."
x22-1243,cloudflare,GET,/accounts/{account_id}/email/sending/messages/{message_id},email-sending-get-email-message,Fetch an email message,Returns the raw RFC 5322 MIME message for the given account and message id.
x22-3384,cloudflare,PUT,/zones/{zone_id}/secondary_dns/outgoing,secondary-dns-(-primary-zone)-update-primary-zone-configuration,Update Primary Zone Configuration,Update primary zone configuration for outgoing zone transfers.
x22-0640,cloudflare,DELETE,/accounts/{account_id}/cloudforce-one/events/tag-categories/{category_uuid},delete_TagCategoryDelete,Deletes a tag category (SoT),Deletes a Source-of-Truth tag category by UUID.
x22-1307,cloudflare,GET,/accounts/{account_id}/gateway/configuration/custom_certificate,zero-trust-accounts-get-zero-trust-certificate-configuration,Get Zero Trust certificate configuration,Retrieve the current Zero Trust certificate configuration.
x22-0064,cloudflare,PUT,/accounts/{account_id}/access/apps/{app_id}/policies/{policy_id},access-policies-update-an-access-policy,Update an Access application policy,"Updates an Access policy specific to an application. To update a reusable policy, use the /accounts/{account_id}/policies/{uid} endpoint."
x22-0677,cloudflare,DELETE,/accounts/{account_id}/cloudforce-one/requests/priority/{priority_id},cloudforce-one-priority-delete,Delete a Priority Intelligence Requirement,Deletes a priority intelligence request from Cloudforce One.
x22-2425,cloudflare,GET,/accounts/{account_id}/workers/scripts/{script_name}/subdomain,worker-script-get-subdomain,Get Worker Script Subdomain,Get whether a Worker script is available on the workers.dev subdomain.
x22-2234,cloudflare,GET,/accounts/{account_id}/teamnet/routes/ip/{ip},tunnel-route-get-tunnel-route-by-ip,Get tunnel route by IP,Fetches routes that contain the given IP address.
x22-0806,cloudflare,GET,/accounts/{account_id}/cloudforce-one/v2/requests/{project_type}/{request_id}/assets/{asset_id}/download,get_DashboardAssetDownload,Download asset (Customer),Download a file asset from R2 storage. Customer can only download from their own account.
x22-0865,cloudflare,DELETE,/accounts/{account_id}/connectivity/directory/services/{service_id},connectivity-services-delete,Delete Workers VPC connectivity service,"Removes a single Workers VPC connectivity service by its ID. Any Worker
bindings referencing this service will stop working."
x22-3102,cloudflare,GET,/zones/{zone_id}/dns_analytics/report,dns-analytics-table,Table,"Retrieves a list of summarised aggregate metrics over a given time period.

See [Analytics API properties](https://developers.cloudflare.com/dns/reference/analytics-api-properties/) for detailed information about the available query parameters."
x22-0146,cloudflare,PUT,/accounts/{account_id}/access/tags/{tag_name},access-tags-update-a-tag,Update a tag,Update a tag
x22-1782,cloudflare,POST,/accounts/{account_id}/pages/projects/{project_name}/purge_build_cache,pages-purge-build-cache,Purge build cache,Purge all cached build artifacts for a Pages project
x22-3503,cloudflare,GET,/zones/{zone_id}/ssl/universal/settings,universal-ssl-settings-for-a-zone-universal-ssl-settings-details,Universal SSL Settings Details,Get Universal SSL Settings for a Zone.
x22-2800,cloudflare,GET,/radar/origins/summary/{dimension},radar-get-origins-summary,Get origin metrics distribution by dimension,Retrieves an aggregated summary of origin metrics grouped by the specified dimension.
x22-2155,cloudflare,GET,/accounts/{account_id}/storage/kv/namespaces/{namespace_id},workers-kv-namespace-get-a-namespace,Get a Namespace,Get the namespace corresponding to the given ID.
x22-0707,cloudflare,POST,/accounts/{account_id}/cloudforce-one/rules/structured,cloudforce-one-create-email-rule,Create an email rule,Create a structured email rule.
x22-1347,cloudflare,POST,/accounts/{account_id}/hyperdrive/configs,create-hyperdrive,Create Hyperdrive,"Creates and returns a new Hyperdrive configuration. For a PlanetScale integration, the Cloudflare account must already be linked to PlanetScale in the Hyperdrive dashboard."
x22-1771,cloudflare,DELETE,/accounts/{account_id}/pages/projects/{project_name}/deployments/{deployment_id},pages-deployment-delete-deployment,Delete deployment,Delete a deployment.
x22-3940,pagerduty,GET,/teams/{id}/notification_subscriptions,getTeamNotificationSubscriptions,List Team Notification Subscriptions,"Retrieve a list of Notification Subscriptions the given Team has.

<!-- theme: warning -->
> Teams must be added through `POST /teams/{id}/notification_subscriptions` to be returned from this endpoint.

Scoped OAuth requires: `subscribers.read`"
x22-2069,cloudflare,DELETE,/accounts/{account_id}/scim/v2/Users/{user_id},scim-users-delete,Delete SCIM User,Deprovisions a SCIM User by removing their membership from this account (RFC 7644 Section 3.6). This does not delete the global Cloudflare user.
x22-1575,cloudflare,GET,/accounts/{account_id}/magic/bgp/filter_profiles/{profile_id},magic-bgp-get-filter-profile,Get BGP Filter Profile,Gets a specific BGP filter profile for an account.
x22-3964,pagerduty,GET,/users/{id}/oauth_delegations/{delegation_id},getUserDelegation,Get a user's delegation,"Get details about a specific OAuth delegation.

This endpoint replaces the deprecated `/users/{id}/sessions/{session_id}` endpoint.

**Required OAuth Scope:** For Scoped OAuth requests, this operation requires the `oauth_delegations.read` scope.

Scoped OAuth requires: `oauth_delegations.read`"
x22-0213,cloudflare,DELETE,/accounts/{account_id}/ai-gateway/billing/spending-limit,aig-billing-delete-spending-limit,Delete spending limit,Remove the spending limit for the account.
x22-1723,cloudflare,POST,/accounts/{account_id}/mnm/rules/bulk,magic-network-monitoring-rules-create-rules-bulk,Create rules in bulk,Create multiple network monitoring rules for account in a single request. Supports up to 100 rules per request. All rules in a single request must be of the same type.
x22-0256,cloudflare,PUT,/accounts/{account_id}/ai-gateway/gateways/{gateway_id}/provider_configs/{id},aig-config-update-providers,Update a Provider Configs,Updates an existing AI Gateway dataset.
x22-3519,cloudflare,POST,/zones/{zone_id}/token_validation/config,token-validation-config-create,Create a token validation configuration,Creates a JWT validation configuration for the zone.
x22-0874,cloudflare,GET,/accounts/{account_id}/containers/applications/{application_id}/versions,listApplicationVersions,List all application versions,"Returns all versions for a scheduler-backed application with
`scheduling_policy: ""default""`. Versions and rollouts do not apply to
applications with `scheduling_policy: ""durable_object""`."
x22-2351,cloudflare,PATCH,/accounts/{account_id}/workers/dispatch/namespaces/{dispatch_namespace}/scripts/{script_name}/secrets-bulk,namespace-worker-patch-script-secrets-bulk,Patch multiple Workers for Platforms script secrets,"Create, update, or delete multiple secrets on a Workers for Platforms script in a single operation using JSON Merge Patch (RFC 7396).
This operation creates a single version with all changes included.
Prefer this API instead of changing many secrets individually.

Usage:

- To create or update a secret, set its value to a secret object.
- To delete a secret, set its value to `null`.
- Secrets not included in the request are left unchanged."
x22-0377,cloudflare,DELETE,/accounts/{account_id}/artifacts/namespaces/{namespace}/repos/{name},artifacts_repos_delete,Delete a repository,Deletes a repository and schedules cleanup of its backing data.
x22-0868,cloudflare,GET,/accounts/{account_id}/containers/applications/{application_id},getApplication,Get a single application by id,Returns a single application by id.
x22-2869,cloudflare,PATCH,/user/load_balancers/pools,load-balancer-pools-patch-pools,Patch Pools,"Apply changes to a number of existing pools, overwriting the supplied properties. Pools are ordered by ascending `name`. Returns the list of affected pools. Supports the standard pagination query parameters, either `limit`/`offset` or `per_page`/`page`."
x22-3328,cloudflare,GET,/zones/{zone_id}/pagerules/settings,available-page-rules-settings-list-available-page-rules-settings,List available Page Rules settings,Returns a list of settings (and their details) that Page Rules can apply to matching requests.
x22-3467,cloudflare,PATCH,/zones/{zone_id}/smart_shield/healthchecks/{healthcheck_id},smart-shield-patch-health-check,Patch Health Check,Patch a configured health check.
x22-3062,cloudflare,DELETE,/zones/{zone_id}/client_certificates/{client_certificate_id},client-certificate-for-a-zone-delete-client-certificate,Revoke Client Certificate,Set a API Shield mTLS Client Certificate to pending_revocation status for processing to revoked status.
x22-4103,sentry,GET,/api/0/organizations/{organization_id_or_slug}/preprodartifacts/{artifact_id}/size-analysis/,getOrganizationPreprodArtifactSizeAnalysis,Retrieve Size Analysis results for a given artifact,"Retrieve size analysis results for a given artifact.

Returns size metrics including download size, install size, and optional insights.
When a base artifact exists (either from commit comparison or via the `baseArtifactId` parameter),
comparison data showing size differences is included.

The response `state` field indicates the analysis status:
- `PENDING`: Analysis has not started yet.
- `PROCESSING`: Analysis is currently running.
- `FAILED` / `NOT_RAN`: Analysis did not complete; `errorCode` and `errorMessage` are included.
- `COMPLETED`: Analysis finished successfully with full size data."
x22-2279,cloudflare,POST,/accounts/{account_id}/vectorize/indexes/{index_name}/get-by-ids,vectorize-(-deprecated)-get-vectors-by-id,Get Vectors By Identifier (Deprecated),Get a set of vectors from an index by their vector identifiers.
x22-1527,cloudflare,DELETE,/accounts/{account_id}/magic/advanced_dns_protection/configs/dns_protection/rules/{rule_id},deleteDnsProtectionRule,Delete DNS Protection rule.,Delete a DNS Protection rule specified by the given UUID.
x22-1677,cloudflare,PATCH,/accounts/{account_id}/magic/sites/{site_id}/acls/{acl_id},magic-site-acls-patch-acl,Patch Site ACL,Patch a specific Site ACL.
x22-4115,sentry,GET,/api/0/organizations/{organization_id_or_slug}/release-threshold-statuses/,listOrganizationReleaseThresholdStatuses,Retrieve Statuses of Release Thresholds (Alpha),"**Experimental:** This API is under active development and may change.

List all derived statuses of releases that fall within the provided start/end datetimes.

Constructs a response key'd off \{`release_version`\}-\{`project_slug`\} that lists thresholds with their status for *specified* projects.
Each returned enriched threshold will contain the full serialized `release_threshold` instance as well as it's derived health statuses."
x22-4225,sentry,PUT,/api/0/projects/{organization_id_or_slug}/{project_id_or_slug}/symbol-sources/,updateProjectSymbolSource,Update a Project's Symbol Source,Update a custom symbol source in a project.
x22-2867,cloudflare,GET,/user/load_balancers/pools,load-balancer-pools-list-pools,List Pools,List configured pools.
x22-3811,pagerduty,DELETE,/ip_allow_lists/{id},deleteIpAllowList,Delete an IP allow list,"Delete the IP allow list with the given `id`. Subsequent `GET` and `PUT` requests for the same `id` will return `404`. The list is no longer enforced once deleted.

Only Account Owners, Global Admins, and Account API Keys can call this endpoint.

Scoped OAuth requires: `ip_allow_lists.write`"
x22-0071,cloudflare,GET,/accounts/{account_id}/access/authenticator_device_aaguids,access-authenticator-device-aaguids-list,List authenticator device AAGUIDs,Returns a list of Authenticator Device AAGUIDs for MFA configuration.
x22-1838,cloudflare,POST,/accounts/{account_id}/queues,queues-create,Create Queue,Creates a Queue in the account.
x22-2173,cloudflare,POST,/accounts/{account_id}/stream/keys,stream-signing-keys-create-signing-keys,Create signing keys,"Creates an RSA private key in PEM and JWK formats. Key files are only displayed once after creation. Keys are created, used, and deleted independently of videos, and every key can sign any video."
x22-3573,cloudflare,GET,/zones/{zone_id}/workers/routes/{route_id},worker-routes-get-route,Get Worker Route,"Returns information about a Worker route, including URL pattern and Worker."
x22-1294,cloudflare,GET,/accounts/{account_id}/gateway/audit_ssh_settings,zero-trust-get-audit-ssh-settings,Get Zero Trust SSH settings,Retrieve all Zero Trust Audit SSH and SSH with Access for Infrastructure settings for an account.
x22-1716,cloudflare,PUT,/accounts/{account_id}/mnm/config,magic-network-monitoring-configuration-update-an-entire-account-configuration,Update an entire account configuration,"Update an existing network monitoring configuration, requires the entire configuration to be updated at once."
