set,repo,method,path,operationId,tool_class,gt_class,rule_id,words_fired,confidence,summary,description_first_sentence,description_rest,reader_reason,state_effect,external_effect,doubt
camara-build,ApplicationProfiles,PATCH,/application-profiles/{applicationProfileId},updateApplicationProfile,x,w,L3-live-noun,nouns=network verb=update,low,Update an Application Profile,Update the complete set of network quality thresholds for an application with the new set of thresholds to ensure good end user experience,,"Description states it updates ""the complete set of network quality thresholds for an application with the new set of thresholds"", i.e. a full replace of the identified profile's thresholds.",idempotent,none,
camara-build,CarrierBillingCheckOut,POST,/payments/{paymentId}/cancel,cancelPayment,x,w,L2-danger-verb,"verbs=cancel,pay,reserv",high,Cancel a payment,"Cancel a reservation of a given payment, identified by its paymentId.",,"Description says it will ""Cancel a reservation of a given payment"" before it is charged, which converges the reservation to a cancelled end state and does not move money or reach a third party.",idempotent,none,
camara-build,ConnectedNetworkType,DELETE,/subscriptions/{subscriptionId},deleteConnectedNetworkTypeSubscription,x,w,L3-live-noun,nouns=network verb=delete,low,Delete connected network type event subscription for a device,delete a given ConnectedNetworkType subscription.,,"This is the standard CAMARA subscription delete operation on /subscriptions/{subscriptionId}: it removes the identified subscription, converging to the same absent-subscription end state on repetition and issuing no further notifications itself.",idempotent,none,
camara-build,ConsentInfo,POST,/retrieve,retrieveStatus,x,r,L3-live-noun,nouns=access verb=create,low,Create a request to retrieve the validity status of the data processing,"Create a request to retrieve the validity status of the API Consumer data processing for a given User, scope(s) and Purpose.",The API Consumer is identified by the `client_id` parameter deduced from the access token.,"Description says it will ""Create a request to retrieve the validity status of the API Consumer data processing for a given User, scope(s) and Purpose"", i.e. despite the verb ""create"" in the summary it only reads and returns existing consent status, optionally with a one-off captureUrl, not a subscription.",none,none,
camara-build,EdgeApplicationManagement,DELETE,/app-instances/{appInstanceId},deleteAppInstance,x,w,L2-danger-verb,verbs=terminat,high,Terminate an Application Instance,Terminate a running instance of an application within an Edge Cloud Zone,,description 'Terminate a running instance of an application within an Edge Cloud Zone' is an idempotent removal of the caller's own instance.,idempotent,none,
camara-build,EdgeApplicationManagement,DELETE,/deployments/{appDeploymentId},deleteAppDeployment,x,w,L2-danger-verb,verbs=terminat,high,Terminate an Application Deployment,Delete a deployment terminating all related instances of an application,,description 'Delete a deployment terminating all related instances of an application' idempotently tears down the caller's own deployment.,idempotent,none,
camara-build,EdgeApplicationManagement,PATCH,/deployments/{appDeploymentId},updateAppDeployment,x,w,L5-floor,verb=update,method-only,Update an Application Deployment,Update the configuration or properties of an existing application deployment using JSON Merge Patch semantics (RFC 7396).,"Only the fields provided in the request body will be updated. Fields not included in the request will remain unchanged. IMPORTANT: When updating array fields (like edgeCloudZones or kubernetesClusterRefs), JSON Merge Patch will REPLACE the entire array, not merge or append to it. This operation may include changing the deployment name, target Edge Cloud Zones, or other updatable fields.","description specifies JSON Merge Patch semantics where 'Only the fields provided in the request body will be updated,' a repeatable set-style update.",idempotent,none,
camara-build,IoTSIMFraudPrevention,DELETE,/subscriptions/{subscriptionId},deleteSubscription,x,w,L2-danger-verb,"verbs=notif,sent",high,Delete subscription,Delete an existing subscription.,"After deletion, no further notifications will be sent.","""Delete an existing subscription. After deletion, no further notifications will be sent"" is a delete whose repetition leaves the subscription gone either way.",idempotent,none,
camara-build,IoTSIMFraudPrevention,POST,/query,query,x,r,L5-floor,verb=iot,method-only,IoT SIM Fraud Prevention Query,Retrieve the current IMEI binding status or area restriction for a device.,,"The request body only carries a device identifier and queryType, and the response only reports current bind or area-limit status with no resource created or modified.",none,none,
camara-build,KnowYourCustomerAgeVerification,POST,/verify,verifyAge,x,r,L5-floor,verb=verify,method-only,Verify Age Threshold,Verify that the age of the subscriber associated with a phone number is equal to or greater than the specified age threshold value.,"As it is possible that the person holding the contract and the end-user of the subscription may not be the same, the endpoint also admits a list of optional properties to be included in the request to improve the identification. The response may optionally include the `identityMatchScore` property with a value that indicates how certain it is that the information returned relates to the person that the API Client is requesting. To increase the reliability of the information returned, the API Provider may include in the response the `verifiedStatus` property, indicating whether the identity inf","As the standalone KnowYourCustomerAgeVerification repo's copy of /verify, it 'checks if the age of the subscriber is older than the age threshold' and returns ageCheck, a pure lookup with no side effects.",none,none,
