row_id,truth_class,confidence,reason
pc-r3898,x,high,a DELETE article no restore
x20-e0190,w,high,ii plain add of hook secrets
x17-e1214,w,high,PUT adds contacts to group membership settable back
pc-r1249,x,low,f dismisses pending refund request cannot reopen
pc-r1316,w,high,ii plain create of meeting
pc-r1406,x,high,a DELETE webinar no restore
x17-e1018,x,high,a DELETE template custom fields
pc-r3471,w,high,ii plain create of rate
x20-e0786,x,high,a DELETE memberships method wins
pc-r3066,x,high,f archive permanently ends automation cannot restart
pc-r2632,x,high,c sends email notification
pc-r0008,x,high,a DELETE account no restore
pc-r3955,w,high,PUT edits conversation
pc-r2832,x,high,a DELETE actors from role method wins
pc-r0643,x,high,a DELETE eval run
pc-r1846,x,high,e PUT starts update installation job
x20-e0579,x,high,iv creates job that executes
pc-r3412,w,high,ii plain create of OOO entry
x20-e0652,x,high,a DELETE doc item
x17-e0155,x,high,a DELETE policy rule
x20-e0018,x,high,a DELETE custom domain
x17-e0353,w,high,PUT replaces label and description
pc-r3619,x,high,b DELETE revokes public URL token
pc-r0528,x,high,e starts advancing test clock cannot go back
x20-e0113,w,high,PATCH edits provider configuration
pc-r2810,w,high,PUT sets project avatar
pc-r3597,w,high,PUT edits API key name only
x20-e0386,w,high,iii POST batch edits landing pages
pc-r0851,w,high,iii POST sets spend limit
pc-r1550,x,low,c sends onboarding request to end business
x17-e0243,w,high,toggle activate has deactivate
x17-e0368,x,high,a DELETE resource from set method wins
x17-e1177,w,high,ii PUT plain create of history record
pc-r3548,w,high,membership add no notification named
x17-e0239,w,high,PUT replaces policy
x17-e0019,x,high,e retries runs agent update
pc-r3221,x,high,c publishes landing page
pc-r2709,x,high,a DELETE issue type from scheme method wins
x17-e0638,x,high,b DELETE revokes tokens
x20-e0953,w,low,PUT edits field options removed can be re-added
x17-e1221,w,high,iii POST updates credit note
x20-e0547,w,high,PATCH edits mapped metric
pc-r1221,w,high,toggle resume has pause
x20-e0643,x,high,a DELETE code widget
x20-e0353,w,high,PATCH edits email object
x20-e0063,x,high,a DELETE user attribute profile
pc-r0283,w,high,iii POST updates settlement fields
pc-r1560,x,high,c sends marketing message
pc-r0255,x,high,c sends invoice email
x17-e0929,w,high,toggle enable rule has disable
x20-e0931,w,high,PUT edits brand
pc-r1395,x,high,a DELETE TSP account
x17-e0104,w,high,ii plain create of authenticator
x20-e0418,w,low,ii create of CRM postal mail record text absent
x17-e1056,x,high,a DELETE recipient tabs
pc-r1374,w,high,ii plain create of user no notification named
pc-r0746,w,high,iii edits user role settable back
x20-e0023,x,high,a DELETE feature flag
x17-e0622,w,high,assignment of linked object settable back
x20-e0161,w,high,ii plain create of connection profile
pc-r1442,x,high,d captures payment
pc-r1198,w,high,PUT edits payment amount fields
pc-r3741,x,high,a DELETE SLO correction permanently
pc-r0897,x,high,a DELETE agent
pc-r2349,w,high,PUT edits knowledge base
pc-r2909,x,high,a DELETE statuses
pc-r2244,w,low,toggle attach volume has detach
pc-r2892,x,high,a DELETE screen scheme
x20-e0901,w,high,ii plain create of task item
pc-r4040,w,low,ii async create of ticket
x20-e0426,w,high,association add settable back
pc-r0077,w,low,ii create of meter event text says nothing more
pc-r3217,w,high,ii plain create of unpublished page
pc-r0494,x,high,e initiates setup flow on reader
pc-r0517,x,high,d force captures amount
x17-e0525,x,high,a DELETE policy rule
pc-r1909,x,high,b DELETE revokes token
pc-r0779,x,high,a DELETE unassign role method wins
pc-r3891,x,high,a DELETE collection
x20-e0033,x,high,a DELETE roles from group method wins
x17-e0705,x,high,a DELETE role from client method wins
x20-e0471,w,high,PUT edits stage permissions
x20-e0321,w,high,PATCH edits draft row
pc-r1591,x,high,a DELETE rejects join requests gone
pc-r3720,w,high,PUT edits notebook
x17-e1347,w,high,ii PUT plain create of invoice templates
pc-r0337,x,low,f reports attempt failed state cannot step back
x20-e0762,x,high,a DELETE access rule permanently
x17-e0640,x,low,b resets recovery credential
pc-r3858,w,high,ii plain create of article
pc-r1699,x,high,a DELETE albums from library method wins
x20-e0856,x,high,c delivers message to agent browser
x20-e0288,w,high,DELETE to recycling bin named
x17-e0559,w,high,edits role notification subscription setting
pc-r3322,w,high,PUT sets campaign content
pc-r1727,w,high,PUT adds follow membership settable back
pc-r1774,x,high,a DELETE app permanently
pc-r3102,w,high,PATCH edits campaign settings
pc-r2672,w,high,ii plain create of security scheme
x20-e0624,w,high,association add of tag settable back
