repo,file,path,method,operationId,gt_class,state_effect,external_effect,spec_field,doubt,reason
ApplicationEndpointDiscovery,application-endpoint-discovery.yaml,/retrieve-optimal-app-endpoints,POST,getOptimalAppEndpoints,r,none,none,description,,"The description says the network only ""returns the endpoint(s) of the Application Instance(s) with the shortest network path"" for the identified device, so the POST body is a lookup query and no resource is created."
ApplicationEndpointRegistration,application-endpoint-registration.yaml,/application-endpoint-lists,POST,registerApplicationEndpoints,x,non-idempotent,none,schemas.ApplicationEndpointListId,,"ApplicationEndpointListId is described as ""generated by the system upon successful registration"", so each call to register endpoints mints a brand-new list identifier rather than replacing an existing one."
ApplicationEndpointRegistration,application-endpoint-registration.yaml,/application-endpoint-lists,GET,getAllRegisteredApplicationEndpoints,r,none,none,description,,"Description states it ""Returns endpoint information for all registered Applications"", a pure read with no request body."
ApplicationEndpointRegistration,application-endpoint-registration.yaml,/application-endpoint-lists/{applicationEndpointListId},GET,getApplicationEndpointsById,r,none,none,description,,"Description states it ""Returns endpoint information of the application based on applicationEndpointListId"", a read-only lookup by path id."
ApplicationEndpointRegistration,application-endpoint-registration.yaml,/application-endpoint-lists/{applicationEndpointListId},PUT,updateApplicationEndpoint,w,idempotent,none,description,,"Description says it will ""Update registered application Endpoint information"" for the identified list, a set/replace operation via PUT with no external notification."
ApplicationEndpointRegistration,application-endpoint-registration.yaml,/application-endpoint-lists/{applicationEndpointListId},DELETE,deregisterApplicationEndpoint,w,idempotent,none,description,,"Description says it will ""Deregister an application's Endpoint from the edge cloud zone"", a resource deletion whose repeated effect (endpoint gone) is unchanged."
ApplicationProfiles,application-profiles.yaml,/application-profiles,POST,createApplicationProfile,x,non-idempotent,none,responses.201,,"The 201 Created response returns a new ApplicationProfile object with a fresh applicationProfileId each time the operation succeeds, so repeating the call produces another profile rather than the same one."
ApplicationProfiles,application-profiles.yaml,/application-profiles/{applicationProfileId},PATCH,updateApplicationProfile,w,idempotent,none,description,,"Description states it updates ""the complete set of network quality thresholds for an application with the new set of thresholds"", i.e. a full replace of the identified profile's thresholds."
ApplicationProfiles,application-profiles.yaml,/application-profiles/{applicationProfileId},GET,readApplicationProfile,r,none,none,summary,,"Summary and description are simply ""Get an Application Profile"" / ""Read an Application Profile"" by its id, with no side effects documented."
ApplicationProfiles,application-profiles.yaml,/application-profiles/{applicationProfileId},DELETE,deleteApplicationProfile,w,idempotent,none,responses.204,,"The 204 response description ""Application profile has been deleted successfully"" indicates a delete whose repeated effect (profile absent) does not change."
