row_id,truth_class,confidence,reason
pc-r3898,x,high,a DELETE deletes article no restore
x20-e0190,w,high,ii plain create adds secrets to hook
x17-e1214,w,high,PUT adds contacts to group membership settable back
pc-r1249,x,low,f dismisses pending refund request cannot reopen
pc-r1316,w,high,ii plain create of meeting
pc-r1406,x,high,a DELETE webinar no restore
x17-e1018,x,high,a DELETE custom fields no restore
pc-r3471,w,high,ii plain create of rate
x20-e0786,x,high,DELETE method wins removes memberships queues job
pc-r3066,x,high,f archive permanently ends cannot restart
pc-r2632,x,high,c sends email notification
pc-r0008,x,high,a DELETE account no restore
pc-r3955,w,high,PUT edits conversation fields
pc-r2832,x,high,DELETE method wins removes actors from role
pc-r0643,x,high,a DELETE eval run
pc-r1846,x,high,e PUT starts installation job
x20-e0579,x,low,e creates a bulk job that runs
pc-r3412,w,high,ii plain create of OOO entry
x20-e0652,x,high,a DELETE doc item no restore
x17-e0155,x,high,a DELETE policy rule
x20-e0018,x,high,a DELETE custom domain
x17-e0353,w,high,PUT replaces label and description
pc-r3619,x,high,b DELETE revokes public URL token
pc-r0528,x,high,e starts advancing test clock cannot un-run
x20-e0113,w,high,PATCH edits provider configuration
pc-r2810,w,high,PUT sets project avatar settable back
pc-r3597,w,high,PUT edits API key name not a rotate
x20-e0386,w,high,iii batch edits existing landing pages
pc-r0851,w,high,iii sets spend limit settable back
pc-r1550,x,low,c sends onboarding request to end business
x17-e0243,w,high,toggle activate has deactivate
x17-e0368,x,high,DELETE method wins removes resource from set
x17-e1177,w,high,ii plain create of history record
pc-r3548,w,high,membership add no notification named
x17-e0239,w,high,PUT replaces policy fields
x17-e0019,x,high,e retries a job re-run
pc-r3221,x,high,c publishes landing page to public
pc-r2709,x,high,DELETE method wins removes issue type from scheme
x17-e0638,x,high,b revokes tokens
x20-e0953,w,high,PUT edits organization field
x17-e1221,w,high,iii POST edits existing credit note
x20-e0547,w,high,PATCH edits mapped metric
pc-r1221,w,high,toggle resume has pause
x20-e0643,x,high,a DELETE code widget no restore
x20-e0353,w,high,PATCH edits email object fields
x20-e0063,x,high,a DELETE user attribute profile
pc-r0283,w,high,iii POST edits settlement fields
pc-r1560,x,high,c sends marketing message
pc-r0255,x,high,c sends invoice email to customer
x17-e0929,w,high,toggle enable rule has disable
x20-e0931,w,high,PUT edits brand
pc-r1395,x,high,a DELETE TSP account
x17-e0104,w,high,ii plain create of authenticator
x20-e0418,w,low,ii create per operationId text absent
x17-e1056,x,high,a DELETE recipient tabs
pc-r1374,w,high,ii plain create of user no send named
pc-r0746,w,high,w edits another users role settable back
x20-e0023,x,high,a DELETE feature flag
x17-e0622,w,high,assignment settable back
x20-e0161,w,high,ii plain create of connection profile
pc-r1442,x,high,d captures payment moves money
pc-r1198,w,low,PUT edits approved payment amounts before capture
pc-r3741,x,high,a DELETE permanently deletes correction
pc-r0897,x,high,a DELETE agent
pc-r2349,w,high,PUT edits knowledge base
pc-r2909,x,high,a DELETE statuses bulk
pc-r2244,x,low,resize only upwards no opposite tighter over attach toggle
pc-r2892,x,high,a DELETE screen scheme
x20-e0901,w,high,ii plain create of task item
pc-r4040,x,low,e enqueues job that runs
x20-e0426,w,high,association settable back by removing
pc-r0077,w,low,ii plain create of meter event no charge named
pc-r3217,w,high,ii plain create of unpublished page
pc-r0494,x,low,e initiates flow on reader device
pc-r0517,x,high,d captures amount moves money
x17-e0525,x,high,a DELETE policy rule
pc-r1909,x,high,b revokes access token
pc-r0779,x,high,DELETE method wins unassigns role
pc-r3891,x,high,a DELETE collection
x20-e0033,x,high,DELETE method wins removes roles from group
x17-e0705,x,high,DELETE method wins unassigns client role
x20-e0471,w,high,PUT edits stage permissions settable back
x20-e0321,w,high,PATCH edits draft row
pc-r1591,x,high,DELETE rejects join requests state cannot step back
pc-r3720,w,high,PUT edits notebook
x17-e1347,w,high,ii plain create of invoice templates
pc-r0337,x,low,f marks payment attempt failed cannot step back
x20-e0762,x,high,a DELETE permanently deletes access rule
x17-e0640,x,low,b resets recovery credential
pc-r3858,w,high,ii plain create of article
pc-r1699,x,high,DELETE method wins removes albums from library
x20-e0856,x,high,c delivers message to agents browser
x20-e0288,w,high,DELETE moves to recycling bin
x17-e0559,w,high,toggle subscribe has unsubscribe
pc-r3322,w,high,PUT sets campaign content
pc-r1727,w,high,PUT follow settable back by unfollow
pc-r1774,x,high,a DELETE app permanently
pc-r3102,w,high,PATCH edits campaign settings
pc-r2672,w,high,ii plain create of security scheme
x20-e0624,w,high,association settable back by removing
