set,repo,path,method,operationId,summary,description
camara,ApplicationEndpointDiscovery,/retrieve-optimal-app-endpoints,POST,getOptimalAppEndpoints,Returns the Endpoint(s) of the optimal Application Instance(s) to the user device identified in the request.,"On receiving this request, the network will return the endpoint(s) of the Application Instance(s) with the shortest network path to the end user device identified in the request."
camara,ApplicationEndpointRegistration,/application-endpoint-lists,POST,registerApplicationEndpoints,Register endpoints of a deployed application,Register the endpoints of a deployed application to a specified edge cloud zone.
camara,ApplicationEndpointRegistration,/application-endpoint-lists,GET,getAllRegisteredApplicationEndpoints,Get all registered edge application endpoint information,Returns endpoint information for all registered Applications.
camara,ApplicationEndpointRegistration,/application-endpoint-lists/{applicationEndpointListId},GET,getApplicationEndpointsById,Get registered edge application endpoint information,Returns endpoint information of the application based on applicationEndpointListId.
camara,ApplicationEndpointRegistration,/application-endpoint-lists/{applicationEndpointListId},PUT,updateApplicationEndpoint,Update an application Endpoint,Update registered application Endpoint information.
camara,ApplicationEndpointRegistration,/application-endpoint-lists/{applicationEndpointListId},DELETE,deregisterApplicationEndpoint,Deregister an application Endpoint,Deregister an application's Endpoint from the edge cloud zone.
camara,ApplicationProfiles,/application-profiles,POST,createApplicationProfile,Create an Application Profile,Define network monitoring intents for optimal end user application experience.
camara,ApplicationProfiles,/application-profiles/{applicationProfileId},PATCH,updateApplicationProfile,Update an Application Profile,Update the complete set of network quality thresholds for an application with the new set of thresholds to ensure good end user experience
camara,ApplicationProfiles,/application-profiles/{applicationProfileId},GET,readApplicationProfile,Get an Application Profile,Read an Application Profile
camara,ApplicationProfiles,/application-profiles/{applicationProfileId},DELETE,deleteApplicationProfile,Delete an Application Profile,Delete an application profile
camara,BlockchainPublicAddress,/nonce,POST,createBlockchainPublicAddressValidationNonce,Generates a one-time nonce associated to a specific Blockchain Public Address,Generates a one-time nonce (i.e. challenge) associated to a specific Blockchain Public Address to allow for enhanced validation as per defined in `bindBlockchainPublicAddress` operation of CAMARA Blockchain Public Address API.
camara,BlockchainPublicAddress,/blockchain-public-addresses/retrieve-blockchains,POST,retrieveBlockchainPublicAddress,Retrieves Blockchain Public Address associated with a mobile phone number.,"Retrieves Blockchain Public Address associated with a mobile phone number. This operation can be accessed in 3-legged and in 2-legged, notice that the mobile phone number used as input need not be related with the user or mobile phone number to which the Access Token is associated; this is because the operation is intended to be used to manage Blockchain Public Address of any mobile phone number, in order to perform send or request crypto operations."
camara,BlockchainPublicAddress,/blockchain-public-addresses,POST,bindBlockchainPublicAddress,Binds Blockchain Public Address to a mobile phone number,"Binds Blockchain Public Address to a mobile phone number. If the mobile phone number is already bound to a Blockchain Public Address, this operation will add a new bound Blockchain Public Address to the mobile phone number. This operation is intended to be used with a 3-legged Access Token, and the indicated mobile phone number must belong to the user identified by its `sub` in the Access Token; this is because only the user of the mobile phone number must be able to perform the bind. Specifically for this functionality, when a binding operation indicates a `blockchainNetworkId` not allowed by"
camara,BlockchainPublicAddress,/blockchain-public-addresses/{id},DELETE,deleteBlockchainPublicAddress,Unbinds Blockchain Public Address association to a mobile phone number,"Unbinds Blockchain Public Address to a mobile phone number. This operation is intended to be used with a 3-legged Access Token; this is because only the user of the mobile phone number must be able to perform the unbind. Note: Due to this, the API Server must validate that the `id` included in the request refers to a bind for a mobile phone number belonging to the user identified by its `sub` in the Access Token."
camara,CallForwardingSignal,/unconditional-call-forwardings,POST,retrieveUnconditionalCallForwarding,Retrieve the information about the status of the unconditional call forwarding service on a phone number (PhoneNumber),"This endpoint provides information about the status of the unconditional call forwarding, being active or not."
camara,CallForwardingSignal,/call-forwardings,POST,retrieveCallForwarding,Retrieve the information about the type of call forwarding service active on a phone number (PhoneNumber),"This endpoint provides information about which type of call forwarding service is active. More than one service can be active, e.g. conditional and unconditional. This endpoint exceeds the main scope of the Call Forwarding Signal API, for this reason an error code 501 can be returned."
