row_id,truth_class,confidence,reason
110,w,high,rule4 creates own network slice definition
458,w,low,rule9 own call metadata update no reach stated
377,r,low,read query returns inventory counts not a write
240,w,high,rule11 caller creates own access token
409,x,high,road1c submits acknowledgement to vendor purchase order
113,x,low,road1b grants subscriber sponsored data access
310,w,high,rule9 stops own session no third party
144,x,high,road1d creates outgoing call to another party
91,r,high,read retrieves pseudonymous identifier
414,w,high,w moves own page to new parent
27,w,low,rule1 consent record about user own system
123,w,high,rule4 creates own subscription definition
13,r,high,read retrieves blockchain address
356,w,low,rule6 sets up own conversation encryption keys
93,r,high,read retrieves qos profiles
306,w,high,w adds domain to own project
366,w,high,rule6 creates own webhook infrastructure
43,x,high,road1e invokes external tool via outbound request
173,w,high,w redacts own message cancels unsent message
350,w,high,rule6 creates own personal access token
70,r,high,read connected network type
63,r,high,read qos bookings for device
182,w,high,rule4 updates own credential list definition
10,w,high,rule4 creates own assistant configuration
131,r,high,read despite retrieve named as post
449,x,high,road1b wipes another users sessions
209,w,high,rule6 creates own origin key
352,w,high,w creates own vpc resource
491,w,high,w pins own item no reach stated
420,w,high,rule4 creates own channel container
496,w,high,rule11 marks own reminder complete
94,r,high,read service areas matching criteria
399,x,high,road1c purchases shipping labels from carrier
18,w,low,rule4 pauses resumes own campaign definition
51,x,high,road1c text says end user gets charged
145,x,low,road1d starts payment session on live call
372,x,high,road1c confirms outbound order with carrier
184,w,high,rule4 creates own credential mapping
124,w,high,rule4 creates own subscription
233,w,high,w adds classification label to own folder
225,r,high,read calculation generates text no state change
78,r,high,read device visit location
142,w,high,w creates own application resource
243,w,high,rule4 creates own info barrier definition
265,w,high,w dismisses own recommendation records feedback
395,r,high,read aggregated offer metrics
157,x,high,road1d redirects or terminates live call
264,w,high,rule5 creates own account ip allow list
433,w,high,rule4 renames own workspace emoji
52,w,low,rule9 cancels own payment reservation no charge
116,w,high,rule4 creates own subscription
475,w,high,w opens own direct message container
446,x,high,road1b invites user to join workspace
239,w,high,rule4 creates own taxonomy node definition
271,x,low,road1a crossposts message to other channels
90,r,high,read optimal edge cloud zones
298,w,high,w creates own global config
482,w,high,w sets own do not disturb snooze
92,r,high,read qos assignment record for device
1,w,high,rule4 creates own network access definition
457,w,low,w registers own call participant change
211,r,high,read payment methods despite post method
268,x,low,road1b grants entitlement to user
170,w,low,rule6 own signing key update no text
112,w,high,w releases own device from own slice
439,x,high,rule8 sets workspace public visibility switch
256,w,high,rule4 moves integration between own orchestrations
