provider,spec_file,path,method,operationId,summary,description,has_summary,has_description,has_operationId,deprecated
auth0,management-api-oas.json,/actions/actions/{id},DELETE,delete_action,Delete an action,Deletes an action and all of its associated versions. An action must be unbound from all triggers before it can be deleted.,true,true,true,false
auth0,management-api-oas.json,/actions/modules/{id},DELETE,delete_action_module,Delete a specific Actions Module by ID,Permanently delete an Actions Module. This will fail if the module is still in use by any actions.,true,true,true,false
auth0,management-api-oas.json,/agents/{id},DELETE,delete_agent,Delete an agent,Delete an agent,true,true,true,false
auth0,management-api-oas.json,/anomaly/blocks/ips/{id},DELETE,delete_ips_by_id,Remove the blocked IP address,"Remove a block imposed by <a href=""https://auth0.com/docs/configure/attack-protection/suspicious-ip-throttling"">Suspicious IP Throttling</a> for the given IP address.",true,true,true,false
auth0,management-api-oas.json,/branding/phone/templates/{id},DELETE,delete_phone_template,Delete a phone notification template,,true,false,true,false
auth0,management-api-oas.json,/branding/templates/universal-login,DELETE,delete_universal-login,Delete template for New Universal Login Experience,,true,false,true,false
auth0,management-api-oas.json,/branding/themes/{themeId},DELETE,delete_branding_theme,Delete branding theme,Delete branding theme.,true,true,true,false
auth0,management-api-oas.json,/client-grants/{id},DELETE,delete_client-grants_by_id,Delete client grant,Delete the [Client Credential Flow](https://www.auth0.com/docs/get-started/authentication-and-authorization-flow/client-credentials-flow) from your machine-to-machine application.,true,true,true,false
auth0,management-api-oas.json,/clients/{client_id}/credentials/{credential_id},DELETE,delete_credentials_by_credential_id,Delete a client credential,"Delete a client credential you previously created. May be enabled or disabled. For more information, read <a href=""https://www.auth0.com/docs/get-started/authentication-and-authorization-flow/client-credentials-flow"">Client Credential Flow</a>.",true,true,true,false
auth0,management-api-oas.json,/clients/{id},DELETE,delete_clients_by_id,Delete a client,"Delete a client and related configuration (rules, connections, etc).",true,true,true,false
auth0,management-api-oas.json,/connection-profiles/{id},DELETE,delete_connection-profiles_by_id,Delete Connection Profile,Delete a single Connection Profile specified by ID.,true,true,true,false
auth0,management-api-oas.json,/connections/{id},DELETE,delete_connections_by_id,Delete a connection,"Removes a specific [connection](https://auth0.com/docs/authenticate/identity-providers) from your tenant. This action cannot be undone. Once removed, users can no longer use this connection to authenticate.

**Note:** If your connection has a large amount of users associated with it, please be aware that this operation can be long running after the response is returned and may impact concurrent [create connection](https://auth0.com/docs/api/management/v2/connections/post-connections) requests, if they use an identical connection name.",true,true,true,false
auth0,management-api-oas.json,/connections/{id}/directory-provisioning,DELETE,delete_directory-provisioning,Delete a directory provisioning configuration,Delete the directory provisioning configuration of a connection.,true,true,true,false
auth0,management-api-oas.json,/connections/{id}/directory-provisioning/synchronized-groups,DELETE,delete_synchronized-groups,Delete synchronized group selections for a directory provisioning configuration,Delete synchronized group selections for a directory provisioning configuration,true,true,true,false
auth0,management-api-oas.json,/connections/{id}/scim-configuration,DELETE,delete_scim-configuration,Delete a connection's SCIM configuration,Deletes a scim configuration by its `connectionId`.,true,true,true,false
auth0,management-api-oas.json,/connections/{id}/scim-configuration/tokens/{tokenId},DELETE,delete_tokens_by_tokenId,Delete a connection's SCIM token,Deletes a scim token by its connection `id` and `tokenId`.,true,true,true,false
auth0,management-api-oas.json,/connections/{id}/users,DELETE,delete_users_by_email,Delete a connection user,"Deletes a specified connection user by its email (you cannot delete all users from specific connection). Currently, only Database Connections are supported.",true,true,true,false
auth0,management-api-oas.json,/custom-domains/{id},DELETE,delete_custom-domains_by_id,Delete custom domain configuration,Delete a custom domain and stop serving requests for it.,true,true,true,false
auth0,management-api-oas.json,/device-credentials/{id},DELETE,delete_device-credentials_by_id,Delete a device credential,Permanently delete a device credential (such as a refresh token or public key) with the given ID.,true,true,true,false
