row_id,provider,method,path,operationId,summary,description
r1669,spotify,GET,/audiobooks/{id},get-an-audiobook,Get an Audiobook,"Get Spotify catalog information for a single audiobook. Audiobooks are only available within the US, UK, Canada, Ireland, New Zealand and Australia markets."
r2475,jira,DELETE,/rest/api/2/config/fieldschemes/fields/parameters,removeFieldAssociationSchemeItemParameters,Remove field parameters,"Remove field association parameters overrides for work types.

**[Permissions](#permissions) required:** *Administer Jira* [global permission](https://confluence.atlassian.com/x/x4dKLg)."
r3894,intercom,GET,/internal_articles,listInternalArticles,List all articles,You can fetch a list of all internal articles by making a GET request to `https://api.intercom.io/internal_articles`.
r3871,intercom,GET,/audiences,listAudiences,List all audiences,You can fetch a list of all audiences for the workspace.
r3740,datadog,GET,/api/v1/slo/correction/{slo_correction_id},GetSLOCorrection,Get an SLO correction for an SLO,Get an SLO correction.
r1458,paypal,GET,/v1/customer/disputes/{id},disputes.get,Show dispute details,"Shows details for a dispute, by ID.<blockquote><strong>Note:</strong> The fields that appear in the response depend on the access. For example, if the merchant requests shows dispute details, the customer's email ID does not appear.</blockquote>"
r2762,jira,POST,/rest/api/2/plans/plan,createPlan,Create plan,"Creates a plan.

**[Permissions](#permissions) required:** *Administer Jira* [global permission](https://confluence.atlassian.com/x/x4dKLg)."
r0738,openai,GET,/organization/projects/{project_id}/spend_alerts,list-project-spend-alerts,List project spend alerts,Lists project spend alerts.
r2253,digitalocean,PATCH,/v2/vpcs/{vpc_id},vpcs_patch,Partially Update a VPC,"To update a subset of information about a VPC, send a PATCH request to
`/v2/vpcs/$VPC_ID`."
r1459,paypal,PATCH,/v1/customer/disputes/{id},disputes.patch,Partially update dispute,"Partially updates a dispute, by ID. Seller can update the `communication_detail` value or The partner can add the `partner action` information."
r4163,figma,POST,/v1/dev_resources,postDevResources,Create dev resources,"Bulk create dev resources across multiple files.
Dev resources that are successfully created will show up in the links_created array in the response.

If there are any dev resources that cannot be created, you may still get a 200 response. These resources will show up in the errors array. Some reasons a dev resource cannot be created include:

- Resource points to a `file_key` that cannot be found.
- The node already has the maximum of 10 dev resources.
- Another dev resource for the node has the same url."
r4168,figma,GET,/v1/analytics/libraries/{file_key}/style/usages,getLibraryAnalyticsStyleUsages,Get library analytics style usage data.,Returns a list of library analytics style usage data broken down by the requested dimension.
r3510,asana,DELETE,/task_templates/{task_template_gid},deleteTaskTemplate,Delete a task template,"A specific, existing task template can be deleted by making a DELETE request on the URL for that task template. Returns an empty data record."
r1169,square,PUT,/v2/online-checkout/merchant-settings,UpdateMerchantSettings,UpdateMerchantSettings,Updates the merchant-level settings for a Square-hosted checkout page.
r3640,datadog,GET,/api/v1/hosts/totals,GetHostTotals,Get the total number of active hosts,"This endpoint returns the total number of active and up hosts in your Datadog account.
Active means the host has reported in the past hour, and up means it has reported in the past two hours."
r1742,spotify,POST,/me/player/next,skip-users-playback-to-next-track,Skip To Next,Skips to next track in the user’s queue. This API only works for users who have Spotify Premium. The order of execution is not guaranteed when you use this API with other Player API endpoints.
r0277,stripe,POST,/v1/issuing/personalization_designs,PostIssuingPersonalizationDesigns,Create a personalization design,<p>Creates a personalization design object.</p>
r0910,openai,DELETE,/agents/sessions/{session_id}/artifacts/{artifact_id},deleteAgentSessionArtifact,Delete an agent session artifact,Deletes an immutable session artifact without deleting its live environment file or original Files API object. See [session artifacts](https://developers.openai.com/api/docs/guides/agents-api/environments/files#openai-hosted-artifacts).
r1451,paypal,POST,/v2/checkout/orders/{id}/confirm-payment-source,orders.confirm,Confirm the Order,Payer confirms their intent to pay for the the Order with the given payment source.
r2148,digitalocean,POST,/v2/registries/subscription,registries_update_subscription,Update Subscription Tier,"After creating your registry, you can switch to a different subscription tier to better suit your needs. To do this, send a POST request to `/v2/registries/subscription`. It is similar to POST `/v2/registry/subscription`."
r3364,asana,POST,/budgets,createBudget,Create a budget,Creates a new budget.
r2061,digitalocean,GET,/v2/monitoring/metrics/load_balancer/frontend_network_throughput_tcp,monitoring_get_lb_frontend_network_throughput_tcp,Get Load Balancer Frontend TCP Throughput Metrics,"To retrieve frontend TCP throughput in bytes per second for a given load balancer, send a GET request to `/v2/monitoring/metrics/load_balancer/frontend_network_throughput_tcp`."
r1125,square,POST,/v2/locations/custom-attributes/bulk-upsert,BulkUpsertLocationCustomAttributes,BulkUpsertLocationCustomAttributes,"Creates or updates [custom attributes](entity:CustomAttribute) for locations as a bulk operation.
Use this endpoint to set the value of one or more custom attributes for one or more locations.
A custom attribute is based on a custom attribute definition in a Square seller account, which is
created using the [CreateLocationCustomAttributeDefinition](api-endpoint:LocationCustomAttributes-CreateLocationCustomAttributeDefinition) endpoint.
This `BulkUpsertLocationCustomAttributes` endpoint accepts a map of 1 to 25 individual upsert
requests and returns a map of individual upsert responses. Each upsert request has a unique ID
and provides a location ID and custom attribute. Each upsert response is returned with the ID
of the corresponding request.
To create or update a custom attribute owned by another application, the `visibility` setting
must be `VISIBILITY_READ_WRITE_VALUES`."
r1724,spotify,PUT,/playlists/{playlist_id}/images,upload-custom-playlist-cover,Add Custom Playlist Cover Image,Replace the image used to represent a specific playlist.
