row_id,truth_class,confidence,reason
113,w,high,rule5 own instance task state change
155,w,low,rule1 own order shipment record no notify
188,w,high,rule1 customer record in own system
190,w,high,rule1 employee record example
247,w,high,rule4 delete role definition
268,w,high,rule2 own account preferences
293,w,high,rule4 delete role definition
299,w,high,rule4 cascade inside own project
304,w,high,rule1 business name record own tenant
305,w,low,rule4 delete role definition ambiguous scope
306,w,low,rule1 organisation held as record
310,w,high,rule1 update an individual example
316,w,high,rule1 business name record
375,w,high,rule10 payment profile no charge
376,w,high,rule10 stored card no charge
406,w,high,rule1 client record own system
407,w,high,own transaction metadata edit no charge
409,w,high,own transaction cluster metadata edit
478,w,high,rule6 refresh own certificate
493,x,high,rule10 renews paid plan bills card
543,w,low,rule4 delete sender definition thin text
544,w,low,rule4 update receiver definition thin text
545,w,low,rule4 update sender definition thin text
747,w,high,rule4 cascade inside own container
749,w,high,rule4 cascade inside own container
750,w,low,rule9 cancel own subscription no party named
752,w,high,deletes record not the user access
776,w,low,own group content moderation no notify
855,w,high,rule5 admin instance config
892,w,high,rule1 own lab document record
924,w,low,own token thin text no other party
926,w,high,rule6 own connector config
937,w,low,own vendor integration disconnect no other party
954,w,high,rule4 own fleet container
1032,x,high,road1e student submits work to teacher
1033,w,low,rule1 grade record edit own class
1040,x,low,road1b expires other signers pending session
1248,w,high,rule4 own workflow function definition
1249,w,high,rule4 own workflow function definition
1298,w,high,rule4 delete team container
1371,w,high,rule5 own subaccount config
1380,w,low,rule6 own network config no reach stated
1385,w,low,rule6 own network config no reach stated
1386,w,low,rule6 own network config no reach stated
1413,w,high,rule9 stop own transcoder example
1417,w,high,rule4 delete role definition
1455,x,high,rule4 adds member restaurant to pool
1464,w,high,rule5 own restaurant config
1477,w,high,rule4 update role definition
1482,w,low,own subscription record thin text
1536,w,high,rule2 own account plain details
1537,x,high,rule11 logs out another customer session
1538,w,high,rule1 own appointment record delete
1539,w,low,rule9 cancel own appointment no party named
1546,w,high,rule4 delete custom field definition
1552,w,high,rule1 employee record own system
1553,w,high,rule10 payment record no charge
1570,w,high,rule4 delete company text says no cascade
1578,w,low,own cart assign customer id thin text
1706,x,high,rule10 text says caller still charged
1735,w,high,rule1 own account record delete
1742,w,high,rule1 own account record edit
1747,w,high,own record module edit
1750,w,high,own record asset edit
1751,x,low,road1b consent another party relies on
1786,w,high,rule4 own license record delete
1787,x,low,road1b removes licensee reliance ambiguous
1812,w,low,own conversation event delete no notify
1814,w,high,rule5 own subaccount properties
1822,w,high,rule2 own account plain details
1831,x,low,road1b end user agreement tighter on doubt
1834,w,high,rule10 text says no effect on paid users
1860,x,low,road1b consent another party relies on
1863,w,high,text limits to unauthorised state no reach
1870,x,high,road1b removes app permission access
1876,w,high,rule1 developer record own system
1884,w,high,rule4 cascade own attributes
1885,w,high,rule4 cascade own attributes
1886,w,high,rule4 cascade own attributes
1887,w,high,rule5 admin only distribution delete
1891,w,low,own request delete ambiguous thin text
1893,w,high,rule5 admin only file update
1894,w,high,rule5 admin instance config example
1897,w,low,rule2 person account plain details thin
1898,w,low,own request modify ambiguous thin text
1915,w,high,rule6 own network peer config
1955,x,high,rule9 cancels with the registry example
1956,x,high,road1e submits cancellation request to registry
1959,w,low,rule9 cancel own subscription no charge stated
1960,w,low,cancel own pending action no party named
1961,x,high,road1e submits cancellation request
1969,w,high,rule6 own forwarding config edit
1977,w,high,rule10 payment link no charge
1981,w,high,rule1 employee benefit record
1984,w,high,rule1 employee tax record
1989,w,high,rule1 contractor record own system
2003,w,high,rule4 delete workspace container
2010,w,high,rule1 employee absence record
2011,w,high,rule1 employee attendance record
2029,w,high,rule6 own sending domain config
2043,w,high,rule6 own dns zone delete
2044,w,high,rule6 own dns key delete
2045,w,high,rule6 own dns metadata delete
2046,w,high,rule6 own dns rrsets edit
2047,w,low,own cache flush not a job
2053,w,low,own dns zone data recalculation not a job
2141,w,high,rule4 delete organization container
2177,x,high,rule4 remove user from rule example
2323,w,high,rule2 own account profile details
2342,x,low,road1d stops outgoing transfer to other box
2363,w,low,creates own access token thin text
2366,w,high,rule4 delete project container
2380,w,high,rule7 unlike own relation
2381,w,high,rule7 unfollow own relation
2383,w,high,rule7 remove own repost
2403,w,high,rule7 follow own relation
2419,w,high,rule10 edit subscription no charge stated
2421,w,high,rule1 wage record own employee
2439,w,low,rule4 channel fields update ambiguous
2473,w,low,own content moderation delete comment
2500,x,low,rule11 whatsapp read receipt to sender
2501,w,low,own sim fleet config no other party
2573,w,high,rule7 promise listed as own relation
2627,w,low,rule1 patient record attendee edit ambiguous
2630,w,high,rule1 upsert patient record
2634,w,high,rule7 unfollow own relation
2637,w,high,rule7 unretweet own relation
2641,w,low,rule4 delete client definition like role
2642,x,low,road1b invalidate another partys refresh token
2663,?,low,contradictory summary and description meaning
2671,w,high,rule9 cancel own scheduled payout example
2684,x,low,changes another persons on call assignment
2689,x,low,road1b removes another members contact device
2727,w,high,rule9 stop own stream example
2763,w,low,own comment delete thin text
2768,w,high,rule4 delete event record container
2769,w,high,rule4 delete event series container
2771,w,low,own comment delete thin text
2772,w,high,rule4 delete song record
2774,w,low,own comment delete thin text
2777,w,low,own profile comment delete thin text
2810,x,low,pushes update to holders live wallet pass
2812,x,low,pushes update to holders live wallet pass
2857,x,high,rule11 logs out another customer
2871,x,low,rule11 whatsapp read receipt to sender
2873,w,low,rule4 delete app definition like role
2883,x,high,rule2 deletes another persons account access
2885,w,low,rule6 own application key credential
2886,w,low,rule6 own service principal credential
2936,w,low,own job dates record edit ambiguous
