row_id,truth_class,confidence,reason
2,x,low,rule4 adds devices to access bundle membership
3,x,low,rule4 removes devices from access bundle membership
11,w,low,rule edit existing own SIM binding no reach stated
15,r,low,rule1i calculation of energy consumption returned via callback
19,x,high,rule2 POST create webhook alert subscription
20,r,high,rule1i check data volume against threshold
25,r,high,rule1i check IMEI register status
29,r,high,rule1i query device count in area
32,x,high,rule2 POST create new QoS booking
33,w,high,rule iii edit existing own eSIM profile state
37,x,low,rule2 create overrides rule1 stores customer identity record
39,x,high,rule2 POST create transmission schedule plan
40,x,high,rule2 POST create knowledge base container overrides rule4
41,x,high,rule2 POST create/upload new document
44,r,high,rule1i match/verify customer identity attributes
50,x,high,road1c create payment leads to charging
53,x,high,road1c confirm payment triggers charge
54,x,high,road1c create refund moves money
55,x,low,rule10 validate payment with code finalizes charge
56,x,high,rule2 create plus road1d live call pre-announcement
57,x,high,rule12 async job triggered to install eSIM profile
62,x,high,rule2 POST create new QoS booking
76,r,high,rule1i retrieve connectivity information
82,r,high,rule1i retrieve SIM swap age band
83,r,high,rule1i read closest edge cloud zone
85,r,high,rule1i retrieve SIM swap date
86,r,high,rule1i query booking by device
88,r,high,rule1i retrieve max downstream media rate
89,r,high,rule1i get optimal app endpoints
95,r,high,rule1i query sessions by device
97,r,high,rule1i retrieve slices by device
98,r,high,text states operation is a read despite POST
100,r,high,rule1i get device type details
101,r,high,rule1i retrieve scoring information
103,x,high,rule2 POST create device registration
105,x,high,rule2 POST create session insights session
108,x,high,rule12 send/append session metrics each call
111,w,low,rule edit existing own slice membership own device
114,x,high,rule2 POST create subscription explicit
121,x,high,rule2 POST create geofencing subscription
126,x,high,rule2 POST create traffic influence resource
132,x,high,rule12 execute/trigger device action each call
133,r,high,rule1i verify OTP code
134,r,high,rule1i verify phone number match
135,r,high,rule1i verify age threshold
138,r,high,rule1i verify device location
140,x,high,rule2 POST create address resource
151,x,high,rule2 POST create stream resource
154,w,low,rule9 stop own transcription no outside party stated
156,x,high,rule2 create plus road1d message in live call
159,x,high,road1d update participant in live conference call
161,x,low,road1d update conference affects live call participants
162,w,high,rule4 edit own connect-app definition
163,x,high,road1c purchase phone number moves money
164,x,high,road1c purchase phone number moves money
167,x,high,rule2 POST create add-on assignment resource
172,x,high,rule2 POST create message feedback record
174,x,high,rule2 POST create validation request resource
183,x,high,rule2 POST create SIP domain resource
188,x,high,rule2 POST create IP ACL mapping resource
190,x,high,rule2 POST create IP access control list
192,w,high,rule6 edit own network infra IP address entry
193,w,high,rule4 rename own IP access control list
194,w,high,rule own resource edit of short code config
195,x,high,rule2 explicit key creation is x even if own
196,w,high,rule6 edit own signing key metadata
200,w,high,rule2 modify own account properties
203,r,high,rule1i get card brand details lookup
210,w,high,rule10 create payment link without charging
213,x,high,road1c start transaction authorises charge
215,x,high,road1c adjust authorised payment amount moves money
217,x,high,road1c capture authorised payment moves money
219,x,high,road1c refund or cancel payment moves money
220,x,low,road1c update order with external payment processor
222,w,high,rule10 store payment token without charging
226,x,high,rule2 POST create AI agent resource
229,x,high,rule2 POST create file from upload session
234,x,high,rule2 POST create integration mapping resource
236,x,high,rule2 POST create metadata cascade policy overrides rule4
238,x,high,rule2 POST create new taxonomy level overrides rule4
241,x,high,rule2 POST create retention policy assignment
244,w,low,rule9 cancel own sign request no notice stated
247,x,high,rule12 trigger workflow run each call
249,r,high,rule1i get aggregated responder metrics
252,x,high,rule2 POST create business service overrides rule4
259,x,high,rule12 trigger incident workflow instance run
260,x,high,rule2 POST create custom field overrides rule4
262,x,high,rule2 POST create incident note
266,x,high,road1a publish post to public status page
267,x,high,road1a publish update to public status page
269,x,high,road2 consumes entitlement not repeatable
276,x,high,road1a sends interaction response message
277,x,high,rule2 POST create lobby resource
280,x,high,road1a webhook posts message to channel
283,x,high,rule12 trigger issue autofix run
285,x,high,rule2 POST create release resource
286,x,high,rule2 POST create/upload release file
288,x,high,rule2 POST create status check resource
294,w,high,rule4 edit access group metadata no membership change
300,w,high,rule5 edit own instance global config schema
301,x,high,road1c request refund for invoice
302,x,low,road1a rollback changes production traffic served publicly
305,x,high,road1b directory role mapping changes member access
307,x,high,rule2 POST create deployment resource
308,x,high,rule2 POST create project check resource
315,x,high,rule2 POST create certificate resource
321,x,low,road1b unrevoke restores org members device access
323,x,high,road1a send raw email to another party
327,x,high,rule2 POST create metadata index overrides rule4
328,x,high,rule2 POST create/upload trust store certificate
332,w,low,rule edit existing own database resume state
338,x,high,rule2 POST create new disk resource
340,x,high,rule12 trigger migration job each call
343,x,high,rule2 POST create longview client resource
344,x,high,rule2 POST create alert definition overrides rule4
345,r,high,rule1i get entity metrics despite POST
346,x,high,rule2 POST create IPv6 range overrides rule6
348,x,high,rule2 POST create nodebalancer config resource
354,x,high,road1a post chat message to broadcast viewers
360,x,high,rule12 append media upload each call not repeatable
361,r,low,rule1i evaluate/compute community note score
362,w,high,rule4 edit own filter rule set definition
363,w,high,rule7 social relation add own bookmark
368,x,low,rule2 create feedback record about action
369,x,high,road1c creates order/shipment commitment with carrier
373,r,high,rule1i batch price calculation estimate
374,r,low,rule1i query listed explicitly as read word
376,r,high,description states get invoices read operation
379,r,high,rule1i estimate delivery offers
382,x,high,road1c initiates payout moves money
389,x,high,road1a sends message to buyer
391,x,high,road1a sends message to buyer
394,r,high,rule1i estimate fees for item
400,x,high,road1c purchase shipping labels moves money commits carrier
403,x,low,rule2 create export request job
406,r,low,generates sandbox test scenario data preview-like
408,x,high,road1a submit update gives customer visibility
412,r,high,rule1i query data source explicitly
413,x,high,rule2 POST create page resource
416,x,high,road1b approve app grants installation access
418,w,high,rule4 archive own container no membership change
419,x,high,rule8 convert public channel to private visibility switch
421,w,high,rule4 delete own channel container
423,x,high,road1b invite grants user access to channel
426,x,high,road1b removes IDP group access from channel
427,x,high,road1b sets posting permissions for channel members
431,w,high,rule4 add own emoji alias definition
432,w,high,rule4 remove own emoji definition
434,x,high,road1b approve invite grants workspace access
435,w,low,rule1 deny invite request no access change occurs
436,x,high,rule2 POST create team container overrides rule4
437,w,low,rule5 set own workspace default channel config
441,w,high,rule5 set own workspace name config
450,x,high,road1b grants admin role to another user
454,x,high,rule2 POST create call registration resource
460,w,high,rule9 delete own scheduled message before it fires
463,x,high,road1a sends message to channel
464,x,high,road1a schedules message that will be sent to channel
479,w,high,rule4 unarchive own container state change
480,w,high,rule own session ends caller's own DND state
483,w,low,rule delete comment assumed own no reach stated
484,w,high,rule delete own file
486,w,high,rule remove own remote file reference
489,x,high,rule8 enable public sharing visibility switch
493,w,high,rule7 social relation add own reaction
494,w,high,rule7 social relation remove own reaction
495,x,high,rule2 POST create own reminder resource
504,x,high,rule4 update user group membership explicit example
505,w,high,rule2 delete own profile photo plain detail
506,w,high,rule2 set own profile plain details
